标题,价格(元),所在地,想要人数,商品URL
上海地板安装师傅，常年在上海安装地板。全上海都可以安装，除了 崇明岛，横沙岛那边。需要安装地板的可以找我来聊聊，关于地板,142.0,上***傅,8,https://www.goofish.com/item?id=785474926152&categoryId=201456315
猫太后蝴蝶电动玩具小猫自动逗猫器会飞逗猫棒逗猫神器猫玩具自嗨 猫太后蝶喋不休自动逗猫玩具 益智宠物电动玩具逗猫棒自动逗猫,15.0,宠***长,68,https://www.goofish.com/item?id=637687208331&categoryId=126854775
江苏兴化清水小龙虾已大量上市，商超，批发的都可以联系  感兴趣的话点“我想要”和我私聊吧～,18.8,虾***发,2,https://www.goofish.com/item?id=885002143224&categoryId=126918187
三江塑胶PVC加厚纤维管内径16壁厚三毫米，长度16米。68 元,68.0,厂***卖,2,https://www.goofish.com/item?id=899167496242&categoryId=126864744
联想小新防蓝光贴膜，全新未拆封，适配小新Air14，尺寸31 0*176mm，配件齐全，包含防蓝光贴膜、卡扣、双面胶、保,20.0,盈***香,5,https://www.goofish.com/item?id=624786651421&categoryId=126854039
马勒MAHLE原装凸轮轴，适配别克LE5 LTD新君威新君越 2.4/GL8/陆尊2.4。全新未拆封，原厂包装完好，型号,99.9,别***心,0,https://www.goofish.com/item?id=941304201985&categoryId=126860449
"日本三丰Mitutoyo原装进口高精度数显公英制合金游标卡尺 性价比高
500-181-30
全新闲置如图实拍。原装正品",545.0,一***干,980,https://www.goofish.com/item?id=907411373180&categoryId=126864486
橄榄核雕《天上人间》，尺寸：1.9×3.2。雕工细腻，爆红款 ，全新。品相如图。,240.0,用***5,0,https://www.goofish.com/item?id=638190654580&categoryId=126862208
志道电子 M1-H0401车载Gps定位终端，二百包邮，什么 都不包，售出不退换。,129.0,南***桥,999,https://www.goofish.com/item?id=767886011239&categoryId=126860621
PPF纳尔•英飞莱斯 TPU隐形车型  佛山车改色贴膜 车身 改色膜 车身改色贴膜，隐形车衣透明膜，线下实体施工店。 专,980.0,上***膜,10,https://www.goofish.com/item?id=682757396576&categoryId=126860862
立邦325色卡，网红色卡，368升级版本，全新2022年中国 流行色彩趋势，色号图片上都有，需要的直接拍非偏远地区包邮。,18.0,一***羊,6,https://www.goofish.com/item?id=830689274120&categoryId=126864032
Readymade 户外露营 烧烤 铸铁烤盘 WEEKEND ER SMALL PAN 材質: 鋳鉄（シリコン耐熱塗装）,850.0,其***将,1230,https://www.goofish.com/item?id=956332284544&categoryId=126920142
三乐酥饼机四件套，主机，注馅，捏花，拍饼，成色如图，低价处理 ，有意私聊,4.2,活***下,5,https://www.goofish.com/item?id=858430038847&categoryId=201454405
原装正品 全新未拆封 理光MP6054 3554 2554  2555 3054 5054 3555 5055 4054,168.0,快***T,260,https://www.goofish.com/item?id=808071149713&categoryId=126854304
八马茶叶赛珍珠 铁观音1000  150g     260  元 赛珍珠 1000   250g       38  0,260.0,苏***置,19,https://www.goofish.com/item?id=739491251857&categoryId=126854666
油桶30毫升，8成新，自己取  感兴趣的话点“我想要”和我私聊吧～,30.0,小***0,3,https://www.goofish.com/item?id=903781407084&categoryId=126860724
电鼓镲片支架镲架 四通夹具夹子 罗兰  雅马哈  柠檬电鼓框 架卡扣卡夹  不是原装胜似原装，追求高质量和性价比！  适,17.0,乐***库,0,https://www.goofish.com/item?id=946690203191&categoryId=126858863
全新卡西欧 TV 880  TV970掌上电视机   全新的  收藏不错。  300一台 打包优惠  只保全新,235.0,雷***声,54,https://www.goofish.com/item?id=710568893242&categoryId=126854202
相机镜头扳手 维修工具三组头可换井字扳手 拆单反镜头拆修工具 DIY,45.0,爱***人,2,https://www.goofish.com/item?id=813686019210&categoryId=126856170
35W太阳能手机快充全新太阳能发电板 ，未使用过 ，不带存电 和蓄电池 。就是太阳能板+快充协议模块 ，支持全协议，市面,75.0,智***师,98,https://www.goofish.com/item?id=642279261348&categoryId=126864230
