标题,价格(元),所在地,想要人数,商品URL
没牙的老虎 幸福成长系列3本 感兴趣的话点“我想要”和我私聊吧～,9.0,浙江,0,https://www.goofish.com/item?id=914582460823&categoryId=127832004
80年代早期国产国语动画电影合集《神笔马良/假如我是武松/济 公斗蟋蟀》总计21部，标清视频无字幕，百度网盘下载！       电影目录： 神笔马良 假如我是武松 一幅幢锦 猪八戒吃西瓜 连升三级 刺猬背西瓜 捉迷藏 济公斗蟋蟀 没牙的老虎 老虎装牙 金币国游记 除夕的故事 淘气的金丝猴 喵呜是谁叫的...,2.18,广西,8,https://www.goofish.com/item?id=842223998851&categoryId=126864807
"【正版包邮】九州缥缈录1-6 江南 人民文学出版社 2015 1.推荐理由：当青铜血裔的瞳孔燃起天驱指环的火焰，整个九州大陆的齿轮开始咬合崩裂！吕归尘背负着青阳部的苍狼图腾，姬野的猛虎啸牙枪刺穿胤朝暮色，羽然展翼时洒落的金羽划破天启城的阴谋蛛网。六卷书铺开铁甲冰河间的史诗棋局：殇阳关白骨堆砌的帝王梦、南淮城桃花焚尽的少年约、雷骑军铁蹄下震颤的星辰锁链……江南用青铜器铭文般的笔力，将天驱与辰月的千年博弈、人族与河络的文明碰撞，熔铸成一部带着铁锈与梅香的东方《冰与火之歌》。翻开它，你会听见自己血脉里远古星神的战鼓轰鸣——毕竟，谁的心脏深处没有藏着一片等待觉醒的蛮荒？2. 只做二手正版书，拒绝盗版。书籍图片均手机实物拍摄，内页品相完好，瑕疵（笔记/划线/破损）可见图。可以拍就有货，有疑惑联系客服咨询；3. 只做精品书籍销售，书籍85-99新均有，保证顾客体验一般根据下单顺序择优发货，二手书个别会有些许污渍/笔记/轻度磨损，介意慎拍；4. 店内所有图书均包邮，明码标价，个别时候因物流运输需加收运费2元。内蒙新疆西藏等偏远地区下单前请咨询客服；5. 售后：书发出后因为买家原因取消，需承担书籍发出的快递费。所有图书已投退货运费险/7天无理由退/描述不符包邮退，请放心选购；6. 收到书有如何问题请及时联系客服，我们会为您妥善处理；7. 小店回复发货快，一般24-48小时内发出，物流信息可查，客服随时跟踪物流情况；8. 有大量书没上架，需要可以联系，最好给书号(ISBN)版本才不会错【书名】九州缥缈录【出版社】人民文学出版社【作者】江南, 著【ISBN编码】9787020101405",12.0,浙江,200,https://www.goofish.com/item?id=943433186478&categoryId=127838003
沈北万达三楼小老虎火车 百鹏园小车百鹏园小火车 蹦床 小汽车 ，均10元一次，确定用再买，下单后不退换。  使用方式：拍下付款后，告诉你使用的暗号‼️  别磨叽 别问磨牙的话 没套路 周末平时都可用，链接在就可以买，不用问有没有。只有百鹏园和喜贝家的车，别人家没有 不用问,10.0,辽宁,0,https://www.goofish.com/item?id=908411449088&categoryId=126862847
中国经典动画片99部，没头脑和不高兴，猫和鼠，没牙的老虎、没 牙的老虎、没头脑和不高兴、猫和鼠、盲女与狐狸、蚂蚁和大象、妈妈请休息、鹿铃、连升三级、老猪选猫、老鼠嫁女、老狼请客、小裁缝、天书奇谭、淘气的金丝猴、螳螂捕蝉、抬驴、水鹿、摔香炉、神笔马良、山水情、三只狼等经典动画片，百度网盘发送1036,8.8,河南,1,https://www.goofish.com/item?id=892139797791&categoryId=126864807
发型师如何把男发技术卖出去？pdf文字版不是视频课程，原价3 99购买来的，低价分享#技术变现#不懂设计？口才不好？项目率低？老虎男发设计沟通成交训练营百万粉丝男士设计领域TOP1男发设计领域沟通成交训练第一人老虎课程内容:第一大板块1引导筛选式开场白2新客引导设计发型话术3老客户开场白现场实战话术4老客户对之前的发型很满意，不太想换，怎么引导的话术5老客户，之前引导过设计，但是被拒绝了，再次来店开场话术6老顾客设计过，介绍的新客人开场引导，话术7不是特别的熟悉的客户，单刀植入型开场白话术8上次引导过设计，并且相信你而换了发型，再次来店开场话术！9老客户设计完3个月左右，发型效果将过期，开场引导下次改造话术第二大板块  理念确定与反问10新客发型设计理念说明话术11新客反问话术12老客反问话术第三大板块   分析讲解脸型特征话术13椭圆脸脸型特征现场讲解话术14瓜子脸脸型特征现场讲解话术15圆脸脸型特征现场讲解话术16国字脸脸型特征现场讲解话术17菱形脸脸型特征现场讲解话术18梨形脸脸型特征现场讲解话术19修长椭圆脸型特征现场讲解话术20正椭圆脸型特征现场讲解话术21短瓜子脸型特征现场讲解话术第四大板块   根据脸型讲解话术22修长瓜子脸发型设计现场讲解话术23圆脸发型设计现场讲解话术24国字脸发型设计解释  偷换概念话术25菱形脸发型设计现场讲解话术26男士颧骨高设计发型讲解话术27太阳穴凹陷发型设计讲解话术28男士脸型大现场沟通参考话术29男士发量稀少三个维度设计话术30讲解发型时客户看照片怎么办？第五大板块   过度到项目开发话术31过度到项目开发的话术32客户拒绝项目后，反问原因话术第六大板块  解答烫发疑惑33 发型设计后，太麻烦了，还要每天整理头发34我不喜欢那些花里胡哨的，就喜欢简单点35工作不允许搞发型36工作中戴帽子，搞发型没有用37客户问：烫头发会不会掉头发？38这次我烫了头发之后，那以后是不是每次都要烫？偷换概念话术39这次我烫了头发之后，以后是不是每隔几个月就必须得烫一次？40男人结婚之后，没必要搞发型？41男士烫发可以维持多久时间？42烫发是不是很伤害发质啊？43我这个发型不烫不行吗？第七大板块 确定消费价格44单刀直入确定消费价格45环环相扣多价格推荐话术46能不能便宜点，真的太贵了！47你们这里的价格怎么这么贵啊？48第八大板块 客户成交后强化 复烫率的流程与话术48-1表示感谢48-2先剪头顶，5分钟内开始烫48-3表明态度，烫发不讲话，对你发型负责48-4真的不讲话48-5描述烫发技术难点48-6加热时，要强化客情，与信任深度48-7定型时提前预告烫发效果48-8教第一偏吹干造型流程后修剪48-9效果验证对比48-10客户满意度反馈49第九大板块：剪发过程中的区块教育话术留客实用话术50精修鬓角时区块教育话术51侧后区牙剪调色时区块教育话术52后头部比较扁平的前后对比话术宝贝编号：美发沟通课0008关于美发类的资料我都有(购买须知:本店全都是虚拟产品，不是实体书或者产品，看好再拍，一旦发货，虚拟产品具有复制性，不得退款。)本课程格式:文字版发货方式：百度网盘 不会百度网盘的不要拍免责声明：本店铺提供任何内容的版权均属相关版权人和权利人，费用为整理费和网盘存储费，如有侵犯版权，请您指出，掌柜将第一时间下架宝贝，不作金钱赔偿。 所有资源均有公开正当途径取得，仅供学习研究使用，请勿用于商业用途，请勿公开发表,40.0,重庆,7,https://www.goofish.com/item?id=899822843208&categoryId=201455813
[电子彩色漫画]萌动兽世/我在兽世攻略美男/多男主/后宫番 ✿介绍:林缓缓没想到泡个澡也能穿越兽世！ 到处都是穿着兽皮裙、大长腿、双开门帅哥！ 还都想着娶她回家！ 跨种族的恋爱！新时代的脑袋里还有一个异世生存教科书的系统让她学习兽世知识开着外挂！ 甜掉牙的宠溺(漫画)！毛茸茸大老虎-白帝、活泼粘...,2.8,云南,60,https://www.goofish.com/item?id=864072336049&categoryId=126862312
儿童剧+舞台剧资源合集，33个剧目，包括《绿野仙踪》、《没牙 齿的大老虎》、《三只小猪》等，每个剧目都有视频、音乐和文档，拍下即可获取网盘链接，24小时内发货，电子资料不退不换哦。需要的朋友赶紧联系我吧！,3.8,西藏,2,https://www.goofish.com/item?id=928596235530&categoryId=126864805
虎huya牙hao-可以换绑也可以不换绑–免费改名一次–没市 民–可以签约任意公会 感兴趣的话点“我想要”和我私聊吧～,41.0,北京,0,https://www.goofish.com/item?id=958047810653&categoryId=200928012
中国经典动画珍藏版（全70册） 目录（33个故事）  《大闹天宫》 《哪吒闹海》 《天书奇谭》 《宝莲灯》 《金猴降妖》 《人参果》 《小蝌蚪找妈妈》 《济公斗蟋蟀》 《熊猫百货商店》 《没牙的老虎》 《狐狸打猎人》 《金色的海螺》 《葫芦兄弟》 《鹬蚌相争》 《九色...,30.0,江苏,0,https://www.goofish.com/item?id=956906313096&categoryId=127832004
【自动发货】生死狙击租号880w巨阙贰带皮肤❤️星珀终焉/星 魄终焉❤️碎星终焉❤️无尽终焉❤️屠魔❤️广陵贰❤️玉兔精———————————————————————商品信息商品ID号：570041989760325游戏区服：电信三区租号价格：2元/小时上号规则：采用账号密码方式登录———————————————————————商品描述：安其拉 阿瑞斯 露娜 小乔 滑轮少女 赛博女孩 巨阙贰 魅影贰 广陵贰 纵横贰 玉衡贰 天枢贰 塞壬贰 撼天贰 锁宙贰 镇宇贰 血清 命运贰 蛇舞贰 风神壹 玉兔精 四级丧钟 秦鸣 鬼刃 藤木 环宇 闪击 玄天 幽冥 尘埃 跳跳锤 幻彩 伏虎 尘羽 轮回 蛮牙 炎凰 夜枭 盖亚 破魂 美杜莎 乾坤 灵晶 玄天 飞踢 变异200血———————————————————————此线以下部分与该货架无关招租广告:招收生死狙击合出租/租号 91分成大量收各大游戏合租，支持多平台挂租，出租渠道多，销路更广，福利多多 ———————————————————————租号热门武器：【传说武器】瑶光终焉、星铂终焉、龙息终焉、神谕终焉、ak主宰、墨韵合、碎星终焉、无尽光影、无限ex、屠魔【彩金武器】晶刹、巨阙、秩序、广陵、万象、两仪、魅影、飞梭、纵横、灰核、天枢、玉衡、风神、不灭星核、撼天、塞壬、锁宙、镇宇、蛇舞、次元之星、裁决之炎、涤罪圣辉【配件武器】星斗、天际、月隐、寂灭、破魂、岚翼、乾坤、海神之怒、美杜莎之吻、棱晶、赤血之源、焚风、凑鸣、藤木蔓芯、鬼刃修罗、幻彩星涡、创世星环、闪击、尘埃、玄天、弧光、无踪、连城、跳跳锤、幻彩天虹、核子裂变、裂隙行者、迷你派拉、终末之弩、伏虎、尘羽、轮回之刺、赛博野兽、炎凰、灵狩、冬日温情【特殊武器】萌兔骑兵、禁止通行、浪漫花束、冰河、当前版本模式推荐配置（供小白参考）：一、变异模式推荐：1战术推荐：龙息终焉（和灰核一样需要手动开启）/魔方贰/命运透视贰/无暇贰/灰核贰（灰核贰单次增伤20s+5秒cd，需要每25s手动开一次技能）2武器搭配：① 神谕终焉/越新越好/+星铂/飞梭/塞壬/伏虎+墨韵合/撼天+锁宙镇宇贰/两仪万象/天枢玉衡（目前最强的人类变异搭配，强大无需多言，实战自能体会）②    碎星终焉/越新越好+风神贰/连城+纵横贰/撼天贰+锁宙镇宇贰/天枢玉衡贰（多重回血生存强）③    终末之弩+伏虎+浪漫花束/墨韵合 +锁宙镇宇贰/天枢玉衡贰（最强最快刷分，在森林游乐屋地图刷分强无敌）④   神谕 +伏虎+撼天+两仪万象+龙息（全是无敌效果）⑤ 炎凰+禁止通行+杀戮之海+冬日温情（娱乐玩法，鲨鱼给变异体挂腐蚀后，变异体移动就会扣血，然后就会一直触发炎凰和禁止通行的后台伤害+控制效果，就可以一整回合恶心对手）⑥ 最新主武器（目前是美杜莎之吻）+伏虎/灵狩/连城/塞壬贰+墨韵合/撼天贰/浪漫花束+锁宙镇宇贰/天枢玉衡贰（新武器随便搭配，主打体验）3变异体（武器）推荐：灵媚猫妖（外观呆萌）/铜兕蛮王（最强变异体，常驻80%减伤）/月兔精（只有特定武器能对兔子造成伤害，右键抓人）/飞鼠童子（会飞能破点，身法无敌）/九尾妖狐（左右键攻击手感好）/青蛇（假死，e技能回血）/缠丝洞主（会飞能破点）①最强抓人套：炎凰+塞壬贰+撼天贰+冬日温情+铜兕蛮王②最肉不死套：炎凰+塞壬贰+轮回之刺+冬日温情/凝视+铜兕蛮王（开局倒计时结束前使用这两种种配置中的1个，乱抓人类随时获得复原解药，想什么时候变人类刷分就什么时候变人类刷分。倒计时结束后没变僵尸再切其他背包）③反伤套套：终末+风神+撼天+天枢+铜兕蛮王④反伤套：碎星+飞梭/风神+撼天+锁宙/原石之力+铜兕蛮王备注：终末之弩使用时需在游戏内按V键开启导向射击模式，高压局中变异体只推荐铜兕蛮王。二、大头英雄模式推荐：1⃣️✔新版本玄天强无敌，只需携带玄天+灰核贰就能乱杀，主副武器和雷全部都可以随便搭配✔玄天+灰核贰，唯一最强搭配，碾压其余任何武器搭配✔大头模式不带玄天就没有任何游戏体验，不带玄天氪80w也不行✔详细操作步骤：（1）开局开灰核贰格挡8次伤害，抵消敌方玄天等强势武器对自己造成的伤害；（2）开自己的玄天，玄天右键开伞，打出大量高额伤害的同时自身还免伤100%；（3）玄天和灰核贰进行无限循环，即可乱杀意思就是：对面开玄天无敌+输出的时候，你用灰核贰把对面伤害格挡掉。对面玄天技能结束进入冷却时间（也就是对面的无敌+输出时间结束）的时候，你开自己的玄天用自己的无敌+输出打此时无敌时间已经结束的对面2⃣️【重点提醒：以下搭配为旧版本内容，可自行忽略】①    战术武器：狂化激素贰/命运透视贰/灰核贰（高压局只推荐狂化激素，全额反伤+回复自身一半血量）②    神谕终焉或传承/赛博野兽/裂隙行者+封印魔典壹/贰+浪漫花束/含光承影/浪淘沙③    不灭星核壹/贰+风神任意阶段+浪漫花束/浪淘沙④    翎羽+灵狩 +浪漫花束/浪淘沙⑤    雷：凝视/磁暴/光棱/大嘴嘟嘟，任选其一备注：风神使用时需先丢掉风神死亡1次。丢掉风神死亡1次后，全局整整13回合风神的备弹量都会巨幅增加。三、刀战模式推荐： 1广陵优先级最高，其次幽冥和玄天两大刀战神器强行克制耀光进行游戏平衡，耀光的地位受到严重打击，武器搭配出现百家争鸣局面，耀光已经不是必带2必带武器只剩下憾天贰①    耀光×4+撼天贰②耀光×3+憾天贰+纵横贰③    耀光×3+撼天贰+幽冥/玄天/纵横贰/墨韵合/黯水晶贰/蛇舞贰/抵罪圣辉贰/仲裁巨剑/幻锋/螳螂臂/霹雳旋风/含光承影任选1个④    耀光×2+撼天贰+幽冥/玄天纵横贰/墨韵合/黯水晶贰/蛇舞贰/抵罪圣辉贰/仲裁巨剑/幻锋/螳螂臂/霹雳旋风/含光承影任选2个⑤耀光+憾天贰+幽冥/玄天纵横贰/墨韵合/黯水晶贰/蛇舞贰/抵罪圣辉贰/仲裁巨剑/幻锋/螳螂臂/霹雳旋风/含光承影任选3个⑥憾天贰+幽冥/玄天纵横贰/墨韵合/黯水晶贰/蛇舞贰/抵罪圣辉贰/仲裁巨剑/幻锋/螳螂臂/霹雳旋风/含光承影任选4个备注：撼天贰作为目前刀战唯一最强武器。在高压局中撼天贰必带1个。四、团队/爆破模式推荐：①主武器：M4A1无限/屠魔/神谕终焉或传承/影魔/碎星终焉/寂静白龙/领域/防爆战警壹/尘埃②副武器：幻彩星涡/原石之怒/塞壬/连城/禁止通行/灵狩/如意火铳③刀：浪漫花束/墨韵合/不朽（这3个武器能后台回血）④雷：随意五、冒险模式推荐冒险模式主要看战力和面板属性,2.0,河南,0,https://www.goofish.com/item?id=800915325806&categoryId=200956005
