标题,价格(元),所在地,想要人数,商品URL
包邮（除偏远地区）！！新的，没有一点瑕疵！  品质放心，清货中～买到就是赚到[比心] 二锤重量（大约7斤）手柄95厘米，,39.66,努***草,68,https://www.goofish.com/item?id=950024482748&categoryId=126864516
九牧浴室马桶刷套装+太空铝卫生纸架 一套全新  质感很好 可 钉可打胶 闲置 tb旗舰店购入 全新全新！整套出不拆卖 非,39.9,零***宝,5,https://www.goofish.com/item?id=800026519529&categoryId=126858315
3M阻燃防火帽子，适合于电焊，作业  感兴趣的话点“我想要”和我私聊吧～,150.0,永***司,59,https://www.goofish.com/item?id=737271696823&categoryId=126858719
特斯拉毛豆Y眼镜盒手机支架  感兴趣的话点“我想要”和我私聊吧～,50.0,粥***r,0,https://www.goofish.com/item?id=940609796706&categoryId=126860677
22个欧陆十六路电话录音卡  型号S16  清一色  一共2 2个  功能正常  成色非常好 都是2021年和2022年,45.0,瑞***笑,1,https://www.goofish.com/item?id=853219276046&categoryId=126854271
全新得力草稿本，米黄色封面，空白页，适合做草稿、速写、考试用 纸。纸质细腻，书写流畅，塑封完好未拆。同城自提更优惠，异地,8.0,x***7,0,https://www.goofish.com/item?id=952591553357&categoryId=126864112
Mini 3/4Pro长续航电池  适用mini…  感兴趣的话点“我想要”和我私聊吧～,660.0,甜***1,0,https://www.goofish.com/item?id=932301959686&categoryId=126854119
"出闲置布料，老板说是出口尾单牛仔提花布，反正面都可以用 
宽1.2米，长2码，大约1.8米
微弹，做衣服，包都可以
有存",30.0,那***e,0,https://www.goofish.com/item?id=963555229829&categoryId=201456701
袋鼠妈妈光感水乳精华套装护肤品准孕妇专用发光提亮去黄改善暗沉  一整套 三样 水乳 洗面奶 孕妇姐妹也能用 ，全新未拆封,116.0,南***元,328,https://www.goofish.com/item?id=942036982657&categoryId=126866079
出售大量ATM机拆下迪堡钞箱，NCR钞箱和日立钞箱  循环钞箱RB，废钞箱AB 型号如下图， 实物拍摄，成色如图，有需要,1350.0,智***技,2,https://www.goofish.com/item?id=941514727602&categoryId=126854318
HOPE向往LV11M Pro智能中控主机，11寸超窄边全面 屏，4+32G大内存，支持米家APP控制，内置扬声器可连蓝,1350.0,涂***品,14,https://www.goofish.com/item?id=926965054418&categoryId=126856470
全新Beta EASY什锦锉10件套，长度140mm，3mm 手持部分，适合各种精细打磨工作，如金属和木材打磨。瑞士标准,80.0,咸***球,140,https://www.goofish.com/item?id=911382603289&categoryId=126864527
茶叶盒子：有点残，  感兴趣的话点“我想要”和我私聊吧～,19.0,用***2,0,https://www.goofish.com/item?id=959604047242&categoryId=126854406
全新贝印面包刀锯齿刀切蛋糕专用切刀吐司刀切片烘焙家用切三明治 锯刀感兴趣的话给我留言吧！,88.0,高***具,6,https://www.goofish.com/item?id=664860411873&categoryId=126854986
"法羊巧克套，牛皮巧克套，巧粉套，巧粉盒，颜色克可选：法羊黑色 ，金棕色，爱马仕橙色，进口植鞣革黑色，马鞍棕色，红色。

",198.0,摩***边,148,https://www.goofish.com/item?id=762134552122&categoryId=126866346
"晕染液，仅试色 
感兴趣的话点“我想要”和我私聊吧～",80.0,婷***t,13,https://www.goofish.com/item?id=962986760565&categoryId=201452105
宝家洁地板刷  双面大V刷，详情见图片。#换季断舍离,15.0,小***块,1,https://www.goofish.com/item?id=837256216192&categoryId=126858285
泡沫板  可切割  有意者私聊  感兴趣的话点“我想要”和我私聊吧～,350.0,渔***发,62,https://www.goofish.com/item?id=696218774595&categoryId=201457102
目黑MSG-2280 FM立体声/FM-AM标准信号发生器， 二手物品外观有磕碰，维修过正常使用 频率为100kHz～1,1380.0,w***p,3500,https://www.goofish.com/item?id=658853517383&categoryId=126854001
这是什么菌种  感兴趣的话点“我想要”和我私聊吧～,899.0,x***5,0,https://www.goofish.com/item?id=955671487392&categoryId=126860568
