标题,价格(元),所在地,想要人数,商品URL
各种防雨蓬布，耐磨帆布，罐衣，全国发货  感兴趣的话点“我想要”和我私聊吧～,180.0,山***做,4,https://www.goofish.com/item?id=686783976660&categoryId=201456802
高亮P6车载12-24V全彩屏，全彩LED显示屏户外防雨高亮 手机APP控制。 双行显示，厚度5cm 尺寸1：21cm×,188.0,二***件,40,https://www.goofish.com/item?id=636786939201&categoryId=126864050
标顶电子网线超五类无氧铜05足305米足 黑色室内网线 37 5一箱包邮 一共13箱,375.0,网***家,2,https://www.goofish.com/item?id=929469549734&categoryId=126856376
日本除螨喷雾剂家用床上本草宠物杀螨虫克星免洗去除学生宿舍99 4,19.0,阿***巴,0,https://www.goofish.com/item?id=843036643658&categoryId=126858757
欧莱雅烫发水药剂冷烫卷发家用烫刘海冷烫精自己在家烫头发药水欧 莱雅冷烫药水,24.0,美***点,30,https://www.goofish.com/item?id=739229328603&categoryId=126860107
全新饲料铲子，塑料加厚，饲料瓢，塑料铲子，料斗料勺料铲子，大 号优质材料，加宽加厚，3r一个，多买优惠,3.0,Z***.,1,https://www.goofish.com/item?id=922024646249&categoryId=126860528
"迈拓显示器分割器，分屏器，最后一套没有线。 
感兴趣的话点“我想要”和我私聊吧～",70.0,永***！,1,https://www.goofish.com/item?id=964543965809&categoryId=126856393
两台2021带升级深信服AC-1000-B1400上网行为管 理， 带有6个千兆电口，两个光口， 机房原装完好下架二手设,4280.0,t***8,2,https://www.goofish.com/item?id=891048316990&categoryId=126862973
九成新莱宝D60C真空泵出售，功能包好，真空度1帕以下，电机   九成新莱宝D60C真空泵出售，功能包好，真空度1帕以下,888.0,西***子,2,https://www.goofish.com/item?id=934514716100&categoryId=126856582
菲拉格慕皮革保养绵羊油 专柜赠品 买鞋赠送的 半价出 全新未 拆封,117.0,用***5,1,https://www.goofish.com/item?id=904321572464&categoryId=126858250
旋转陀螺椅  感兴趣的话点“我想要”和我私聊吧～,40.0,爆***茶,3,https://www.goofish.com/item?id=947507134373&categoryId=126862446
千三碳箭，可裁箭。布拉泽箭羽，3寸水滴羽可选。关联，地震碳箭 ，台风箭，派纳斯碳箭。300挠，350挠，400挠可选  ,200.0,弓***外,0,https://www.goofish.com/item?id=774309934400&categoryId=202063905
重庆主城蹲便改马桶马桶改蹲便智能马桶安装，重庆主城都可以上门 ，质量第一，需要的朋友点我想要私聊。,86.0,楠***器,21,https://www.goofish.com/item?id=748972480490&categoryId=201457916
意大利eroufencing纯手工剑包，最高端最上档次的击剑 品牌，没有之一，纯手工制作，大容量，可容纳一整套击剑装备，,750.0,肥***h,10,https://www.goofish.com/item?id=803167283116&categoryId=126866229
买来用了一次，因为没有时间经常出去玩，放在家里也占地发，质量 相当可以，现在便宜处理，给钱就卖。,299.0,T***0,7,https://www.goofish.com/item?id=856188817671&categoryId=126856952
宠物DJJ外出狗鞋子  FOKWOW网眼透气防脏烫凉鞋 不易掉软底防尘防伤  50码 轻微使用痕迹 买大了 包邮出  原,90.0,恋***果,6,https://www.goofish.com/item?id=882599361893&categoryId=126854696
出售1.2m同心牌工业脱水机一台。  低价出售工业二手脱水机，广东机不锈钢材质内胆加厚耐腐蚀性高，底座也是加厚低价出售工,199.0,恒***备,0,https://www.goofish.com/item?id=809023337460&categoryId=201458905
"音箱接线板。铁背板 
尺寸：178mm×128mm
孔距：157mm×105mm
全新未使用
标价包邮",17.0,咸***身,0,https://www.goofish.com/item?id=963888865385&categoryId=126864976
澳斯迪 背景音乐主机 DM838（白色）     库存1     成色6成，有使用痕迹,750.0,福***姐,1,https://www.goofish.com/item?id=785021528329&categoryId=126856469
多补达爱尚饭纤维即食乳酸菌粉，全新未拆封，每盒100g（5g ×20袋）。含山楂粉、茯苓粉、沙棘粉等多种天然成分，乳酸菌,59.0,逊***民,118,https://www.goofish.com/item?id=956924435612&categoryId=201454212
