标题,价格(元),所在地,想要人数,商品URL
[浦城百货工厂5折批发]毛巾杆免打孔卫生间加长浴室双杆壁挂式   自家小工厂，地址在浦城中山西路，专门做批发给电商平台商,5.07,浦***厂,0,https://www.goofish.com/item?id=712457251144&categoryId=126858772
ep雅★莹童装儿童领子，可以搭配大衣实用，版型很好，穿着舒适 ，全新有吊牌，尺码110+140+160码，售出不退不换,58.0,亲***装,1,https://www.goofish.com/item?id=962333233563&categoryId=126918100
大马碧富柠檬味薄荷糖网红糖果润喉提神海盐咸柠檬味马来西亚进口   发现了这个宝藏润喉糖，来自马来西亚碧富牌~~~一整盒里,38.0,甜***冬,10,https://www.goofish.com/item?id=754225540262&categoryId=201458129
全新厂家直销吊篮，价格实惠 厂家直销吊篮，价格实惠，经久耐用，有喜欢的私聊,214.4,爱***悔,18,https://www.goofish.com/item?id=582712180883&categoryId=126866781
洗面奶30毫升 22个  感兴趣的话点“我想要”和我私聊吧～,550.0,是***6,1,https://www.goofish.com/item?id=932266721719&categoryId=202037401
79.EPLAN2024-Cad Electrical   79.EPLAN2024-Cad Electrical202,5.0,金***蒿,1,https://www.goofish.com/item?id=869954736993&categoryId=201454917
无硫紫丹参片   规格: ①紫丹参圆片中片250g=16.5  500g=31 ②紫丹参圆片大片250g=19     ,14.0,美***发,1,https://www.goofish.com/item?id=852703698994&categoryId=201460017
闹铃时钟桌面夜光智能小型闹钟   仓库升级，亏本包邮清理库存  【数量有限，速度下单！】  不要问有没有，能看到就有，直,11.9,不***光,15,https://www.goofish.com/item?id=659284086641&categoryId=126918120
10.9元包邮 仿真摄像头假监控器半球形逼真模型室内家用店铺 吓贼防盗探头带灯 实物拍摄 泉鑫包邮，偏远地区补邮费 需要,10.9,歡***呀,0,https://www.goofish.com/item?id=898044222546&categoryId=126856397
库存全新，广州迪斯蒙牌男式大型全自动机械表   广州手表厂，走时正常，快拨双日历，全自动机械表，直径36毫米左右,220.0,库***代,13,https://www.goofish.com/item?id=683163128760&categoryId=126916028
二手开业花篮出售  感兴趣的话点“我想要”和我私聊吧～,29.9,专***篮,59,https://www.goofish.com/item?id=936928250827&categoryId=126864736
大疆DJI 御Mavic Air 航拍无人机飞行器 便携折叠  4k高清全景避障，数码收纳，收纳包！全新！ 大疆无人机飞,40.0,白***儿,169,https://www.goofish.com/item?id=640274766854&categoryId=126856567
深山新鲜巴戟天，鸡肠薯，需要的联系，不包邮。  感兴趣的话点“我想要”和我私聊吧～,28.0,淘***宝,278,https://www.goofish.com/item?id=585459330127&categoryId=201451324
美胶打胶工具，一个全新的，一个用过的两个打包20块  感兴趣的话点“我想要”和我私聊吧～,20.0,齐***子,1,https://www.goofish.com/item?id=953774004142&categoryId=126858673
藜蒿粑粑是由糯米粉，藜蒿，小麦粉，水，砂tang，食用植物油 做成 好的美食由简单的原料纯手工制作而成，色泽鲜亮软糯不粘,15.8,务***姜,17,https://www.goofish.com/item?id=886249601380&categoryId=201452223
Naturehike挪客户外淋浴器，便携设计，适合露营使用。 买来只用过一次，成色有轻微使用痕迹，不包邮。售出不退换 方,80.0,利***因,13,https://www.goofish.com/item?id=939524246321&categoryId=126856839
0.23厚6元每米绝缘高导热散热硅矽胶布片国产贝格斯，粉色， 耐温200℃，可做绝缘垫片使用，质量好，装机闲置库存，0.,3.0,用***3,20,https://www.goofish.com/item?id=683387984061&categoryId=126856570
大疆 Pocket 3 18 元 / 天租 免押全国可租 配随心换，无套路！   专注相机租赁，服务有保障：​ 租金透明,18.0,摄***机,1,https://www.goofish.com/item?id=941370152745&categoryId=201458808
青岛花帝HD-5增香剂，整件2000，标价既售价公司一批商代 理，绝对正品，欢迎咨询 感兴趣的话点“我想要”和我私聊吧～,85.0,沫***X,120,https://www.goofish.com/item?id=661852606974&categoryId=201453328
瑜伽鞋女室内锻炼健身专用普拉提运动鞋跳绳女防滑软底静音跑步鞋  鞋码: 38、颜色分类: 墨玉黑【面料升级✅静音防滑⭐吸,10.07,鱼***袋,0,https://www.goofish.com/item?id=927583843997&categoryId=126866583
