标题,价格(元),所在地,想要人数,商品URL
爱华牌老电风扇，保存完整，值得收藏，正常使用，尺寸如图，包老  感兴趣的话点“我想要”和我私聊吧～,380.0,t***3,0,https://www.goofish.com/item?id=957399804158&categoryId=126862094
铝合金舞台出租  感兴趣的话点“我想要”和我私聊吧～,20.0,桁***8,0,https://www.goofish.com/item?id=956549167851&categoryId=126862086
儿童脸盆，闲置。小盆5元1个，大盆8元1个，自提。  感兴趣的话点“我想要”和我私聊吧～,5.0,瓶***6,1,https://www.goofish.com/item?id=684807504812&categoryId=126918137
安克PowerCore II 12000mAh充电宝，轻微使 用，配送3头充电线。,88.0,我***輝,0,https://www.goofish.com/item?id=861918722553&categoryId=126854219
佳能rf70-200f2.8镜头，佳能微单口镜头，自带防抖行 货二手使用次数少基本没怎么使用，最顶级人像特写虚化效果不错,1.35,是***1,1,https://www.goofish.com/item?id=964242573848&categoryId=126864783
#海鲜 【新鲜多宝鱼本港海捕扁鱼鲜活比目鱼左口鱼】   全身都是肉，无小刺 多宝鱼 1斤多/条  每斤43元，广东省内三,43.0,蚝***蟹,50,https://www.goofish.com/item?id=953835125195&categoryId=126916185
耐克长裤   全新  看好下单 不退不换,299.0,闲***店,1,https://www.goofish.com/item?id=845186034641&categoryId=126866657
跨栏足球训练器材田径小跨栏小栏架体适能训练足球装备跨栏架 适 应于体育动作练习*10高度可自选,45.0,稳***器,0,https://www.goofish.com/item?id=958095626799&categoryId=126866367
全新水机防水袋子 6元自提  感兴趣的话点“我想要”和我私聊吧～,6.0,点***啦,0,https://www.goofish.com/item?id=940791256311&categoryId=126856840
【两瓶24块8包邮】鞋子除臭剂喷雾。全新未拆封，一瓶260m l，可直接拍。,24.8,高***店,0,https://www.goofish.com/item?id=953087335603&categoryId=126858778
自热米饭自嗨锅专用的加热包，食品专用加热包10包8元包邮  感兴趣的话点“我想要”和我私聊吧～,8.0,北***头,14,https://www.goofish.com/item?id=866617694087&categoryId=201947003
完美开脸黑白德文卷毛猫宝宝，毛量特别好，卷毛蓬松，正开脸，白 围脖+白手套，脸型精致可爱。现在还很小，接受预订，喜欢的铲,500.0,德***球,6000,https://www.goofish.com/item?id=950929653253&categoryId=126854790
【活动价】OXFREAK 24FW「套装系列 重磅空气层」秋 冬三条杠卫衣开衫休闲裤,220.0,k***o,0,https://www.goofish.com/item?id=877817407130&categoryId=126860490
瑶族长鼓，色彩鲜艳，长约90厘米，配有鼓绳，方便携带。适合民 族舞蹈和学生艺考，几乎全新，使用次数不多。闲置转让，售出不,80.0,J***N,0,https://www.goofish.com/item?id=918546779599&categoryId=126858958
小牛G2升级大坐垫之后可加装后货架，装尾箱。看好下单，不包邮 ！可联系加价包邮,80.0,小***店,28,https://www.goofish.com/item?id=642569302187&categoryId=126866868
太原市改窗户内开内倒坚郎五金，洛奇五金价格低正品保证质量可靠  感兴趣的话点“我想要”和我私聊吧～,180.0,太***他,2,https://www.goofish.com/item?id=930783598705&categoryId=126856997
"闲置 全新没用过的书包，蛮牢的，转给需要的小伙伴，不退不换哦 
感兴趣的话点“我想要”和我私聊吧～",20.0,我***铃,0,https://www.goofish.com/item?id=924110573857&categoryId=126862779
哈希U53流量计   波回波技术测量液位，通过内置数据库或用户自定义曲线计算流量 感兴趣的话点“我想要”和我私聊吧～,5200.0,娴***画,1,https://www.goofish.com/item?id=951764345832&categoryId=201459807
老纸老洒金宣纸 四十张合售 尺寸:  29 × 19 厘米   实物见图 包邮价45元 需要可以直接拍 ,45.0,真***物,0,https://www.goofish.com/item?id=960437476605&categoryId=126862345
想跑网约车的师傅看过来，一人一车，工作时间8～10小时，薪资 待遇取决于工作时间！ 任职资格： 1；年龄21-59岁，C,2500.0,网***理,4500,https://www.goofish.com/item?id=761230382529&categoryId=201770406
