标题,价格(元),所在地,想要人数,商品URL
田螺姑娘卤炸黄皮鸭爪  广西黄皮鸭爪，有实体门店干净卫生，全国连锁 一份10个快递真空， 有三个口味，蒜香不辣，香辣，紫,60.0,x***2,65,https://www.goofish.com/item?id=931086769345&categoryId=126916204
T-Rex Fuel Tank单块效果器电源，五路输出，带升 压调节，9v，12v，18v。仅电源，无链接单块的电源线。,450.0,c***t,1000,https://www.goofish.com/item?id=932910548645&categoryId=126858843
"对外汉语老师上试课试课一对一1节70元30分钟。 
平台zoom 和腾讯会议。
该价格仅支持一对一。
请私信联系。",70.0,门***树,140,https://www.goofish.com/item?id=961575527237&categoryId=201453114
货车省力轮胎扳手重型减速套筒螺丝手动风炮增力拆卸汽车换胎工具  感兴趣的话点“我想要”和我私聊吧～,100.0,8***8,0,https://www.goofish.com/item?id=955356136819&categoryId=127058019
【原创手工编织】***韩国超细纤维洗碗巾 韩国同款手工编织洗 碗布 不伤锅 可重复使用 强力去污不沾油 环保耐用5条装*,50.0,拿***窝,0,https://www.goofish.com/item?id=960876064764&categoryId=126858264
ABI7500 fast帕尔贴致冷PCR制冷片  美国马洛marlow全新原装帕尔贴制冷片  4片一套，现货4套，整套价,4000.0,进***料,2,https://www.goofish.com/item?id=875641248659&categoryId=126856569
"RICH ROSE 卵巢胶囊 
鹿直播间购入，正品保证
吃了半盒就怀孕了，还有两盒未拆封的给需要的姐妹，半盒的也可以低价",90.0,a***u,3,https://www.goofish.com/item?id=962918803368&categoryId=201458125
阿迪达斯赞助国家女排同款比赛服  2013年世界女排大奖赛 绝版中国女排同款比赛服 物以稀为贵，有缘千里来相会,699.0,正***焕,14,https://www.goofish.com/item?id=652424274638&categoryId=126866319
气溶胶灭火装置灭火器，可电动启动可明火启动，汽车必备，原价9 00自己工程剩下的便宜出，小店商品全部保证质量售出概不退换,200.0,工***备,11,https://www.goofish.com/item?id=742008100682&categoryId=126860674
张裕整箱烟台张裕特选级雷司令干白葡萄酒  特价 439/箱   黄岛自提,439.0,小***经,9999,https://www.goofish.com/item?id=910429895190&categoryId=201453820
"艾诗摩尔洗头梳硅胶材质 很软  全新 
感兴趣的话点“我想要”和我私聊吧～",49.0,呜***啦,0,https://www.goofish.com/item?id=927760067002&categoryId=126860169
实木楼梯扶手，手工雕刻精美花纹，木质细腻，做工精细。适合家用 楼梯安装，小柱子都有140根，大中柱4个，扶手22米左右，,2680.0,小***窗,0,https://www.goofish.com/item?id=964552463273&categoryId=126858034
19000根热缩管，未拆封的，便宜处理了，走过路过不要错过， 买不了吃亏买不了上当，绝对诚心诚意出,700.0,芋***芋,2,https://www.goofish.com/item?id=960263517073&categoryId=126912133
冰冻烧古法琉璃茶洗   尺寸：130*130*95mm  关于产品的描述 1、产品尺寸 高度95mm，口径130mm 2,550.0,图***塔,950,https://www.goofish.com/item?id=672544074445&categoryId=126854580
这种家里小东西太多太多了，现在太多余  感兴趣的话点“我想要”和我私聊吧～,5.0,李***姐,1,https://www.goofish.com/item?id=933930274361&categoryId=126858277
2025新款MacBook Pro Air M4键盘保护膜， 超薄无感设计，拜耳材质，官方仿生黑色胶膜。适用于15寸A3,54.18,婷***6,0,https://www.goofish.com/item?id=952623262330&categoryId=126854037
175瓦黄x2 线束一套  感兴趣的话点“我想要”和我私聊吧～,300.0,B***电,5,https://www.goofish.com/item?id=955627610632&categoryId=126856517
窗帘耳边和底穗 耳边4元一盘 底穗8元一盘 基本都是红色系  数量很多    窗帘店不干了清仓 西青自提 5盘起售,4.0,C***n,9,https://www.goofish.com/item?id=693749820605&categoryId=126858637
vivineenwestwood包 西太后微微安绝美腰包成色 好，日本中古店刚买到的，绝版，超级美，背上就是最靓的仔～价,8.88,今***6,69,https://www.goofish.com/item?id=587716596944&categoryId=126866674
逆变器变压器，稳压器线圈，全铜线圈，15KVA的稳压器上拆下 的，220V线圈，是做逆变器的天花板，实际功率8000W，,485.0,用***0,0,https://www.goofish.com/item?id=961372516161&categoryId=127056011
