标题,价格(元),所在地,想要人数,商品URL
"南宁同城配送派耐斯台泥，全部现货交易，有入门级PNS888, 俱乐部入门级PNS6688. PNS单底布368元，带边布",368.0,南***护,5,https://www.goofish.com/item?id=887351920916&categoryId=126866351
【棒球】美产VICTUS PRO RESERVE Ferna ndo Tatis 明星棒球棒  国内现货，下单秒发 全部,1589.0,棒***e,0,https://www.goofish.com/item?id=909909208515&categoryId=126866104
珠帘闲置 基本尺寸都够用 密山自提  感兴趣的话点“我想要”和我私聊吧～,99.0,泉***者,0,https://www.goofish.com/item?id=952496240153&categoryId=126858645
D-Link 打印机共享器 DP-301U  配置简单非常好用的打印机共享神器 功能正常，成色如图！单机+原装电源！可指,45.0,闲***城,0,https://www.goofish.com/item?id=804920761616&categoryId=126854294
深达威噪音计，全新未使用仅拆封  感兴趣的话点“我想要”和我私聊吧～,180.0,丢***仔,0,https://www.goofish.com/item?id=922765004082&categoryId=126864704
44码全新～正版赛纳多功能安全鞋，钢头  高弹性，吸汗，透气，防臭，保护足趾+防静电，可小刀,100.0,浪***娘,0,https://www.goofish.com/item?id=846079326247&categoryId=126864463
雀巢咖啡杯。2002年雀巢马年限量珍藏版，20年前的物品，红 色款很喜庆，保存的完好,16.0,一***忆,0,https://www.goofish.com/item?id=835878873184&categoryId=126862307
铁艺桌脚金属脚支架，亚光黑色。  长165cmX宽55cmX高45cm（不含桌面厚度）。 因为搬家闲置，低价转让原价定制,99.0,蛋***锅,0,https://www.goofish.com/item?id=925200272242&categoryId=126860962
广州俄语老师，高考俄语冲刺复习，高中零基础学习，线下，线上都 可以。八年留学经验，俄语教育专业，拥有多年教俄罗斯人中文和,9.8,元***虫,99999,https://www.goofish.com/item?id=789552523085&categoryId=201460611
老牌绝版铝壳沪光绝缘电阻表（兆欧表）全新沪光牌2008年产Z C25B/ZC25-4绝缘电阻表1000伏特，包装盒原配闲,100.0,杰***1,64,https://www.goofish.com/item?id=595416931868&categoryId=126864705
"自有沙场 
全杭州区域水泥黄沙石子建筑材料专送 

主营产品：水泥，袋装沙，红砖，加气块，粘合剂，防水，石子，豆石，陶粒",7.0,嘉***送,8,https://www.goofish.com/item?id=793595261495&categoryId=126858109
维控触摸屏  PI3102HE  成色如图  二手拆机  合 适私聊   包功能正常  请看清楚图片  货物卖出非功能问,238.0,x***7,0,https://www.goofish.com/item?id=949636197193&categoryId=126864208
华柏视频处理器，功能正常，四网口输出。支持HDMI、DVI、 VGA、CV1、CV2多种信号输入，接口丰富。实物拍摄，成,520.0,t***8,7,https://www.goofish.com/item?id=747043102458&categoryId=126856409
【低价处理】瓶盖振动盘全新不锈钢材质（可按产品要求订做 ）   【工厂直销】专业定做磨床 自动车床 数控 组装机 冲床 ,500.0,振***做,3600,https://www.goofish.com/item?id=714701675418&categoryId=126864210
出售章鱼小丸子机器，56孔，全套装备，包括机器、三四袋签子、 五个酱瓶、打蛋器、叉子、两个刷子、做面粉调和器和五百套餐盒,350.0,小***冰,1500,https://www.goofish.com/item?id=786657109273&categoryId=126854924
100支芦苇干花永生花室内北欧中式日式造材料橱窗婚礼   自然原色芦苇干花 【规格】 100支60厘米22.5元包邮 (,22.5,老***艺,1,https://www.goofish.com/item?id=912220721400&categoryId=126858191
音箱支架2个3角支架2个掉架自提  感兴趣的话点“我想要”和我私聊吧～,50.0,8***8,1,https://www.goofish.com/item?id=792421380017&categoryId=126864982
全新世创FJ-MX-01防火门电磁门吸，2024年4月生产， 功率2瓦，吸力50Kg，带磁力，墙装式。实物拍摄，大量现货,35.0,西***水,0,https://www.goofish.com/item?id=916244644308&categoryId=126858048
科敏可乐罐造型USB迷你冰箱，车载宿舍都能用！5V供电，制冷 效果好，静音设计。内部尺寸6.5*10cm，外部10.9*,55.0,3***T,0,https://www.goofish.com/item?id=951030166096&categoryId=126854021
地钉40cm全新8根  地钉包一起打包出 一经售出不退不换,45.0,时***岸,5,https://www.goofish.com/item?id=886133384984&categoryId=126856953
