标题,价格(元),所在地,想要人数,商品URL
皂角    纯野生无熏硫，都是山里几十上百年的大树，质优价廉 ，需要的直接拍  非偏远地区包邮,9.9,桃***姐,26,https://www.goofish.com/item?id=860045497495&categoryId=201458416
霍尼韦尔 HNVE1 网络视频服务器，拆机  感兴趣的话点“我想要”和我私聊吧～,190.0,卫***库,0,https://www.goofish.com/item?id=948035655984&categoryId=126862940
金属悠悠球  感兴趣的话点“我想要”和我私聊吧～,5.0,摘***猩,0,https://www.goofish.com/item?id=936397000927&categoryId=126866267
儿童衣柜简易衣柜男孩女孩衣橱塑料储物收纳柜  ❤️【全新包邮】环保材质，无污染的树脂材料，无甲醛，无异味，并结合一级光圆,20.0,酸***谭,9,https://www.goofish.com/item?id=653430297452&categoryId=126866770
服装店展示架吊顶架悬挂女装衣架婚纱钢丝绳吊杆橱窗不锈钢吊架  感兴趣的话点“我想要”和我私聊吧～,30.0,铁***架,0,https://www.goofish.com/item?id=700557289218&categoryId=126912091
范师傅手摇壁纸上胶机53cm9.9成新买来就用了一次次，干不 了闲置转让全套有水平仪，搅拌钻，刀片压轮腰包各种配件全套入,850.0,绿***苋,1900,https://www.goofish.com/item?id=666484448525&categoryId=126858094
"智利彩色大步甲原虫标本。 
体长约24mm，2爪钩残缺，头胸绿色，鞘翅中部金色金光泽，两侧渐变红色，色彩丰富靓丽。
品相",66.0,彩***丁,1,https://www.goofish.com/item?id=965456771416&categoryId=202034301
我家电布线设计主要服务于石家庄市周边区县晋州市，提供专业的布 线设计服务。我们的服务内容包括各类家电的布线设计，确保每个,100.0,诚***言,200,https://www.goofish.com/item?id=866190447911&categoryId=201450406
"小米灯条遥控器宜家Skadis置物架支架 
感兴趣的话点“我想要”和我私聊吧～",12.0,w***雯,0,https://www.goofish.com/item?id=963125594584&categoryId=126862503
green house韩国ins熊兔子毛绒防夹手门挡儿童安全 防护宠物留门 羊羔绒材质 超萌小熊造型 适合儿童房使用 防,13.53,永***橙,0,https://www.goofish.com/item?id=961942729631&categoryId=126864838
出售几张二手救生椅  感兴趣的话点“我想要”和我私聊吧～,220.0,单***儿,500,https://www.goofish.com/item?id=930309855445&categoryId=126866364
【5斤大果可生吃旱黄瓜】水果黄瓜新鲜现摘农家旱黄瓜生吃蔬菜当 季刺青瓜脆嫩小黄瓜包邮 【旱黄瓜】产地直发，新鲜采摘，水质,23.8,百***观,28,https://www.goofish.com/item?id=871334926655&categoryId=201941503
越南榴莲干中越泰牌子  品质看得见的金枕头榴莲干 净重一包80克8小包 新年福利价88元2包邮#办公室零食礼包,45.0,越***铺,1,https://www.goofish.com/item?id=871871398394&categoryId=201455221
广州低价转让全新即热型电热水器质量保证先抢先得  感兴趣的话给我留言吧！,89.0,监***修,1680,https://www.goofish.com/item?id=603223612661&categoryId=126856136
自家种植的笨大豆，非转基因，无化肥农药，全部是老爸开荒种植的 老品种。保证新豆子，适合发豆芽、炖肉、打豆浆、豆油，做豆腐,8.0,天***米,15,https://www.goofish.com/item?id=901868093852&categoryId=201460817
开仓老熟地黄，好的一颗九制熟地需要纯手工制作，经过九蒸九晒才 能做出来#九蒸九晒#九制熟地#花式养生主义 #养生饮食 #,128.0,柠***屿,368,https://www.goofish.com/item?id=909792781666&categoryId=201449722
适用于宝马汽车一键启动装饰贴方向盘标贴内饰改装中控多媒体贴标   宝马标贴 直径56MM   背面带胶贴  共4个打包出,15.0,林***鹿,0,https://www.goofish.com/item?id=846479751542&categoryId=126860687
自家杏树的杏核，家里老人自己剥自己晒的，未打农药，手工包，无 添加，也可做手工diy，2斤起包邮！全部都是自家的!,14.0,自***在,4,https://www.goofish.com/item?id=948453431272&categoryId=201453509
智能音乐拳击靶，公司发的6.1儿童节礼物，孩子太小不适用。2 套，全新，配件、外包装齐全，淘宝卖115元/套，现在60元,60.0,自***件,1,https://www.goofish.com/item?id=933585635987&categoryId=126866416
和田玉 羊脂玉 白玉老烟嘴 罗汉烟嘴 完美 自然光 尺寸78 -14.5毫米,1500.0,龙***使,16,https://www.goofish.com/item?id=655945337996&categoryId=126916174
