标题,价格(元),所在地,想要人数,商品URL
motorex空滤油，空滤清洗剂  感兴趣的话点“我想要”和我私聊吧～,135.0,越***发,0,https://www.goofish.com/item?id=958520086942&categoryId=126860457
骰子，色子，5个骰盅塑料的，一共31个骰子  感兴趣的话点“我想要”和我私聊吧～,10.0,兮***3,9,https://www.goofish.com/item?id=736352847873&categoryId=126860367
#新鲜去骨羊肉现宰整块羊腿分割高端调理小山羊肉内蒙古山羊烤串 烧 五斤去皮去骨款¥180 四斤去皮去骨款¥141 三斤去,95.0,草***鱼,1,https://www.goofish.com/item?id=726360688304&categoryId=201459022
"礼品定制伴手礼笔记本礼盒商务办公高档保温杯本子水杯纪念品刻字 


工厂直销。7天无理由退货包运费。",23.5,1***8,11,https://www.goofish.com/item?id=920696868946&categoryId=126854327
全新，试灯汽修修车汽车电工专用试电笔电路维修数显检测电压12 v24v货车，（新疆西藏不包邮运费20元）,25.9,行***具,1,https://www.goofish.com/item?id=801245964531&categoryId=126860872
振捣器  农安县内自提,300.0,用***3,5,https://www.goofish.com/item?id=723640701173&categoryId=201460304
闲置转让一台小型茶叶提香机9层，成色很好，一次能提20斤左右  机器在昭平县，自提价1450,1450.0,广***发,2,https://www.goofish.com/item?id=949713292748&categoryId=201461002
网红新款果冻字 亚克力字不锈钢波纹板门头定制  感兴趣的话点“我想要”和我私聊吧～,120.0,日***告,4,https://www.goofish.com/item?id=703171032954&categoryId=201453401
老肩板，品相不错  感兴趣的话点“我想要”和我私聊吧～,36.0,乡***品,0,https://www.goofish.com/item?id=941635415605&categoryId=201455002
上门处理废旧家具，代扔旧家具，废旧物品，家具代扔，家装拆除。   从事8年专业打墙出渣 拆除除渣服务。 代扔&： 上门代,88.88,永***收,666,https://www.goofish.com/item?id=681095681309&categoryId=201459207
低价转让揉捏机  感兴趣的话点“我想要”和我私聊吧～,150.0,T***8,0,https://www.goofish.com/item?id=839398388059&categoryId=201457124
石头画小萌猫，笔筒画#笔筒 #猫咪 #送闺蜜礼物 尺寸：12 *14cm,260.0,月***画,0,https://www.goofish.com/item?id=776322919326&categoryId=126858529
潮汕特产墨斗鱼丸，口感Q弹  自营多年实体，真材实料，每天现打现卖，日期新鲜，只做回头客。批发价格没有中间商！  全部发,45.0,牛***丸,0,https://www.goofish.com/item?id=955355525782&categoryId=126916190
瘦手臂神器瘦胳膊减蝴蝶臂瘦背瘦肩膀的神器快速拜拜…  颜色分类:S码爆汗臂套,45.84,超***娅,0,https://www.goofish.com/item?id=631852928942&categoryId=126866556
王海滨的财经闲谈 75元每月  感兴趣的话点“我想要”和我私聊吧～,75.0,蓝***复,2,https://www.goofish.com/item?id=961461477271&categoryId=201449614
3D人形墙  感兴趣的话点“我想要”和我私聊吧～,6000.0,爱***星,0,https://www.goofish.com/item?id=927602189159&categoryId=126858113
地毯 鼓垫 2米✘1.6米，价格可聊  感兴趣的话点“我想要”和我私聊吧～,30.0,清***元,0,https://www.goofish.com/item?id=950542468584&categoryId=126858893
新鲜挪威三文鱼鱼头，肉质鲜美，带橙色鱼肉，干净卫生。适合炖汤 、火锅等烹饪，肉质细腻，带有自然鱼香味。 出手原因：家里有,19.9,奔***马,0,https://www.goofish.com/item?id=940144431048&categoryId=126916187
两瓶儒意全新未拆封搓泥宝  男女全身通用搓澡泥深层清洁去角质 澡堂专用官方旗舰店 350ml一瓶不发货 两瓶包邮有优惠 ,49.9,玛***车,2,https://www.goofish.com/item?id=735636163255&categoryId=126860132
原装路虎发现神行轮胎防盗螺丝套筒螺帽，便宜出，偏远地区不包邮  感兴趣的话点“我想要”和我私聊吧～,45.0,休***手,0,https://www.goofish.com/item?id=941128054293&categoryId=126864650
