标题,价格(元),所在地,想要人数,商品URL
Apple Watch 磁力快速充电器转 USB-C 连接线  (1 米) 还有一根是全新未拆 合适就出了 s8的盒子 ,180.0,C***g,0,https://www.goofish.com/item?id=952326928325&categoryId=202153533
爱国者电子相册DP5060智能照片视频播放器家用图片显示器数 码相框定制，MP3 MP4音乐播放器送2G内存卡，USB口,58.0,好***潮,15,https://www.goofish.com/item?id=748694015880&categoryId=126854201
金创利多排中包机一台，卫生纸包装机   二手卫生纸加工设备 二手卫生纸生产机器 二手抽纸机 卫生纸 抽纸 卷纸 餐巾纸 ,1.35,袁***械,65000,https://www.goofish.com/item?id=769112594469&categoryId=201455405
西门子空开辅助触头5ST3020-2 5ST302.FC拆机 件成色不错 感兴趣的话点“我想要”和我私聊吧～,36.0,用***2,2,https://www.goofish.com/item?id=760358224103&categoryId=126864194
（全新未使用）【狂欢价】美的官方旗舰XC60/XC61立式高 温消毒柜家用小型台式嵌入碗柜碗筷 23年5月购入，闲置未使,200.0,不***啊,0,https://www.goofish.com/item?id=873193828410&categoryId=126854919
出售一款踝关节固定支具，适合右脚使用，尺寸适中，44-46码 。颜色为灰色搭配蓝色细节，成色几乎全新，只用过一次。这款支,50.0,灰***9,450,https://www.goofish.com/item?id=920348645046&categoryId=126856919
马泰克厨房湿巾 10包*60片28.9元包邮   加大加厚厨房专用湿巾 厨房清洁必备神器 一包能用一个月 超大尺寸手臂长,28.9,太***心,0,https://www.goofish.com/item?id=943677611218&categoryId=126858353
全新 加长电锤钻头方柄四坑圆柄两坑两槽穿墙混凝土冲击钻头  感兴趣的话点“我想要”和我私聊吧～ 16的9.9 22的17,9.9,溪***流,8,https://www.goofish.com/item?id=810015145568&categoryId=126864421
格米莱3200  包邮 送无面者500g  被说成具有自身风格的烘豆人还是很开心的。 甜 #粉丝福利# #手冲咖啡# #,2850.0,延***工,4200,https://www.goofish.com/item?id=652370026165&categoryId=126912025
瑞蒙德工业在线电导率仪表  具体参数如图，还剩3个 新旧如图  闲置物品不退不换,300.0,岁***忧,1000,https://www.goofish.com/item?id=751775839340&categoryId=126864685
娇韵诗至臻凝时月光宝瓶系列按摩仪   618专柜买了4800送的赠品 非常高级有质感 就是图4的样子[托腮] 全新有塑封,66.0,J***ベ,3,https://www.goofish.com/item?id=875138092379&categoryId=126860064
VD唯德实木儿童学习桌，蓝色搭配原木色，颜值高实用性强～   桌面带抽屉收纳，带书架收纳格，可升降调节高度，适合小学生用,800.0,天***参,0,https://www.goofish.com/item?id=939099830038&categoryId=126864897
JSCC精研调速器速度控制器SK200，20元一个，数量11 个，需要的老板带走！,20.0,x***7,3,https://www.goofish.com/item?id=742419326614&categoryId=126864201
软包组合三件套便宜出，彩虹楼梯+滚梯+方墩，适合刚会爬的宝宝 玩，是攀爬架的过度选择。尺寸详见图片，东西比较重，仅支持北,530.0,糖***咪,19,https://www.goofish.com/item?id=840796956586&categoryId=126862851
Palm Angels 新款棕榈天使徽标logo休闲短裤沙滩 运动裤旅游必备男女同款 颜色如图 码数：S M L XL,108.0,时***品,209,https://www.goofish.com/item?id=960161279596&categoryId=126866535
特价-350N击剑服下装 击剑裤子--国家指定参赛品牌  感兴趣的话点“我想要”和我私聊吧～,66.75,牛***涛,0,https://www.goofish.com/item?id=892715763181&categoryId=126866221
爱普生WF-8093后进纸器适用 爱普生WF-6093 65 93 8593 8090 8093后进纸器 搓纸轮。拆机进,110.0,忠***好,2,https://www.goofish.com/item?id=914393991528&categoryId=126854321
钰龙CanaryII金丝雀二代成色如视频有箱子，功能正常，售 出不退不换,780.0,x***8,6,https://www.goofish.com/item?id=965540938901&categoryId=126864962
一吨，两顿单梁行车需要联系  感兴趣的话点“我想要”和我私聊吧～,5000.0,服***上,88,https://www.goofish.com/item?id=649692977534&categoryId=126864661
40×60厘米米字格黑板，背面是空白没有米字格  仅试用，没有损坏的地方 可用于学前教育专业学习或者幼儿识字教学等 赠送,26.0,冰***糕,3,https://www.goofish.com/item?id=901648930127&categoryId=126862073
