标题,价格(元),所在地,想要人数,商品URL
全新天地伟业132N天鹅蛋云台机，智能家用网络摄像机，白色设 计，室内居家监控  360度全景旋转，支持NVR/TF卡/,70.0,一***啊,6,https://www.goofish.com/item?id=949358103849&categoryId=126912172
英国玛田音响WPC 双10寸无源线阵   英国玛田功放IK42 适合高空派对酒吧,3.2,顶***行,1200000,https://www.goofish.com/item?id=650023702790&categoryId=126866006
弗雷姆FLM乒乓球胶皮膨胀油，100ml大瓶装，紫油高弹性高 爆发，底劲强化显著。  GEWO同厂生产，配方一致，性价比,78.0,扉***a,3,https://www.goofish.com/item?id=951279475472&categoryId=126914188
日本中古 帝王兰盖杯盖子 单盖 品相尺寸如图所示  *下单必读*下单必读* 1，咨询好再拍，偏远地区不包邮。 2，瓷器属,5.0,凑***闹,0,https://www.goofish.com/item?id=960442120127&categoryId=201451001
仿真夜光、高透水果，4毛一颗，自选，满120包邮  感兴趣的话点“我想要”和我私聊吧～,100.0,上***舍,0,https://www.goofish.com/item?id=957189985985&categoryId=126864711
木工工具，扁铲，旅刃扁铲，58元包邮不议价，宽19mm，二手 商品，看好再拍，不退不换。,58.0,工***8,0,https://www.goofish.com/item?id=918483969973&categoryId=126856014
运动半球。有点重能快递  感兴趣的话点“我想要”和我私聊吧～,29.0,幸***3,1,https://www.goofish.com/item?id=944274574908&categoryId=126866371
热熔衬布料粘合衬熨烫可水洗衣服热熔胶衬压烫衬双面粘衬绣花拼布 融合衬 白色：宽1.12米*长10米 （手工裁剪或许有些许,20.0,J***D,40,https://www.goofish.com/item?id=908744045993&categoryId=201455401
索乐克 轻量滑轮 双孔滑轮  #Singing Rock#索乐克 产品型号：RK806BB00   特点： 带有两个连接,218.0,家***备,390,https://www.goofish.com/item?id=895937014492&categoryId=126856906
银行存款日记账、收支登记表格：  1、里边有公式，自动生成余额，每月收入支出也自动生成， 2、可输入起止月份查询对应月份,6.8,暴***～,9,https://www.goofish.com/item?id=680364878643&categoryId=126864002
透明玻璃量杯，带双耳把手，刻度清晰易读，适合实验室、厨房使用 。大容量设计，底部光滑易清洗，透明度高，看得见操作更安全。,97.0,石***发,0,https://www.goofish.com/item?id=942270924728&categoryId=126914006
广拓AK023电子围栏脉冲主机，单主机无配件，功能正常。外壳 有使用痕迹，屏幕显示清晰，带布防撤防功能。支持USB和网络,100.0,浅***凉,3,https://www.goofish.com/item?id=933000719175&categoryId=126856390
烟台莱山马贝水泥基型防锈涂料 1K  纯自用剩余，2025年7月开封  烟台自提40一公斤，110整包剩余拿走 标价为1,50.0,用***7,4,https://www.goofish.com/item?id=956912549899&categoryId=201452902
日本百乐P500针管笔 全新正品 一盒12支装  0.5mm黑色水性笔 学生考试专用 直液式走珠笔 品质保证 淘宝同款7,50.0,T***鱼,85,https://www.goofish.com/item?id=932223449745&categoryId=126862999
全新航海指南针闲置，需要联系。  感兴趣的话点“我想要”和我私聊吧～,25.0,你***里,0,https://www.goofish.com/item?id=951550914039&categoryId=126856603
"不锈钢黑黄相间警示柱，加厚防撞款，高60cm，直径20cm, 厚度2mm。带反光膜。9成新，表面光滑平整，做工精细。适合",30.0,龙***下,1,https://www.goofish.com/item?id=959439023804&categoryId=126861000
吉印鱼缸迷你温度计高精度电子数显水温计水族箱显示屏温度表  全新未拆封过。,28.0,来***糖,1,https://www.goofish.com/item?id=958176481378&categoryId=126854830
琉璃袈裟扣，直径5，品相完好  感兴趣的话点“我想要”和我私聊吧～,210.0,f***g,2,https://www.goofish.com/item?id=683396725623&categoryId=126862424
【抖音同款】卡其优鞋靴干洗泡泡沫免水洗织物小白鞋干洗剂清洗剂 慕斯泡泡  全新650ml送毛巾，这是一只装的价钱！,13.8,好***来,8,https://www.goofish.com/item?id=866067694167&categoryId=126858337
北洋HOKUYO激光扫描仪，UAM-05LP-T301，功能 正常，顺丰到付，实拍图，包好用，不提供技术支持，不退换,1200.0,电***版,42,https://www.goofish.com/item?id=713105391884&categoryId=126856615
