标题,价格(元),所在地,想要人数,商品URL
日版 百变雄师 天威勇士 就一个主体，图里啥样到手啥样 感兴趣的话点“我想要”和我私聊吧～,300.0,山东,0,https://www.goofish.com/item?id=965808742972&categoryId=126860315
action toys 01  03 百变雄师 天威勇士 萨 尔魔    李德王 百变金刚状况：- 已拆已开封，全配无损，一次没变过，仅拆盒检查李德王盒子有褶皱不出盒控,600.0,安徽,0,https://www.goofish.com/item?id=966085478382&categoryId=126860303
百变雄狮雄师 可可怪 板卡 黑色 未开封！ 标价为单价！邮费自理！拍后留言！货源充足，可以直接付款，到货后尽快发货！,250.0,广东,76,https://www.goofish.com/item?id=801363002729&categoryId=126860303
现货 全新未拆 变形金刚 世代精选 遗产传世联合系列  百变 雄师三人套装 探路神眼&碾压&小足人 美版 ，不出盒控，快递不保盒，具体见图。  卖家卖的是玩具，不是工艺品，验尸官，完美主义者，成色控，盒控请绕道。官方产品，中奖（包括开盒掉漆，缺件，掉件，顺边）均无售后，变玩迷友都懂，要...,299.0,上海,0,https://www.goofish.com/item?id=919747197613&categoryId=126860315
DIY不锈钢 变形金刚 百变雄师 萨尔魔 5.0改进版 怀旧 玩具  还是那个他——唏嘘的青色胡茬，满口的大黄牙  之前做过一个1.0不锈钢色简陋版，一个2.0一个3.0进阶版，都已售出。 现继续进行改进，尽可能还原动画形象，身材更匀称，双脚全方位接地，增加了摩托车支架，需要时...,299.0,广东,0,https://www.goofish.com/item?id=889208528063&categoryId=126860315
百变雄师super+gobots宇宙飞船，航天飞机，无损无缺 ，贴纸未贴,600.0,广东,0,https://www.goofish.com/item?id=956293619436&categoryId=126860303
百变雄师吉普车，原版日产，全新未开封，品相很好细节见图，售出 不退换，概不议价，也不包邮。,1200.0,山东,0,https://www.goofish.com/item?id=966580621513&categoryId=126860303
Action toys 百变雄师 天威勇士 全套 es合金 变形金刚 二手全配无损成色好 图为借图  01萨尔魔 02钻探机 03里德王 04合金坦克  05 06 07 08 09 10 11 12 大全套  其中价格如下，都包邮全国非偏远  01:400 04:260 08:580 05:65...,9999.0,福建,12,https://www.goofish.com/item?id=730489997313&categoryId=126860303
变形金刚  百变雄师 吊车 卡车 40多年日本中古老物 成色 如图 吊车钩子坏了 卡车少轮子 随缘出了,210.0,上海,0,https://www.goofish.com/item?id=966058494068&categoryId=126860315
百变雄师 百变雄狮 GOBOTS 天威勇士 坦克 Tank0 2 MR-02 MR-B13  玩具为85年日产，全配无损，主体成色好，关节很紧！电镀仅有极轻微磨损，金属漆面零星针眼大小的磨损！配件电镀磨损较多！ 纸品只有说明书和贴底！ 外包成色一般，不缺任何合页，内包不缺肉，无小挡板，具体成色如图所示...,420.0,北京,0,https://www.goofish.com/item?id=959056495211&categoryId=126860303
【激罕有，全新】 百变雄师/雄狮 Gobots 全套玩具大百 科 图鉴 大全集  日版全新正品，国内罕见，从海外人肉背回。成色很好，收藏百变必备。附带应该有的碟片，腰封都有。 售价包邮非偏远。个人卖家，请充分了解后购买，仅此一本，售出不以各种理由退换。,6666.0,广东,23,https://www.goofish.com/item?id=593853954942&categoryId=126860303
百变雄狮 百变雄师 天威勇士 稀有物 高品相不少， 图上所有 打包出售，打包不拆。有意有实力私聊看图，售出不退不换,4.0,北京,7,https://www.goofish.com/item?id=734687669386&categoryId=126860303
百变雄师 大版本 航天飞机 成色如图 喜欢的联系我,220.0,北京,0,https://www.goofish.com/item?id=717104311630&categoryId=126862801
孩之宝 变形金刚 传世 世代精选 百变雄师 百变雄狮 套装 小足人 路路通 探路神眼 （异色宇宙飞碟 战戟 变速箱）   全新未拆封，拍下视频看货，满意再发货，盒子还行但是不出盒控默认盒损，孩之宝产品只保全新不保中奖，为防调包售出概不退换，包邮非偏远,317.0,山东,0,https://www.goofish.com/item?id=896991749978&categoryId=126860315
百变雄师 gobots 暗夜骑士 夜行者 斯古特 日版正版，万代 1984，所见即所得。无损，轻微发黄，有掉漆和氧化打包价不出验尸官不退不换,479.0,北京,0,https://www.goofish.com/item?id=782496939439&categoryId=126860303
万代 百变雄师 天威勇士 MR c-6 格斗机器人 盒子8-9c，玩具全配无损，无纸制品,650.0,北京,0,https://www.goofish.com/item?id=901631536899&categoryId=126860303
action toys 03 百变雄师 天威勇士 李德王 百 变金刚  状况： - 已拆已开封，全配无损  快递： - 不包邮，默认顺丰到付，买方亦可指定任何快递，邮费实收。 - 珠海寄货，澳门珠海可以面交。  条款及注意事项： 1: 拍下后等同买方在清楚了解并且同意全部条款的情况下进行交易。  2:...,389.0,广东,0,https://www.goofish.com/item?id=821456524654&categoryId=126860315
变形金刚  百变雄师 Go bots 2合1 战斗组合 [火][火]漆面成色如图所示，所见所得成色很好有内盒无外盒，[1]变形简单、顺畅，成色不错，关节很紧[2]玩具公司：BANDAI 产地：日本2023/12/03,680.0,辽宁,1,https://www.goofish.com/item?id=964077345875&categoryId=126860315
百变雄师，百变雄狮，大版，直升机大版武装直升机，阿帕奇，全新 盒装，贴纸未贴。二手老物看好再拍，不退不换。发货前会拍详细视频，满意再发。顺丰到付。节省大家时间，鸽子和砍价勿扰。,680.0,山东,0,https://www.goofish.com/item?id=587034138506&categoryId=126862801
百变雄师gobots天威勇士百变雄狮，万代正版，童年回忆，直 升机大小螺旋桨全好。,9999.9,福建,0,https://www.goofish.com/item?id=688833759698&categoryId=126860303
百变雄师 百变雄狮 GOBOTS 潜水艇 MR33 1983 年日产，戴维，成色不错，关节活动正常但略松。变形没问题，机身完整无损  说明：成色如图所示，中古玩具默认有瑕疵（掉漆落灰等问题），+具体以实物为准，可拍照看成色细节。包邮非偏远,220.0,广东,0,https://www.goofish.com/item?id=937911398114&categoryId=126860315
[佛系][佛系]变形金刚  百变雄师gobots  海军 直 升机   [1]漆面成色如图所示，所见所得  [2]变形简单、顺畅，全配件无损坏  [3]关节紧实，二手使用痕迹  版本：美版 产地：日本  2025/02/19,260.0,北京,1,https://www.goofish.com/item?id=889408083183&categoryId=126860315
变形金刚迷你 万代 百变雄师 百变雄狮 天威勇士gp扭蛋 关联变形金刚G1迷你地带 全配无损，说明书五张都有。没有把玩，收藏成色。没有蛋壳。 玩具非工艺品，虽全新，但不包出厂细小瑕疵。看好拍，包邮非偏远，售出不退不换。（鱼币仅做曝光，不抵扣）,280.0,安徽,0,https://www.goofish.com/item?id=933607836658&categoryId=126860333
百变雄师gobots三人组套装 版本：美版 成色：AFA80分。 物品描述：非常难得的少见百变雄师三人套装！！收藏极品。 展示不出！！！,9999.0,北京,1,https://www.goofish.com/item?id=665498341329&categoryId=126860315
万代 百变雄师 百变雄狮 天威勇士 拼装菲特，全新未拆，86 年的古董，年代物，所以盒子略泛黄，底盒有污渍，其他没有问题，盒子不大，成品大小比mr系列略大。   另有黑鸟、可可怪单出与1256四盒打包。详细见我的其他发布。,330.0,辽宁,0,https://www.goofish.com/item?id=848651858815&categoryId=126860325
[现货]孩之宝变形金刚世代精选百变雄师探路神眼碾压小足人全新 包邮非偏远，盒子凑合  卖的是玩具，不是工艺品，盒控，完美控，各种控请绕道。  官方产品，全新，但不保漆面完美，拆封后不退不换无售后 ，中奖无售后，要求高的慎拍。  宝贝一经售出，概不退换。 大连发货，一般周四周末发,369.0,辽宁,0,https://www.goofish.com/item?id=897721366942&categoryId=126860315
action toys 04 百变雄师 天威勇士， 坦克，展 示台全新未用，全配无损，盒说全，包邮非偏远。,650.0,北京,0,https://www.goofish.com/item?id=693898203229&categoryId=126860315
变形金刚g1 百变雄师 gobots puzzler 六车合 体成员Jig Saw，全新未开封，为加拿大版错版，板卡是Pocket的，错版非常少见，加版更少，板卡成色具体见图。售前接受各种咨询，售后不以任何理由退换，各种控勿扰，请自重，谢谢！,1000.0,山西,0,https://www.goofish.com/item?id=818322490566&categoryId=126860315
百变雄师 百变雄狮 GOBOTS，BANDAI万代正品 皮卡 车small foot MOSC 全新未开封,880.0,重庆,0,https://www.goofish.com/item?id=708034046954&categoryId=126860303
robo百变雄师天威勇士010203040506，全新未拆， 顺丰到付，售出不退不换。,2500.0,广东,0,https://www.goofish.com/item?id=871633148513&categoryId=126860315
百变雄师玩具，美版澳产成色不错，全配无损，稀有人物，品相细节 见图，售出不退换。,300.0,山西,0,https://www.goofish.com/item?id=958224841920&categoryId=126860303
百变雄师 赛车 成色非常难得 电镀闪亮 轮胎无裂 感兴趣的话点“我想要”和我私聊吧～,390.0,北京,0,https://www.goofish.com/item?id=858091046047&categoryId=126860315
百变雄师天威勇士飞机，全新未拆封，比较稀有版本，里面好像多配 备了一个罗全桨(共两个罗全桨)，由于是中古年代久远物品，不敢保证里面玩具是否有残缺中奖的可能，买家看好再拍，一担卖出不退不换,750.0,海南,2,https://www.goofish.com/item?id=900255247777&categoryId=126860315
百变雄师Gobots 萨尔魔 afa80 美版 百变雄狮主角反派大boss，美版挂卡，全新未拆封。        afa80，小分80/80/85。亚克力和完好，带防尘套，玩具主体成色新，塑封无开胶，无破裂，无变色。        非常稀有，看好再拍，售出不退不换。  ...,7600.0,湖北,0,https://www.goofish.com/item?id=955922772514&categoryId=126860303
百变雄狮（百变雄师）间谍系列，黑面包车（铁皮），MISB，黑 车吸塑有破损，售出不退不换，信用卡付款需补1%手续费,240.0,北京,2,https://www.goofish.com/item?id=685072586817&categoryId=126860315
百变雄师可可怪，美版日产，无损，单价300元，售出不退换，概 不议价，也不包邮。,300.0,山东,13,https://www.goofish.com/item?id=757277599377&categoryId=126860303
变形金刚联名百变雄师 经典沃尔玛限定可可怪 全配无损 所见即 所得 包邮非偏远 北京可自取 屠龙刀 鸽子王 验尸官滚远点，售出不退不换。,599.0,云南,0,https://www.goofish.com/item?id=955829480597&categoryId=126860315
百变雄师天威勇士MRB-3皮特红跑车。内外包如图 还不错 玩 具全新 贴纸未贴 全纸品 带回函。很稀少。。适合收藏。。  不出信誉低的 碰瓷儿的 各种控。  顺丰到付  买前看好问好 满意再交易 出售不退换货,5200.0,北京,0,https://www.goofish.com/item?id=919537274605&categoryId=126860303
DIY不锈钢 变形金刚 百变雄师 萨尔魔 4.0改进版 怀旧 玩具  还是那个他——唏嘘的青色胡茬，满口的大黄牙  之前做过一个1.0不锈钢色简陋版，一个2.0一个3.0进阶版，都已售出。4.0和5.0在售。 现继续进行改进，尽可能还原动画形象，身材更匀称，双脚全方位接地，增加...,299.0,广东,0,https://www.goofish.com/item?id=888915341968&categoryId=126860315
借图出天威勇士百变雄师W-MR03 坦克拖车组合 无外盒 感兴趣的话点“我想要”和我私聊吧～,700.0,辽宁,0,https://www.goofish.com/item?id=948689635963&categoryId=126860315
1985 百变雄狮 老爷车 大版 非常稀有 百变雄师 gob ots 热破 hot-rod全配无损盒说全 车头电镀稍微有磨损其他完好 整体85新 所见即所得,6666.0,天津,0,https://www.goofish.com/item?id=817947730721&categoryId=126860315
百变雄师 diy 忍者神龟 TMNT 把忍者神龟加入到了机器 人中 代替了原有的小机器人 此款为早期版本 比电镀版本更为早期 更为稀有 很大一盒  韩版 能量服战士 合体战士 韩版百变雄狮 老d 售出不退 到付,1.35,江苏,4,https://www.goofish.com/item?id=720411154787&categoryId=126860303
百变雄师 百变雄狮 GOBOTS 天威勇士  李德王 里德王 MR-25 玩具为83年日产，仅主体无损，成色还可以！关节正常，飞机形态右边大翅膀稍松，无变色发黄，金属有极轻微磨损如图！螺丝有锈！漆面有划痕，左边直立机翼有白痕弯曲了一些（如图8）其它无问题！具体成色如图所示！把玩佳品！  整体成色还可...,280.0,北京,2,https://www.goofish.com/item?id=908272268504&categoryId=126860303
#万代 天威勇士 百变雄师 战斗基地 战斗堡垒，开封品，未使 用。小配件未剪，贴纸未贴，没有说明书因为印了在盒子背面。  请注意:此为本店特别商品，需买家拍下并确认收货后才会寄出快递，买家点击“确认收货”后不退不换，不放心的买家建议使用其他交易方式。  ☆只发顺丰到付☆   可...,2300.0,广东,0,https://www.goofish.com/item?id=808263119809&categoryId=126860303
百变雄师Gobots 蓝飞机 afa85 美版 百变雄师美版序列的最后一件玩具作品，美版挂卡，全新未拆封。        afa85，小分85/90/90。亚克力和完好，带防尘套，玩具主体成色新，塑封无开胶，无破裂，无变色。        非常稀有，看好再拍，售出不退不...,5200.0,湖北,0,https://www.goofish.com/item?id=955925464801&categoryId=126860303
百变雄师 萨尔魔  萨尔魔（Cy-Kill）是来自于格勃朗特 星球反派机器人的首领，可变型为摩托车，他率领一群被称作“反叛者”的邪恶机器人，不断掠夺能源。《百变雄师》的故事中，李德王率领的正义“保卫者”和萨尔魔率领的邪恶“叛军”，...,10000.0,吉林,36,https://www.goofish.com/item?id=646794553830&categoryId=126862300
百变雄师 天威勇士 变形金刚 dx9 可可怪 绝版老货，可可怪就没有非常优质的版本，这个是相对最好的一版可可怪了，仅拆封成色，未变形，未把玩，盒说配件全，售出不退换，萨尔魔不出售。,460.0,湖北,0,https://www.goofish.com/item?id=883400648319&categoryId=126860315
天威勇士百变雄师战斗装甲五合一。外包比较破 内包还可以 玩具 无损坏 无配件和纸品 玩具主体不错 比较新 贴纸没什么磨损 。  不出信誉低的 碰瓷儿的 各种控。。  顺丰到付  买前看好问好 满意再交易 出售不退换,900.0,北京,3,https://www.goofish.com/item?id=919856369162&categoryId=126860303
Gobots 百变雄师 天威勇士 MrB-10吉普怪 品相如图 无损全配 内外包装完好 纸品全 自定义9c 左右腿都没有铭文 关节正常 有个别地方稍松 以上为如实描述 二手物品售出不退不换 1250包邮 非偏远,1250.0,北京,0,https://www.goofish.com/item?id=919740946510&categoryId=126860303
日本中古玩具，百兽神，百兽王，大兽神，百兽战队，恐龙战队，星 兽战队，激走战队，电磁战队，忍者战队，变形金刚，超能勇士 东映，勇者凯撒，无敌钢人，超兽合金，忍者战队，变形金刚，百变雄师，铁人，传说合神，地球战队，星兽战队，海贼战队，未来战队，激走战队，特急武装，超力战队，百兽战队，电击战队，暴走战队，...,9999.0,海外,23,https://www.goofish.com/item?id=815190055310&categoryId=126860303
万代 百变雄师 百变雄狮 天威勇士 1256四盒打包，没有3 4因为不是百变雄师里的人物，所以没收。全新未拆，86年的古董，年代物盒子不大，成品大小比mr系列略大。 1号低盒和说明书有黄点；2号各方完美；3、4号盒子略微发黄，3号板件略微发黄。   另有菲特、可可怪、黑鸟单出,330.0,辽宁,0,https://www.goofish.com/item?id=723469280489&categoryId=126860325
老变形金刚G1变形金刚百变雄师老玩具，百变雄师救火车玩具整体 无损坏，主体连接梯子紧实，白色梯子紧实无损坏，所见所得，具体详聊！,380.0,北京,1,https://www.goofish.com/item?id=942296703252&categoryId=126860315
百变雄师，百变雄狮，gobots，红色老爷车未开封，挂标未拆 ，塑封有裂，内完好，最好玩的百变之一 二手老物看好再拍，不退不换。发货前会拍详细视频，满意再发。顺丰到付。节省大家时间，鸽子和砍价勿扰。,450.0,山东,0,https://www.goofish.com/item?id=587701340469&categoryId=126860303
日本 80年代 老玩具 万代 日版 DX超合金 POPY 百 变雄狮 雄师 天威勇士 未来跑车 大版 外盒不好，有多出撕裂，内盒还不错。玩具基本全新。,600.0,湖南,0,https://www.goofish.com/item?id=678475528708&categoryId=126860303
百变雄师MR05直升机 内外包如图 外包有小撕 玩具还不错 电镀正常磨损 不是很厉害。全配件 。金属部分不错 没什么掉漆 贴纸磨损不大。。  不出信誉低的   顺丰到付  买前看好问好 满意再交易 出售不退换,650.0,北京,3,https://www.goofish.com/item?id=919886789385&categoryId=126860303
bandai 万代天威勇士百变雄师百变雄狮GOBOTS岩石恐 龙合体  日产，全配无损（无BB弹），关节弹射一切OK，纸品全，盒子无严重挤压破损，87年产老物件，岁月痕迹在所难免，成色如图所见所得。  粉丝包快，不再另议啦～  中古旧物，追求完美品相请绕行，签收概不退换,4000.0,北京,0,https://www.goofish.com/item?id=776193627929&categoryId=126860303
#万代 天威勇士 百变雄师 BH-04 岩石恐龙合体 岩石超 人 未使用品，年代久远封条自然脱落  请注意:此为本店特别商品，需买家拍下并确认收货后才会寄出快递，买家点击“确认收货”后不退不换，不放心的买家建议使用其他交易方式。  ☆只发顺丰到付☆  可选交易方式： 1. 【强...,9500.0,广东,0,https://www.goofish.com/item?id=808606776268&categoryId=126860303
