标题,价格(元),所在地,想要人数,商品URL
全新百工灵小说，浙江人民出版社正版，未拆封，膜还在。之宁所著 畅销小说，实拍如图，非偏远包邮不议价，售出不退不换。百工灵,10.0,上海,0,https://www.goofish.com/item?id=954284466918&categoryId=127838003
百工灵，全新未拆封百工灵 感兴趣的话点“我想要”和我私聊吧～,10.0,上海,0,https://www.goofish.com/item?id=906053302523&categoryId=127838003
百工灵小说 百工灵百工灵,25.0,北京,0,https://www.goofish.com/item?id=842936760625&categoryId=127838003
全新百工灵小说，浙江人民出版社正版，未拆封。之宁所著畅销小说 ，实拍如图，非偏远包邮不议价，售出不退不换。,20.0,上海,0,https://www.goofish.com/item?id=904080072906&categoryId=127838003
全新百工灵小说！ 全新，未拆封,20.0,浙江,31,https://www.goofish.com/item?id=920804717167&categoryId=127838003
百工灵小说 全新百工灵 感兴趣的话点“我想要”和我私聊吧～,20.0,上海,0,https://www.goofish.com/item?id=828634293200&categoryId=127838003
百工灵 之宁著 畅销小说 百工灵 浙江人民出版社出版 同城包 邮百工灵,13.0,广东,0,https://www.goofish.com/item?id=832892775590&categoryId=127838003
俩娃49，一起出，单买一个29 冬己娃娃百工灵的联名款两个，淘宝原价一个199，只拆开一次看了，九九新 自提送百工灵书籍1-3本 #潮流盲盒手办 #IP联名款 #传统玩具,29.0,广东,0,https://www.goofish.com/item?id=904362714270&categoryId=126860377
百工灵拼装可动纸偶套装 全新,10.0,上海,0,https://www.goofish.com/item?id=858993424678&categoryId=126862890
袜子 五双 百工灵 感兴趣的话点“我想要”和我私聊吧～,22.5,上海,1,https://www.goofish.com/item?id=746916651121&categoryId=126858600
百工灵明信片，有一个边角有点瑕疵，介意勿拍，10元包邮(偏远 除外)，随单价5元。购买主页其他包邮产品，只收随单价（运费只收取一份）。,10.0,上海,0,https://www.goofish.com/item?id=921452694910&categoryId=126864096
CCG国色天香《百工灵》林达金卡 感兴趣的话点“我想要”和我私聊吧～,199.0,上海,0,https://www.goofish.com/item?id=813009715334&categoryId=126860375
