标题,价格(元),所在地,想要人数,商品URL
盒中之海收藏集 深海低语  特普 5r 玄振宇-秘密  普卡 3r/张 q版 1r/张 22-清晨 塔琳-午休 玄振宇-旅行 22-Q版 白兔-Q版 塔琳-Q版 玄振宇 Q版  双人成行 无 五人发车 1011号 7.7r,1.0,北京,13,https://www.goofish.com/item?id=842512715243&categoryId=201459411
盒中之海哔哩哔哩收藏集 深海低语 多的普卡出 特普5r每张，前百特普8r 普卡2r每张，前百普卡3r 编号随机 已设置库存，有库存即有货,2.0,上海,0,https://www.goofish.com/item?id=845659896976&categoryId=201459411
盒中之海收藏集 小隐藏 前百  哔哩哔哩收藏集  tag:生日号编号 玉之けだま_毛玉收藏集  毛玉牛乳 小小魅魔收藏集 随性躺卧露露姆嬉水露露姆夏日休憩 一起泡温泉 斯黛拉好热 小才不是夸人用的 玉之けだま_Official ro姬收藏集 黎歌收藏集 ...,40.0,山东,0,https://www.goofish.com/item?id=898616868535&categoryId=126860375
出 盒中之海收藏集 自己留一张，其他出掉 大隐藏250r 小隐藏50r 普特5r 其他普通和q卡2r,200.0,浙江,250,https://www.goofish.com/item?id=845498381408&categoryId=201459411
盒中之海收藏集 前百号 出图中普卡 特普 玄振宇秘密 9/11号 4-5r 其他普卡 人物2r，Q版1r 已设置好选项直接拍即可，没货会标记,1.0,北京,0,https://www.goofish.com/item?id=840632274714&categoryId=126860296
盒中之海收藏集    深海低语 11r打包出,11.0,河南,2,https://www.goofish.com/item?id=849920099903&categoryId=126860296
盒中之海收藏集 普卡 感兴趣的话点“我想要”和我私聊吧～,1.5,贵州,0,https://www.goofish.com/item?id=840698409361&categoryId=201459411
出盒中之海收藏集 普卡 大隐藏 大隐藏2号 400r 只有图片里这张，其他都没了，不用问啦,400.0,北京,12,https://www.goofish.com/item?id=840349739105&categoryId=201459411
盒中之海收藏集 小隐藏/普卡 详细请咨询,30.0,北京,0,https://www.goofish.com/item?id=883549992494&categoryId=126860296
盒中之海哔哩哔哩收藏集，稀有度0.3%的大隐藏——黄衣之主哈 斯塔。数字号6,240.0,云南,0,https://www.goofish.com/item?id=932241480020&categoryId=126860296
【海洋之恋】爱海盒子 2分钟 海洋之恋盒子 [钉子]爱在空气中盒子 完结+盒子+书  [钉子]特别篇 [钉子]Reaction [钉子]花絮 ​​​  英文字幕 包含齐全  爱在空气中特别篇 福桃 fortpeat 爱空 爱海,1.5,河北,56,https://www.goofish.com/item?id=866958339818&categoryId=201459411
bilibili盒中之海收藏集 五人发车 拍下发UID 编号 一百多  哔哩哔哩收藏集,9.96,辽宁,1,https://www.goofish.com/item?id=852328115179&categoryId=201459411
"（PC单机+安卓手游）《海之号角2：失落王国骑士》 安卓手机/Windows电脑/Switch/ns  全DLC电脑手机均用模拟器运行！！赠模拟器！游戏名称：海之号角失落王国骑士游戏语言：中文游戏大小：3.7G游戏版本：1.2（整合版）游戏格式：Xci格式安卓要求：推荐骁龙888或者以上（天玑麒麟勿拍）。最低安卓10系统。发货方式：一次性发三个盘：百度,夸克,UC（UC不限速）全天24小时自动发货！自动发货！虚拟商品，一经售出概不退换注：赠品无售后感兴趣的话点""我想要""和我私聊吧",1.0,广东,19,https://www.goofish.com/item?id=916921630758&categoryId=201538503
《海洋之恋》含特别篇➕盒子厨fang➕花絮 泰剧  bl 中 字 4k 发货方式：夸K  双盘发货 观看方式：可在线，可下载，可投屏  售后无忧，有任何问题请联系我，我会尽快处理。标价即全集价格，直接拍下即可！ 虚拟商品不支持退款，感谢理解。,2.0,辽宁,14,https://www.goofish.com/item?id=860370790522&categoryId=126864805
【可直拍】星之海 Sea of Stars （手机加电脑版） 【自动发货】 包括 PC版：星之海 Sea of Stars v1.0.48412 豪华中文版 全DLC 支持手柄，支持键鼠  手机版：星之海|官方中文|本体+1.0.47140整合版+蛋蛋模拟器（模拟器可自主更新，直接安装金手指与存档） ...,2.59,山东,88,https://www.goofish.com/item?id=848988236384&categoryId=126856346
梦中情人（异世界来的男生）tbnw盒子资源，爱在空气中（爱空 ）盒子资源，海洋之恋（爱海）盒子资源，先付款，后确认收货，再给你资源，看不了，会退款！,1.0,江苏,0,https://www.goofish.com/item?id=932694526751&categoryId=202030604
盒中之海收藏集 2233 Q版 6r。22编号45，33编号72 其余普卡 2r 玄振宇旅行 编号57/59/63 玄振宇q版 编号53/60   都是前百编号,2.0,江苏,0,https://www.goofish.com/item?id=840429142955&categoryId=126860296
星之海 中文单机pc 感兴趣的朋友点“我想要”和我私聊吧～,1.0,广西,4,https://www.goofish.com/item?id=879410261733&categoryId=126856346
【个人纯手工代肝B站直播】 原神5.8版本『纳塔』海岛夏日地图「悠悠度假村」（大世界永久地图）宝箱 火神瞳 摩拉堆 一条龙全收集36r满探索+全神瞳+成就名片      46r宝箱+神瞳+摩拉盒 全收集            116r包前置开图任务+全收集「悠悠集市」+「彩彩崖」+「呼呼丘」+「浪浪湾」+「刺梨岩」+「刺梨小径」+「 乔克力 宫」+「提提岛」总共171个宝箱（成就计数169个宝箱，其余2个为秘境宝箱不计入成就数）（9只幻写灵、32个限时挑战、2座地灵龛）+ 49颗火神瞳+ 全地图100%满探索+ 53个摩拉盒 + 5个摩拉匣 + 4枚旋曜玉帛（以上全图全部资源，详细数字方便理解）——包含『天地万象』中关于『纳塔』区域5.8版本的大部分成就以及『岩灰与刺梨的夏日』中的所有成就（可得名片「纳塔•巡风」）——包做『任务』「邂逅总在悠闲时」「提提奇遇」「美梦帕依提提」——包拿一部分宝箱食谱※全收集必不漏宝箱和神瞳，每漏一个赔偿2r※一条龙全收集时长两个小时半左右（根据您的角色图鉴和练度会有浮动）★完成之后会积累大量长效历练点每消耗30点树脂就可使用1长效历练点获得一个每日委托奖励每天消耗120树脂（例如合成三个浓缩树脂）就可以拿满四个每日委托奖励二、需要完成开图任务（否则会影响一部分宝箱）（可参考影月月开图任务视频）帮做额外共计+70r【开图主线】『绘夏！烈日？度假村！其一/二/三/四』—「出发！无忧无虑的度假之旅？」12r—「畅玩！举目之处皆为画布！」22r—「惊遇！等待众人的将是…？」12r—「收幕！将夏夜染作缤纷！」8r【开图支线】—「流彩的踪迹」4r—「闪耀！皮皮潘偶像大赛！」4r—「最后的特诺奇玆托克人」8r支持双服登录官服/官方服务器—天空岛B服/哔哩哔哩服务器—世界树支持扫码、验证码、密码登录，B站直播一般下单就开始，需要排队会告知还在上架状态就表示可拍关键词原神5.8 原神海岛 原神代肝 纳塔代肝 地图代肝 幻写灵 夏日海岛地图 烬寂海 伊涅芙,46.0,重庆,0,https://www.goofish.com/item?id=957152225877&categoryId=201459411
【带礼盒有批号】louis vuitton/路易威登 LV1 00ml思扬/悸动的心/追梦/雷暴/爱之耀眼/水蜜桃限量版/午后漫游/海滩漫步/夜之城市/悠然海岸/ 暗涌/奔星/风中玫瑰/火之夜/流浪幽灵/萨博玫瑰/沙漠之馨/破晓/无限/逍遥/水蜜桃【恋印】#Louis Vuitton/路易威登 #香水...,299.99,陕西,2980,https://www.goofish.com/item?id=951004404845&categoryId=201459411
"[自动发货]《星之海》  不限速豪华版中文全DLC 免安装 最新版 包更新 免steam24小时自动发货 一键安装解压即玩 PC电脑单机游戏星之海/Sea of Starsv2.0.58940|容量3.71GB|官方简体中文|支持键盘.鼠标.手柄一次性发7个盘：度,夸,迅,里,翼,123,UC（里,翼,uc不限速）标价即售价,关注在拍有粉丝价该商品为虚拟商品,一经购买,概不退货,感谢您的理解与合作。感兴趣的话点""我想要""和我私聊吧",1.0,福建,38,https://www.goofish.com/item?id=803416247400&categoryId=126856346
**小心騙子** 定金形式预售OPCG简中补充包【EBC-03】eb03+ONE+PIECE+Heroines+Edition+默认顺丰到付+发售日前一天或当天发货12盒/箱・24包/盒・6张/包+发售日期：2025/11/7商品简介：以航海王世界中的女性角色为主题收录的特别补充包。美貌之下，是能粉碎钢铁的决心！她们是残酷大海中最动人的风景！“ONE+PIECE+Heroines+Edition”，,2700.0,香港,0,https://www.goofish.com/item?id=966209434349&categoryId=126860375
日版SEGA更衣人偶坠入爱河 喜多川海梦 试穿中景品手办，全 新未拆封。盒况如图，八角尖尖，默认盒损。发货前会拍照确认状况。不包运损和官瑕，售出不退不换。非偏远地区包邮普快。盒控勿扰，不接刀！,35.0,江苏,0,https://www.goofish.com/item?id=940522585253&categoryId=126860378
【预售】航海王海贼王简中TCG卡牌+OPC-12师徒之绊，没 人买我自己开了 开出的卡在图二 因为要给女友过生日，忍痛割舍预定的三盒 接预定3盒，单盒218包邮，三盒一起600 商品内容：一盒24包，一包6张 收录有补强海军，革命军，超新星等为主题进行强化的补充包系列。 旧时代的更替，为新时代保驾护航...,9.99,吉林,0,https://www.goofish.com/item?id=950374695831&categoryId=126860375
