标题,价格(元),所在地,想要人数,商品URL
238/5袋【怡馨雅婷亚麻籽豆浆粉】重磅来袭！  1、进口黄金原料：精选加拿大金色亚麻籽，富含珍贵欧米伽-3，守护心脑血,49.0,菩***馆,168,https://www.goofish.com/item?id=759806368732&categoryId=201450817
秋田满满米饼磨牙饼干6月+  【商品详情】 32g/盒(8小袋)，包邮 三款味道：原香.蔬疏.莓莓 1盒：14.5元 2,14.5,易***乖,6,https://www.goofish.com/item?id=785833133574&categoryId=201454527
全新未拆1盒  Kingscom阻断丸 4in1嗨吃无忧 30粒/盒 Y1 全新未拆封， 日期新鲜 一盒49二盒80包邮,49.0,都***真,1,https://www.goofish.com/item?id=900788129891&categoryId=201455525
"镂空雕刻板，pvc材质，工地划线定位专用，可单卖。 
感兴趣的话点“我想要”和我私聊吧～",10.0,搬***哥,0,https://www.goofish.com/item?id=959146273828&categoryId=201453901
32寸普通电视机，适合老人家用，支持DVD/VCD、游戏机、 监控、U盘播放、网络机顶盒、闭路线等，尺寸72*43cm，,400.0,吃***鱼,0,https://www.goofish.com/item?id=935530430308&categoryId=126856127
凌特 全顺 大通 商务房车百折窗帘 日用夜用 手动带框百褶纱 窗帘    根据尺寸订做，可以带纱窗和不带纱窗。,500.0,奔***店,81,https://www.goofish.com/item?id=615673579191&categoryId=201453609
长白山，雪蛤油，林蛙油，线油。  去皮4元一克，泡发40倍，就这一盒，保纯，保化验，假一罚万，250克,4.0,F***福,4,https://www.goofish.com/item?id=884834067516&categoryId=201459414
儿童速滑眼镜，5个颜色 3组镜片  感兴趣的话点“我想要”和我私聊吧～,35.0,耀***贸,98,https://www.goofish.com/item?id=700481138151&categoryId=126866130
ASR-PRO语音智能语音识别控制模块 AI离线识别开发板   自定义词条,20.0,月***风,0,https://www.goofish.com/item?id=803232014224&categoryId=126856606
雪燕~杞里香  买多了，要搬家便宜出了，6罐包邮,8.9,冰***1,0,https://www.goofish.com/item?id=864197653104&categoryId=201452325
三星27寸液晶显示器  成色如图  正常使用  不包邮  低 价出售,240.0,博***店,7,https://www.goofish.com/item?id=909295034232&categoryId=126856267
正品腰妍益生元巧克力1盒7颗。  最新日期，直接下单，当天发货！,62.0,微***发,0,https://www.goofish.com/item?id=923447490318&categoryId=201450723
长60宽50高50  感兴趣的话点“我想要”和我私聊吧～,36.0,专***除,0,https://www.goofish.com/item?id=931729411341&categoryId=126914121
3D打印耗材真空收纳袋电动抽气泵 PETG ABS干燥箱压缩 防尘防潮袋 ，配置5个真空袋+1个手动气泵+1个密封夹,15.0,3***机,0,https://www.goofish.com/item?id=954847953639&categoryId=201449502
吉他指套，所见即所得，包邮  感兴趣的话点“我想要”和我私聊吧～,9.9,酷***鹏,18,https://www.goofish.com/item?id=912678109774&categoryId=126858841
【精选红油香椿净籽】新鲜采摘，质量保证！一两仅需20元包邮， 半斤40元包邮，一斤70元包邮。想尝试种植香椿或烹饪美味香,20.0,庄***资,38,https://www.goofish.com/item?id=704908016138&categoryId=201947802
全成都上门清运建渣，收拾打扫卫生。装修杂物只要你不要的都可以 清运，价格可谈。只要你给照片或者视频看看可报价格，欢迎私聊,89.0,全***运,15,https://www.goofish.com/item?id=934540155583&categoryId=201592001
微软 (Microsoft) Sculpt舒适滑控鼠标 黑色  |无线蓝牙连接 纵横滚轮 Windows触控键 人体工学,35.0,赚***家,31,https://www.goofish.com/item?id=658743594570&categoryId=126856266
Stussy斯图西卫衣   正确细节 最顶产物 没有之一  460g 重磅面料！拒绝抹布 原版工艺印花 久穿久洗不开裂,245.0,C***m,1,https://www.goofish.com/item?id=787368853043&categoryId=126914035
（1000克）白砂糖，咖啡糖每袋3克，保证足斤足两。大概25 0袋+ 2023年产 保质期2年,22.0,实***品,25,https://www.goofish.com/item?id=732745420960&categoryId=201449817
