标题,价格(元),所在地,想要人数,商品URL
"重43.24克，龙牌，纯天然蜜蜡龙扣全品无瑕疵，精工 
感兴趣的话点“我想要”和我私聊吧～",200.0,宸***宝,1,https://www.goofish.com/item?id=966132508884&categoryId=202056703
正品国行BEHRINGER/百灵达 P2 耳机放大器  乐队专用/大量现货欢迎选购/不砍价全新正品 （直接拍下发货后该不,399.0,幕***音,127,https://www.goofish.com/item?id=599851037053&categoryId=126858796
舒筋活络！快速渗透，护颈腰椎腿痛，家居常备。  感兴趣的话点“我想要”和我私聊吧～,15.0,土***萝,28,https://www.goofish.com/item?id=785748858753&categoryId=201453026
全屋定制家具补漆维修   定制家具破损修复  床 衣柜 橱柜 餐桌 茶几补漆美容修复  实木家具、皮革、大理石、陶瓷、红,50.0,全***漆,60,https://www.goofish.com/item?id=651360680880&categoryId=201452508
紫砂壶，还剩四个，每个都不一样，全新便宜出了  感兴趣的话点“我想要”和我私聊吧～,111.0,塑***我,288,https://www.goofish.com/item?id=896152123032&categoryId=126854581
#新鲜去骨羊肉现宰整块羊腿分割高端调理小山羊肉内蒙古山羊烤串 烧 五斤去皮去骨款¥180 四斤去皮去骨款¥141 三斤去,95.0,草***鱼,1,https://www.goofish.com/item?id=726360688304&categoryId=201459022
六年级语文A+培训班，张琪老师主讲，秋上部编版，36课时，每 周四晚7点上课。课程内容包括阅读技法、主题习作、经典细读等,59.9,x***0,1100,https://www.goofish.com/item?id=946729444293&categoryId=201768804
富士相册收纳 可以容纳三寸 高铁票电影票等 一共四个 买三送 一 可小刀,18.0,潘***仙,0,https://www.goofish.com/item?id=953932899320&categoryId=201454601
乐高 季节之城【顺丰包邮全国】   [new]正品现货！全新未拆封！[cool]完美好盒！[hot] （[1]八角尖尖 ,68.0,心***丶,0,https://www.goofish.com/item?id=890758921709&categoryId=126862797
全新正品金陵PPG-1排球比赛专用排球标志带13122  此价格为一副（2条） 白色，长约一米，宽约5厘米 （库存数量充,115.0,双***品,3,https://www.goofish.com/item?id=767825027804&categoryId=126866320
罗莱家纺四件套，尺寸详见图片，原件1888元，现价780元  感兴趣的话点“我想要”和我私聊吧～,780.0,追***妮,1888,https://www.goofish.com/item?id=787746593431&categoryId=126856052
全新铜火铳，直径22厘米，婚庆必备，寓意百年好合。铜制，质感 佳，送礼自用两相宜。  材质：铜 直径：22厘米 状态：全,180.0,家***铃,300,https://www.goofish.com/item?id=928569921308&categoryId=126858965
纯种小公120/130斤，喜欢的来联系。闲聊绕行。  感兴趣的话点“我想要”和我私聊吧～,5000.0,开***点,1,https://www.goofish.com/item?id=801008460138&categoryId=126856033
施坦威艾塞克斯155尺寸小三角钢琴[比心]钢琴9.5成新，白 色外观特别的好看。音色手感特别的棒欢迎咨询[火]#钢琴,4.59,用***8,139000,https://www.goofish.com/item?id=890893883417&categoryId=126858829
闲置一批3M防护眼镜，货号：SF212AF，防雾，防冲击眼镜 ，灰色镜片，防雾涂层，全新带包装，库存特价处理，10元/副,10.0,s***o,25,https://www.goofish.com/item?id=930545908313&categoryId=126864457
月下皮革斩/3.0/十二齿一支，正品行货全新状态。做工精致， 实拍实销，一物一图，保图一致，适合DIY手工皮具打孔～转给,385.0,岁***调,7,https://www.goofish.com/item?id=945689818521&categoryId=126864503
南宋龙泉大窑梅子青釉莲瓣盘标本，釉色青翠如玉，釉面莹润通透， 莲瓣纹饰清晰，胎质细腻。瓷片有天有地，釉色均匀，发色纯正，,60.0,鉴***家,0,https://www.goofish.com/item?id=962301797170&categoryId=126862322
"闪电sl7 52码 几乎全新 2025年7月入的  无磕碰  才买没多久  怀孕了所以出售给有缘人 
轮组cl3无磕碰 ",1.72,L***G,15,https://www.goofish.com/item?id=966068926231&categoryId=126866897
兰蔻合集  兰蔻菁纯家族兰蔻塑颜霜  ①兰蔻菁纯系列试用片包兰蔻菁纯家族  1份有5片  整个系列都可以试用到 兰蔻菁纯,5.0,一***柜,7,https://www.goofish.com/item?id=749249833078&categoryId=126860065
海信 55寸 HZ55A51液晶电视机 小配件全套 （喇叭  接收头 按键 WIFI模块）原装拆机件  不拆开卖 售出不,26.8,液***户,2,https://www.goofish.com/item?id=705429100394&categoryId=126856501
