标题,价格(元),所在地,想要人数,商品URL
Blacksouls(1+2+前传)献给挚爱的你的不思议之国 神作RPG  DLC齐全 PC+安卓joi模拟器可玩  寿司勇者的BLACKSOULSRPG三部曲 [1]坊间戏传“拳打宫崎，脚踢小岛”，当前最为先锋、惊艳的RPG叙事设计。 [2]将性快感、暴力和克鲁苏惊悚调和在...,5.55,广东,0,https://www.goofish.com/item?id=837585122166&categoryId=201449620
云棋舞蹈古典舞【和韵之语】 【形、神、劲、律】四大模块 14个身韵综合组合 视频➕讲解140课 目录大纲 一 形之式 ①基本手形讲解 ②动态手位讲解 ③手形和手位跟练 ④基本脚位讲解 ⑤动态脚位讲解 ⑥脚位跟练 ⑦手形+脚位组合短句跟练 二 劲之力 ①力量的激活和运...,1.0,上海,0,https://www.goofish.com/item?id=934698736718&categoryId=201458115
云棋舞蹈古典舞【和韵之语】 【形、神、劲、律】四大模块14个身韵综合组合视频➕讲解140课目录大纲一 形之式①基本手形讲解②动态手位讲解③手形和手位跟练④基本脚位讲解⑤动态脚位讲解⑥脚位跟练⑦手形+脚位组合短句跟练二 劲之力①力量的激活和运用②重心的转换和移动③身韵坐式和站式的不同发力④综合性练习组合三 律之势①大三圆在手，脚身体中的运用②大三圆在身韵中的连动和运用③综合性练习组合四 神之语①头，眼，的位置以及运用②神态和情态的配合和运用③场景和人物加持下的角色表达和塑造身韵综合组合①坐式和站式提沉组合②坐式和站式冲靠旁移组合③坐式和站式含腆仰组合④横柠和旁提组合⑤云间转腰组合⑥圆场漫步组合(包括云步摇步等步伐)⑦花步组合(包括滑拖步迈立步等步伐⑧小三节动律组合⑨大三节动律组合⑩云手组合（包括小舞花盘腕等)11燕子穿林综合组合12风火轮综合组合13青龙探爪综合组合14 穿摇综合组合,1.0,北京,5,https://www.goofish.com/item?id=949737661909&categoryId=201458115
云棋舞蹈古典舞【和韵之语】 【形、神、劲、律】四大模块 14个身韵综合组合 视频➕讲解140课 目录大纲 一 形之式 ①基本手形讲解 ②动态手位讲解 ③手形和手位跟练 ④基本脚位讲解 ⑤动态脚位讲解 ⑥脚位跟练 ⑦手形+脚位组合短句跟练 二 劲之力 ①力量的激活和运...,1.0,上海,8,https://www.goofish.com/item?id=952519095498&categoryId=201458115
儿子店赛没获奖，气得我直接就是一个飞天大曹，一记咏春拳，九天 雷霆双脚蹬，滑铲升龙钩索985连招，中野联动把他逼到死角，随后拍下一张雷诺卡他面板，再用M200幻神锁头，给儿子干倒地，挂上狂欢之椅，什么都没爆出来，不管儿子了，来找我打瓦  10r/h赚点猫粮钱,10.0,广东,0,https://www.goofish.com/item?id=959161226263&categoryId=201461105
古罗马1世纪财富之神墨丘利青铜造像 公元1世纪发行98g     87mm手持祭盘脚凳短靴的的裸身墨丘利站像,6300.0,陕西,1,https://www.goofish.com/item?id=965782346620&categoryId=126912005
鼎基武功（PDF电子函授教材一册，无视频） 百度网盘发货，电子资料具有可复制性发货后不退不换，介意着勿拍。鼎基武功的详细介绍真传一句话披露武学秘密。鼎基武功有桩功“鼎”两脚拉开骑马步双手往前猛虎扑立鼎聚气炁穴入站桩人神全身舒此功聚气（肚脐、丹田如火烧）又可将劲力运往全身、气血运行强健经络（全身如火烧）排毒清内（容易出大汗）敛气入骨，练习此功，能涨神力洗髓动功向天一手日月捧入地一身浊清空吸气入踵全身通呼气排浊一身舒天地洗髓功为道家上乘功法，可以排出五脏六腑之浊气、强壮五脏六腑，疏通百脉（气血运行全身经脉）抻筋拔骨，此功多练，可修出朱砂掌功、绵掌功龙虎功法钻天入地，手如龙虎此功可以修得周身如绵、柔若无骨，掌拳指如龙虎，腹部如球，板肋牛脊，硬如铜钢，腿如铁柱、轻如鹤舞揉按要术此功易行，能够养生、练出内功金钟罩（使身体绵如纱、硬如钢筋）眼功秘术此功可治疗眼疾，甚至能修得能直视大中午太阳半个小时的火眼金睛补漏要术培养肾精，雄壮如铁，热如铁水；气血旺盛，滋养筋骨，活血柔筋，充盈骨髓。标价即售价，直接拍，24小时度盘自动发货，如果没有发货，请等待客服上线手动为您发货！注意：价格比我低的均为倒卖，为了省几块钱，买到资料不全、售后无保障的，得不偿失！售后说明电子资料形式 因资料特殊性 ，售出不退不换哦~非诚勿扰！拍下代表默认同意此条款！免责申明：1.资料为网络等公开渠道收集，仅以众筹方式提供给想要学习的人交流学习使用，不作为商业目的，本店不承担任何法律问题，严禁用于商业用途及二次倒卖，任何访问、浏览、购买或未购买的人，默认代表同意并且遵守本声明。2.版权归原作者或出版社所有，本店仅做整理，若无意侵犯了您的权益，还请告知，我们会立刻下架删除3.售价仅为买家友情赞助本人的收集整理、以及网盘存储、店铺运营、人工咨询等等费用，不代表资料本身价值，版权为原作者所有，仅供学习交流。如果喜欢，请支持版权。,4.8,广东,999,https://www.goofish.com/item?id=966432573593&categoryId=202036301
全新拆出 蜗之壳 1/12 胜利女神 新的希望 神罚 初次的 爱恋 脚型 模型  粉丝满180包邮。满180联系客服！  注意：散件都是全新套盒拆出，快递寄出后不退不换，玻璃心的勿扰。,29.0,河南,0,https://www.goofish.com/item?id=799142484892&categoryId=126860288
致命之吻（含致命平行）日剧高清日语中日字幕 默认摆渡网盘发货标价即全集售价，并包售后，比如买的时候只有第一季以后出的第二季可以免费更新。遇到问题联系客服可修复。客服在线时间：早上10点至晚上8点画重点：虚拟产品具复制性，不支持任何理由的退货退款，拍下即为同意，介意者勿扰，感谢配合！ 如需其他网盘请联系。不支持退款哦，看清再拍！剧情内容：        致命之吻 トドメの接吻　　堂岛旺太郎（山崎贤人饰）是俱乐部里人气第一的牛郎，因为英俊的外表和出神入化的撩妹手段，旺太郎深受女性客人的喜爱，但在旺太郎眼中，那些被他迷得五迷三道的女人们都不过是他向金钱之神攀登时脚底下踩着的楼梯罢了。旺太郎冷漠无情的性格要归因于他不幸的童年，破碎的家庭让他对爱情没有任何的信任可言。　　一天，旺太郎邂逅了名为并树美尊（新木优子饰）的女孩，美尊是含着金汤匙出生的千金大小姐，是旺太郎梦寐以求的摇钱树，但正当旺太郎准备施展拳脚之时，一个神秘的女人出现在了他的面前并且吻了他，这一吻竟然夺走了他的性命，让旺太郎陷入了7天的轮回地狱之中。,8.0,上海,3,https://www.goofish.com/item?id=895772518243&categoryId=126864805
团体心理活动与辅导：大学生心理健康教育陈秀元刘好贤苏州大学 店内图书均为正版二手书，择优发货品相大多在7-9成品，均回收自大学当天下单尽量发出，开学季两天左右发出除新疆西藏等偏远地区其他都包邮，具体请联系客服基本信息书名:团体心理活动与辅导：大学生心理健康教育定价:47.0元作者:陈秀元 刘好贤出版社:苏州大学出版社出版日期:2021年8月ISBN:9787567236226页码:234商品重量:暂无页数信息编辑推荐暂无信息 内容提要 在内容选择上，《团体心理活动与辅导：大学生心理健康教育》立足于帮助学生了解自己的“生长点”，发掘自己的潜能。在心理学领域，关于探究“生长点”方面的研究和指导有很多，积极心理学是致力于研究人的发展潜能和美好品质的一门学科，它倡导心理学研究的积极取向，研究人类积极的心理品质，关注人的健康、幸福与发展，而不是将注意力集中在个人问题的发掘和探究上。《团体心理活动与辅导：大学生心理健康教育》选编了新生环境适应、探索自我、生涯探索、对网络依恋说NO、时间管理、情商训练、挫折应对、恋爱与婚姻、人际沟通与互助、吾辈青年当自强、发展创造力、培养团体精神等12个专题，旨在以团体心理活动形式，运用积极心理学技术，充分激发学生的潜能，帮助学生获得多方面的发展，从而更好地进行自我探究。我们期待，团体心理活动可以成为大学生学习生活经验，增进人生智慧，训练创新思维与创造能力，形成正确的人际、情感和社会性价值观，培育德才一体、完整而健全之人性的一个重要的教化性场域。 目录专题一 新生环境适应――在欢乐中融入一、理论导读二、团体设计三、团体实施[单元一]很高兴认识您[单元二]原来这是我[单元三]生命的彩虹[单元四]我的未来不是梦[单元五]希望的主题曲[单元六]挥一挥手，我带走自信专题二 探索自我――遇见未知的自己一、理论导读二、团体设计三、团体实施[单元一]我是谁[单元二]多维的我[单元三]悦纳自我[单元四]挑战自我专题三 生涯探索――做职业生涯规划一、理论导读二、团体设计三、团体实施[单元一]缘聚你我他[单元二]初见职业生涯[单元三]我为我掌舵[单元四]价值观探索[单元五]脚踏实地有规划专题四 对网络依恋说NO一、理论导读二、团体设计三、团体实施[单元一]就是朋友[单元二]网络朋友[单元三]朋友！请赐予我神奇的力量[单元四]朋友的好处多多[单元五]再见！朋友专题五 时间管理――做时间的主人一、理论导读二、团体设计三、团体实施[单元一]时间是什么[单元二]时间感知[单元三]做时间的主人[单元四]对拖延说“不”[单元五]拓展体验……专题六 情商训练――在接纳中提升专题七 挫折应对――在逆境中升华专题八 恋爱与婚姻专题九 人际沟通与互动――创造快乐美好人生专题十 吾辈青年当自强――大学生自立自强意识培养训练营专题十一 发展创造力――思维创新与创造力开发专题十二 培养团体精神参考文献作者介绍暂无信息ISBN编号:9787567236226内文用纸材质:纯质纸出版时间:2021-08出版社名称:苏州大学出版社是否是套装:否作者:陈秀元 刘好贤译者:暂无包册数:1开本:暂无书名:团体心理活动与辅导：大学生心理健康教育正：副书名:团体心理活动与辅导：大学生心理健康教育定价:47.0页数:234编者:暂无【书名】团体心理活动与辅导：大学生心理健康教育【出版社】苏州大学出版社【作者】陈秀元 刘好贤【ISBN编码】9787567236226,5.0,江苏,500,https://www.goofish.com/item?id=966112042605&categoryId=127812005
