标题,价格(元),所在地,想要人数,商品URL
长白山野生无硫磺贝母65元半斤包邮  一瓶半斤250克～ 大人小孩咳嗽，痰多，还好有它！一次几克拌点水喝了或者炖燕窝效果,65.0,吉***家,4,https://www.goofish.com/item?id=735211848977&categoryId=201456920
"【原装进口】HIMAX桉叶液润肺液新西兰天然植物科学护肺润肺 润喉
我儿子慢性咽喉炎咳嗽一个多月……吃这个几天就好了……",88.0,控***几,1,https://www.goofish.com/item?id=959896747163&categoryId=201449822
Quack Vintage青果领卫衣复古做旧水洗cleanf it,166.0,你***浪,0,https://www.goofish.com/item?id=943913094263&categoryId=126856889
"99新迈从KM711无线键鼠套装，三模蓝牙5.2+3.0+2.4G连接 

闲鱼严选 官方正品

下单前请看清介绍详情，",80.0,木***4,1,https://www.goofish.com/item?id=966041480717&categoryId=126854209
"全新合金扣单人款搬家带搬运带,大件居家单人移动双肩搬运重物, 搬家神器,一套有两条,每条长550cm,宽度5.0cm,现",49.0,美***8,2,https://www.goofish.com/item?id=713600871707&categoryId=126912134
"全新正品彪马足球裁判挑边器，日本原装进口，无任何破损！适合足 球裁判使用，品质保证。现货不多，喜欢的朋友赶快下单！
分类",56.0,足***备,10,https://www.goofish.com/item?id=949278367622&categoryId=126866648
BakeTalk 厨房电子秤  全新（蓝色为保护膜）,25.0,北***蟹,1,https://www.goofish.com/item?id=736336587724&categoryId=126856007
蓝冰冰盒（四个蓝色 两个白色）出门冰奶神器，六个一起出，  感兴趣的话点“我想要”和我私聊吧～,20.0,山***归,0,https://www.goofish.com/item?id=961664509554&categoryId=201457702
86型新之扬单孔带屏蔽电视插座 有线电视终端用户盒 量大优惠  感兴趣的话点“我想要”和我私聊吧～,2.4,数***视,3,https://www.goofish.com/item?id=759756002758&categoryId=126856358
法国LAMPE BERGER PARIS 紫色玻璃精油瓶。全 新带包装。带原装底座和配件。法国原产。喜欢的朋友不要错过哦,580.0,T***O,0,https://www.goofish.com/item?id=962912343264&categoryId=126860038
【瑜伽馆关闭清货】全新运动短袖女宽松t恤速干跑步训练健身瑜伽 服 颜色：黑色，白色，蓝色，粉色 尺码：S-2XL S：9,39.0,一***爱,34,https://www.goofish.com/item?id=648434545186&categoryId=127060029
服务内容：    1、元明清瓷器鉴定 2、十元一次   发图要求：   1、  2、  3、  4、,10.0,爱***堂,0,https://www.goofish.com/item?id=927289880172&categoryId=201956702
全新排球网，XINMINGKANG品牌，中国制造。这款排球网 质量可靠，适合各种排球场合使用。包装完整，有少许使用痕迹但,8.0,大***s,0,https://www.goofish.com/item?id=919089922797&categoryId=126866320
专业清洗自来水管水管，专业 这清洗热水器，处理自来水水压小， 处理淋浴喷头堵塞,300.0,米***、,29,https://www.goofish.com/item?id=672663056650&categoryId=201460805
星缘200W像素彩色电子目镜HD全画幅天文望远镜配件连电脑手 机拍摄,140.0,叶***雨,3,https://www.goofish.com/item?id=760234634335&categoryId=126854087
老房子拆下来的实木梁柱，都是原木料，保存完好。有大梁、小梁、 方木，长短不一，适合装修用。有需要的朋友可以来看看，价格好,88.0,古***人,5,https://www.goofish.com/item?id=953116103578&categoryId=126856980
【香港·楼上】楼上特选百合，303克/8两，新鲜干燥，质地软 糯，香港楼上购入，品质保证。68包邮，2件少5元。,68.0,涂***猫,3,https://www.goofish.com/item?id=929478264860&categoryId=201456215
好声音VFV自行车护链贴  VFV后叉护链贴 效果无敌、超级好！保护后叉不磕花 目前最优化的数据，贴合好棒！ 温馨提示：,29.8,小***跑,35,https://www.goofish.com/item?id=774149188132&categoryId=126866866
德国防静电手环，带体温显示，60cm隔空除静电80000V， 三档除静电功能，秒除静电。IP68级防水，USB充电，全新,44.5,g***i,0,https://www.goofish.com/item?id=958831497875&categoryId=126864633
800×800通体大理石  感兴趣的话点“我想要”和我私聊吧～,15.0,卖***子,0,https://www.goofish.com/item?id=952727075415&categoryId=126858135
