标题,价格(元),所在地,想要人数,商品URL
"转票  南京无名喜剧火锅，小四爷8月31号  两张   
感兴趣的话点“我想要”和我私聊吧～",680.0,t***a,0,https://www.goofish.com/item?id=962495539664&categoryId=201960403
日本青花主人杯，品相完好。杯身绘制花卉纹饰，青花发色纯正，釉 水肥厚。杯身内外绘制蓝色花卉图案，画工精致。底部有款，全品,612.0,幸***r,0,https://www.goofish.com/item?id=944033500182&categoryId=126862605
全新窗帘转让 挂帘。  感兴趣的话点“我想要”和我私聊吧～,25.0,小***～,0,https://www.goofish.com/item?id=939902774861&categoryId=126858631
不锈钢方木柄烧烤签子出售有50条.烧烤店倒闭便宜出售一块钱一 条,50.0,郭***湘,1,https://www.goofish.com/item?id=933536734189&categoryId=126856750
忆健跑步机  本地自取  功能全好 原价2000多   不议价,580.0,超***z,2399,https://www.goofish.com/item?id=757319902061&categoryId=126866159
豆芽机  感兴趣的话点“我想要”和我私聊吧～,20.0,江***1,2,https://www.goofish.com/item?id=706122954884&categoryId=126854883
司摩士Ps4手柄座充，全新未拆封。包邮不议价。  感兴趣的话点“我想要”和我私聊吧～,55.0,强***者,1,https://www.goofish.com/item?id=914200189533&categoryId=126856290
国库券，1984年5元，流通品，看好下单，售出不退哟  本单不包邮，三单或满两百包邮哈 感兴趣的话点“我想要”和我私聊吧,28.88,千***杉,0,https://www.goofish.com/item?id=907761723955&categoryId=126862241
新一代太阳能板，4片大面板，45W大功率，买来没用过几次，现 在吃灰中故转卖。 支持PD快充+QC3.0快充+DC12V,200.0,闲***雨,0,https://www.goofish.com/item?id=956730108260&categoryId=126856516
"婴儿洗发沐浴露套装，大瓶是贝比拉比桃叶无香型洗发沐浴露，温和 无刺激，适合宝宝使用。
小瓶是加菲猫联名款婴儿橄榄润肤油，",30.0,t***p,0,https://www.goofish.com/item?id=963389034205&categoryId=126864868
Sipario Gut Gold 4th octave 竖琴 琴弦 羊肠弦 (natural gut) 踏板竖琴扳键竖琴,200.0,N***g,2,https://www.goofish.com/item?id=874870219474&categoryId=126858984
切水果器，可以迅速切各种大小各种形状，适合夏天做沙拉用。银行 赠品，全新10元～,10.0,克***姐,0,https://www.goofish.com/item?id=902193172068&categoryId=126854974
高密度海绵垫子，50密度，2000×1500×10mm，折叠 款，新购一星期，件大退不了了！低价出售，同城自提,158.0,果***桔,0,https://www.goofish.com/item?id=923844684258&categoryId=126866796
卸妆棉➕湿敷化妆棉➕木乃伊湿敷棉➕压缩面膜  感兴趣的话点“我想要”和我私聊吧～,20.0,走***过,0,https://www.goofish.com/item?id=878207367597&categoryId=126860161
云南新鲜四季商用草莓现摘直供奶茶蛋糕糖葫芦果酱批发一整箱批发  感兴趣的话点“我想要”和我私聊吧～,9.99,无***h,9,https://www.goofish.com/item?id=797099025940&categoryId=126916207
STANLEY/史丹利 十字加力通体螺丝批61-885  3 *250 螺丝刀起子改锥  满50包邮,37.0,幽***人,5,https://www.goofish.com/item?id=638169480495&categoryId=126864618
联想T500投影仪遥控器 全新原装 小新520/瑜伽T200 /T6通用遥控器 带语音功能 白色简约设计 按键清晰灵敏 ,59.75,T***8,0,https://www.goofish.com/item?id=965565212832&categoryId=126854399
雅马哈牌，原装二手，CL56飞达八层全新包上机，刚刚下线  感兴趣的话点“我想要”和我私聊吧～,636.0,飞***生,900,https://www.goofish.com/item?id=737711121350&categoryId=126864420
金稻暖宫带，全新没用过，闲置出～包邮  感兴趣的话点“我想要”和我私聊吧～,39.0,i***a,0,https://www.goofish.com/item?id=934986244384&categoryId=201449527
"鲁花5S压榨一级花生油5L装，25年2月生产，物理压榨工艺， 特香纯正～

原料选自华北平原优质花生，采用5道精密工序提",120.0,t***y,160,https://www.goofish.com/item?id=952235062764&categoryId=201456517
