标题,价格(元),所在地,想要人数,商品URL
童心向阳 阳光下成长主题手抄报代画绘画 各类手抄报代画 各种主题手抄报代画 按绘画难易程度而定 a4：线稿30，上色50 八开：线稿40，上色60 a3：线稿：50，上色：70 四开：线稿60，上色80～200 手工绘制，拍下不退不换的哈 两幅及以上包邮、,30.0,云南,2,https://www.goofish.com/item?id=910699392037&categoryId=201457207
"天津儿童节亲子剧""童心向阳，特别奉献""演出票，6月1日晚19 :30。 C区第二排，原价80一张，现50一张出。共三张 演出包含屈原《橘颂》、李白《蜀道难》等名篇诗歌表演。 适合全家观看，内容丰富有趣。 建议自提，二手物品，售出不退不换。",150.0,天津,0,https://www.goofish.com/item?id=930398610798&categoryId=201418802
童心向阳.阳光下成长绘画.我的祖国.国庆主题绘画手抄报绘画线 稿 9.9一份（上色稿➕线稿➕线稿打印版） 可打印A4 8k A3 4k尺寸,9.9,北京,0,https://www.goofish.com/item?id=934255964549&categoryId=201457207
"大夏书系·中学心理辅导实用技巧与案例用得上的心理辅导技巧，24 店内图书均为正版二手书，择优发货品相大多在7-9成品，均回收自大学当天下单尽量发出，开学季两天左右发出除新疆西藏等偏远地区其他都包邮，具体请联系客服基本信息书名:中学心理辅导实用技巧与案例 9787567597006 林甲针,陈如优等 华东师范大学出版社定价:45元作者:林甲针 陈如优出版社:华东师范大学出版社出版日期:2019-11ISBN:9787567597006页码:暂无页数信息商品重量:暂无页数信息编辑推荐学点用得上的心理辅导技巧n24个典型心理辅导案例，助您读懂中学生nn教授级心理辅导名师林甲针全新力作，助力一线心理辅导教师和班主任读懂中学生，有效提高辅导能力。n基于一线育人实际精选24个典型个案，涵盖心理疏导、情感引导、交往指导、自我重建等四个方面的常见心理问题。n原汁原味呈现典型个案的问题剖析、辅导过程、辅导技巧与咨询感悟，好学易懂，利于举一反三运用到自己的教育实践中。nn编辑推荐篇章：nP32墙角的木偶——对单亲女孩青春期恋爱问题的辅导nP54住错了森林的精灵——对青春期性别认同障碍的辅导nP101那不是你的错——运用NLP技术解决焦虑情绪 内容提要 教授级心理辅导名师林甲针带领团队成员，从情感引导、心理疏导、交往指导和自我重建四个方面，对中学生的社交恐惧、考试焦虑、抑郁、心理创伤、自信缺失、青春期恋爱、亲子关系紧张等24个具体心理问题进行了辅导与干预。本书原汁原味呈现了这些典型个案的问题剖析、辅导过程、辅导技巧与咨询感悟，助力一线心理辅导教师和班主任读懂中学生，有效提高辅导能力。 目录第一章情感引导n爱在心口难开——对青春期学生恋爱问题的辅导003n老师，为什么高中生不能谈恋爱——以来访者中心疗法应对青春期恋爱问题012n她在那一角落患过伤风——“与网络男友私奔女孩”的咨询手记023n墙角的木偶——对单亲女孩青春期恋爱问题的辅导032n失恋99天——对由失恋引发的抑郁焦虑情绪的辅导042n住错了森林的精灵——对青春期性别认同障碍的辅导054nn第二章心理疏导n不害怕，能看见更美丽的风景——社交恐惧个案咨询实录065n失眠背后的深层缺失——运用ACT技术缓解考试焦虑073nn寻找黑夜里的明灯——我为什么害怕独自面对黑夜082n重塑生命的希望——运用DBT技术预防自杀092n那不是你的错——运用NLP技术解决焦虑情绪101n被内疚纠缠的岁月——记一次失败的心理辅导112nn第三章交往指导n都是“关系”惹的祸——-客体关系心理治疗的应用125n爱不到心底——心理创伤个案咨询手记136n不想和陌生人说话——社交恐惧个案咨询手记143n东想西想的，我这是怎么了——运用认知行为疗法纠正不良认知152n不愿长大的男孩——离异家庭亲子关系的重建与联结163n戴着面具的怪物——人格面具理论在与父母联结缺乏案例中的应用176nn第四章自我重建n自我接纳后的芬芳——相信自己内在拥有治愈的力量191n靠近童心，疗愈说不出的伤痛——我为什么找不到自己198n身体里的臭榴莲——青春期自我接纳心理辅导个案205nn心若向阳，何须忧伤——体相烦恼咨询个案214n超越?新生——自信心培养辅导个案222n大学，离我有多远——校园心理剧在心理辅导中的应用228作者介绍林甲针，教授级心理健康教育高级教师，全国班主任学术委员会学术委员，浙江省学校心理健康教育专业委员会专业委员，长期从事中小学心理辅导和德育工作。出版《从“教育”到“辅导”》《青春期困惑与团体辅导》等著作11部，在全国各地进行心理健康教师培训400多场。nn陈如优，二级心理咨询师，浙江省心理健康教育先进个人，合编《高中生职业生涯规划与班级团体辅导》，参编浙江省心理教材《做乐观的中学生》。ISBN编号:9787567597006内文用纸材质:纯质纸出版时间:2019-11出版社名称:华东师范大学出版社是否是套装:否作者:林甲针 陈如优译者:暂无包册数:1开本:暂无书名:中学心理辅导实用技巧与案例 9787567597006 林甲针 陈如优等 华正：副书名:中学心理辅导实用技巧与案例 9787567597006 林甲针 陈如优等 华定价:45页数:暂无编者:暂无【书名】中学心理辅导实用技巧与案例 9787567597006 林甲针 陈如优等 华【出版社】华东师范大学出版社【作者】林甲针 陈如优【ISBN编码】9787567597006",7.78,江苏,778,https://www.goofish.com/item?id=966116586352&categoryId=127812005
【珍藏】正版二手镜子里的小孩向阳故事心灵治愈童心向阳向阳海豚 欢迎光临浮生书屋，本店专注正版二手精品书籍，只卖正版！上架即有货，直接拍即可，仓库数吨书籍未上架，欢迎咨询~【购买须知】（关注我享不定时抽奖赠送各类书籍；收藏本书避免迷路哦~）1、品相：书籍九成新左右，少许有标注不影响使用，也有很多书几乎全新，这边库房会给您择优发货~2、发货：随机快递包邮，一般24小时内发货，最迟不超过48小时，关注收藏优先发货哦~3、售后：本店的服务包您满意，客服一直在线，有问题直接联系客服即可，感谢理解~【书名】镜子里的小孩【作者】向阳【出版社】海豚出版社【ISBN编码】9787511004031,12.9,黑龙江,25,https://www.goofish.com/item?id=965180571219&categoryId=202029302
普通小狗pet胶带组 全pet 本初树下向阳而生 肆意生长水 晶套组 童心结pet水晶 迷雾森林人鱼小姐等 可拆 具体怎么拆私聊哦 服装店2号已无,56.0,上海,0,https://www.goofish.com/item?id=692959133684&categoryId=126912108
茶颜悦色零食代购，送明信片没有代购费，满100包邮哦！下单后 去采购，都是最新日期[hot]精选小零食，满足你的味蕾：- 茶颜悦色小纸袋 1r- 茶颜悦色大纸袋 2r[火]2.5r专区：茉莉口味蘸酱魔法棒(2.5r)新品[火]童心放映厅果冻(2.5r)新品[火]面包丁3.0黄油蒜香口味(2.5r)新品[火]嗦嗦冻乳酸菌口味(2.5r)新品[火]瓜子讲嗑学(2.5r)新品[火]酸奶山楂糕(2.5r)新品[火]山楂薄脆片(2.5r)新品[火]吃着很有奶油味的红薯条(2.5r)新品[火]时光按钮鸡蛋圆饼(2.5r)新品[火]紫苏辣味酸枣片(2.5r）新品[火]小熊珍宝屋 益生菌软糖(2.5r)新品[火]麻辣花生米 (2.5r)  新品[火]炒玉米糕 桂子油味 （2.5r）新品[火]圆梦虾片(2.5r)新品[火]玉米粒总动员（2.5r）原来就是这个味薯片（2.5r）薯片策马创江湖辣！新上（2.5r）天生一根筋的芝士棒！（2.5r）经常椭斜的椭圆芝士脆（2.5r）黑金咸蛋黄锅巴（2.5r）玉米球的黄金时代黄瓜味(2.5r) 新品[火]黑松露火腿苏打饼干（2.5r）桃巧儿/蜜桃味巧克力威化饼干（2.5r）小不点面包嘎嘣脆 （2.5r）海盐苏打饼干        （2.5r）世界是一个巨大的贝果脆（2.5r）膨化玉米花          （2.5r）甜三角玉米         （2.5r）干脆玉米芝士角  （2.5r）芝士夹心饼干      （2.5r）黄油曲奇饼干（2.5r）洋气脆脆圈 （2.5r）红糖肉桂圆饼（2.5r）核桃红枣糕（2.5r）柠气黄油小曲儿饼（2.5r）焙火乌龙夹子饼   （2.5r）咖啡糖              （2.5r）面包丁2.0芝士咸香口味（2.5r）面包丁海盐焦糖味（2.5r）茉气脆脆条20g （2.5r）桂气脆脆条20g （2.5r）烤椰脆脆           （2.5r）夹心海苔小小脆   (2.5r)茶糖双拼装        （2.5r）茉气琳琅小茶食（2.5r）[火]辣味零食！！！：谭嗲剁辣椒金针菇（2r）新品[火]爆汁豆干(2r)新品[火]孜然香菇(2r)新品紫苏毛豆(2r)新品袁嗲汤泡臭豆腐(2r)新品[火]手撕火培鱼(2r）新品[火]剁椒脆莴笋 (2r) 新品[火]魔鬼辣魔芋耳尖三味真火（2r）魔鬼辣魔芋爽(2r)功夫豆干（2r）魔芋干拜下风（2r)黑松露味辣棒（2r）辣条当头一棒辣条（2r）辣脆片向虎山行（2r）嗦嗦冻2.0（2r）蔓越莓干(5r)新品[火]黑椒味猪肉脯(5r)新品[火]相向而生蜜桔果干(5r)新品[火]桂子油味太妃糖（5r）唐太妃糖 (5r)青柠风味软糖 (5r)黑蒜肉松夹心饼干（5r）茶团子/麻薯              （5r）薄脆牛肉片（10r）新品[火]向阳而生蜜桔果干（5r）新品[火]碧根果净含量50g（14.9r）缺货碧根果净含量40g（9.9r）原叶冻萃茶：黑乌龙（10r)原叶冻萃茶：栀晓绿（10r)原叶冻萃茶：陌桂（10r)习惯茶：桃花坞/蜜桃乌龙（10r）习惯茶：女儿红/葡萄乌龙 （10r）习惯茶：栀晓绿/栀香绿茶（10r）习惯茶：梨花白/梨花味乌龙茶(10r)新品[火]习惯茶：清茉/茉莉绿茶(10r)新品[火]习惯茶：茗优/茉莉春芽(16r）新品[火]自摇奶茶声声乌龙蜜桃乌龙口味（10r）自摇奶茶茶颜少年时茉莉绿茶口味（10r）自摇奶茶幽兰拿铁口味（10r）茶园小福袋2r一包（小茶包）[火]辣酱腊去春来酱/烟笋香菇腊肉酱（罐装16/袋装2r）贡菜椒麻酱（罐装16/袋装2r）木姜子剁椒酱（罐装16r/袋装2r）紫苏黄瓜片（罐装16r/袋装2r）子姜剁椒酱（罐装16r/袋装2r）[汽车]代购服务，方便快捷，支持快递包邮，随时在线解答疑问。[钉子]注意：商品一旦售出，不支持无理由退货哦，介意者慎拍。快来选购，享受美味吧[比心],100.0,湖南,167,https://www.goofish.com/item?id=883720359625&categoryId=201456914
【出】现货 卡维 小盘 团子牛奶 稚画童心吧唧 13r 泷廻鉴花 甜点三弹 流麻45r 普麻35r 团子牛奶 繁绘隅穹  先行 浮雕双闪吧唧 镭射银浮雕款 20r 尘世幻想 向阳 双闪亚克力色纸 26r 林语间 普麻 32r 交错 普麻 32r 金灿灿阳光小黄...,232.0,黑龙江,0,https://www.goofish.com/item?id=813833195950&categoryId=126860292
｛退坑出物｝卡维貌美谷子 已有（谷子）  天缘奇礼 镭射票（现货） 疏影水像（现货） fall in love 亚克力色纸（现货） 向阳 镭射票 吧唧（现货） 向阳干花麻将 1（现） 卡维官方徽章1亚克力挂件1（现货） 稚画童心吧唧 旧梦如星的卡维色纸 2（现...,52.0,湖北,520,https://www.goofish.com/item?id=741282905920&categoryId=201461610
茶颜悦色零食代购送明信片没有代购费满100包邮哦不满100快 递费7下单后去采购都是门店最新日期-+茶颜悦色小纸袋+1r-+茶颜悦色大纸袋+2r2.5r/袋任选茉莉口味蘸酱魔法棒(2.5r)新品童心放映厅果冻(2.5r)新品面包丁3.0黄油蒜香口味(2.5r)新品嗦嗦冻乳酸菌口味(2.5r)新品瓜子讲嗑学(2.5r)新品酸奶山楂糕(2.5r)新品山楂薄脆片(2.5r)新品吃着很有奶油味的红薯条(2.5r)新品时光按钮鸡蛋圆饼(2.5r)新品紫苏辣味酸枣片(2.5r）新品小熊珍宝屋 益生菌软糖(2.5麻辣花生米 (2.5r)  新品火炒玉米糕 桂子油味 （2.5r）新品圆梦虾片(2.5r)新品玉米粒总动员（2.5r）原来就是这个味薯片（2.5r）薯片策马创江湖辣！新上（2.5r）天生一根筋的芝士棒！（2.5r）经常椭斜的椭圆芝士脆（2.5r）黑金咸蛋黄锅巴（2.5r）玉米球的黄金时代黄瓜味(2.5r) 新品黑松露火腿苏打饼干（2.5r）桃巧儿/蜜桃味巧克力威化饼干（2.5r）小不点面包嘎嘣脆 （2.5r）海盐苏打饼干        （2.5r）世界是一个巨大的贝果脆（2.5r）膨化玉米花          （2.5r）甜三角玉米         （2.5r）干脆玉米芝士角  （2.5r）芝士夹心饼干      （2.5r）黄油曲奇饼干（2.5r）洋气脆脆圈 （2.5r）红糖肉桂圆饼（2.5r）核桃红枣糕（2.5r）柠气黄油小曲儿饼（2.5r）焙火乌龙夹子饼   （2.5r）咖啡糖              （2.5r）面包丁2.0芝士咸香口味（2.5r）面包丁海盐焦糖味（2.5r）销量榜茉气脆脆条20g （2.5r）桂气脆脆条20g （2.5r）烤椰脆脆           （2.5r）夹心海苔小小脆   (2.5r)茶糖双拼装        （2.5r）茉气琳琅小茶食（2.5r）[火]辣味零食！！！：谭嗲剁辣椒金针菇（2r）爆汁豆干(2r)新品孜然香菇(2r)新品紫苏毛豆(2r)新品袁嗲汤泡臭豆腐(2r)新品手撕火培鱼(2r）新品剁椒脆莴笋 (2r) 新品魔鬼辣魔芋耳尖三味真火（2r）魔鬼辣魔芋爽(2r)功夫豆干（2r）魔芋干拜下风（2r)黑松露味辣棒（2r）辣条当头一棒辣条（2r）辣脆片向虎山行（2r）嗦嗦冻2.0（2r）蔓越莓干(5r)新品黑椒味猪肉脯(5r)新品相向而生蜜桔果干(5r)新品桂子油味太妃糖（5r）唐太妃糖 (5r)青柠风味软糖 (5r)黑蒜肉松夹心饼干（5r）茶团子/麻薯              （5r）薄脆牛肉片（10r）新品向阳而生蜜桔果干（5r）新品碧根果净含量50g（14.9r）缺货碧根果净含量40g（9.9r）原叶冻萃茶：黑乌龙（10r)原叶冻萃茶：栀晓绿（10r)原叶冻萃茶：陌桂（10r)习惯茶：桃花坞/蜜桃乌龙（10r）习惯茶：女儿红/葡萄乌龙 （10r）习惯茶：栀晓绿/栀香绿茶（10r）习惯茶：梨花白/梨花味乌龙茶(10r)新品习惯茶：清茉/茉莉绿茶(10r)新品习惯茶：茗优/茉莉春芽(16r）新品自摇奶茶声声乌龙蜜桃乌龙口味[钉子]注意：商品一旦售出，不支持无理由退货哦，介意者慎拍。欢迎选购！,100.0,湖南,0,https://www.goofish.com/item?id=963205060996&categoryId=201456914
