标题,价格(元),所在地,想要人数,商品URL
第一序列txt 精校版 全本完结 百du/夸K网盘发 作者：会说话 肘子 电子书籍小说  epub格式有插图  可导入苹果图书、多看、Kindle等。   自动秒发货，留言看到就会回，百du/夸K网盘发货。  点击“我想要”，付款即可  [号外][号外][号外][号...,1.0,江苏,103,https://www.goofish.com/item?id=905337402461&categoryId=202036301
【网盘秒发】第一序列 校对版全本txt/epub 作者：会说话的肘子自动秒发货，留言看到就会回，百du/夸K网盘发货。确认收货好评后可以找店主赠送店内任一小说注意！注意！！注意！！！点击“我想要”，付款即可拍“2人小刀”时，可点击商品页面右上方〔还差一人刀成，直接刀成〕，这样无需拼刀，秒发货。关于售价：标价即售价，无任何套路，无需客服咨询，需要直接拍下即可。电子资源售出不退换注意：1.标价即售价，拍下秒发2.发百du/夸K网盘，可直拍，发出后不退。链接若失效请留言，可补发或退款3.仅为个人学习研究使用，请勿用于商业用途，请在下载后24小时内删除,1.0,江苏,27,https://www.goofish.com/item?id=941691776634&categoryId=202036301
【自动发货】第一序列 漫画 pdf 已更至 598 话 未完 结包更新  漫画高清长图 无分割线 可以试看章节 “当灾难降临时，希望才是人类面对危险的第一序列武器。” 百度➕夸克盘发货 在线秒发！ 虚拟物品已发货不支持退换哦，感谢支持 喜欢的小伙伴联系我吧！,3.66,上海,888,https://www.goofish.com/item?id=951068487599&categoryId=201459411
全新《第一序列》小说套装，共12册，大无删减版本。会说话的肘 子著。现货，成色完美。第一序列不是正版介意勿拍售出不退不换,60.8,湖南,54,https://www.goofish.com/item?id=909395083450&categoryId=127838003
第一序列 1-5册，会说话的肘子玄幻小说《末日奇幻科幻武侠》 ～高清印刷一本非常受欢迎的小说，喜欢玄幻题材的朋友们不要错过啦！现货有限，先到先得哦～有兴趣的朋友赶紧联系我吧，支持包邮，放心购买！第一序列.5,30.0,北京,37,https://www.goofish.com/item?id=892943994439&categoryId=127838003
"【现货包邮 】第一序列小说全集全套5本奇幻冒险小说会说话的肘 子著有12册任选  1、非偏包邮 2、我家店是诚信经营, 为客户负责到底, 有问题可以第一时间联系客服～",46.9,山西,25,https://www.goofish.com/item?id=848037771666&categoryId=201459411
全新到手的《第一序列》小说全集，全套13本，会说话的肘子著。 几乎全新，书友们有福啦！现货速发，包邮送到家，喜欢的朋友不要错过哦！全国包邮，偏远地区除外。快来抢购吧！,58.0,湖南,8,https://www.goofish.com/item?id=955469097448&categoryId=201459411
第一序列第1-5 感兴趣的话点“我想要”和我私聊吧～,23.0,广东,0,https://www.goofish.com/item?id=964215395239&categoryId=127838003
《第一序列》txt 精校版 全本完结 24小时百du网盘自动发货 作者：会说话 肘子   电子书籍小说     点击“我想要”，付款即可  注意： 1.标价即售价。 2.发百du/夸K网盘，可直拍，发出后不退。链接若失效请留言，可补发或退款 3....,1.0,江苏,4,https://www.goofish.com/item?id=891188135513&categoryId=201459411
《第一序列》txt 全本完结 校对版 可导入起点等阅读软件阅读作者:会说话的肘子发货方式:网盘发货【自动发货】txt电子版全本电子书籍小说标价即卖价，24小时内自动发货。电子资源售出不退换好评后赠送一本小说！注:如出现章节重复等问题请导入掌阅观看！如不是在掌阅观看出现乱码或者重复章节问题不售后！不售后！txt文本下载后可以直接使用起点小说或番茄小时阅读。也可以导入墨水屏，MP3，MP4等电子设备看       （注意:导入起点阅读，也没办法看评论和真人听书 只有AI和正常阅读文章）,1.01,浙江,0,https://www.goofish.com/item?id=955803591381&categoryId=201459411
