标题,价格(元),所在地,想要人数,商品URL
《笼中人邻居》tl 感兴趣的话点“我想要”和我私聊吧～,1.11,重庆,2,https://www.goofish.com/item?id=963982945450&categoryId=202036301
笼中人 凉容 周边应该是全的？ 状态新 翻过0-1次 但是出 厂瑕比较严重（最后一图）  不包邮 售出不退不换,85.0,北京,0,https://www.goofish.com/item?id=921224784044&categoryId=126860296
【出】知更鸟笼中人拍立得 包邮，可直拍。,10.0,广东,1,https://www.goofish.com/item?id=885860669166&categoryId=202124609
笼中人by凉容周全标价包邮出 默认有瑕疵标价可以直接拍,110.0,福建,0,https://www.goofish.com/item?id=918798359029&categoryId=126860296
【出】笼中人by凉荣 小小一本，是以前买本收的捆物。。。没有周边，所见即所得。 可直拍,160.0,江苏,0,https://www.goofish.com/item?id=858984523521&categoryId=201459411
bilibili 2023签绘贺图收藏集，已绝版 除了有兽焉的都出 可直拍，拍后发b站uid和想要的卡即可，不退不换 晚上发货 #bilibili #潮流盲盒手办  目前有的： 赘婿．龙蛇篇 仙帝归来．2023签绘 我的三体第四季 时光代理人（无） 笼中人 开局地摊卖大力 君有云第二季 ...,2.0,广东,0,https://www.goofish.com/item?id=920292389596&categoryId=126860296
垃圾桶小子/1986元年老卡/笼中人 Garbage pail kidspsa10[火] hit[火][火][火],789.0,湖南,0,https://www.goofish.com/item?id=955046788654&categoryId=126860375
#美图八角笼中大乱斗#   蔷薇村木质拼图 allin 就送画册 家里要爆炸了实在没地方放了 每盒价钱不一样  欢迎来问 二手拼图寄出之前我会数片并附上干燥剂一起发出  爽快的性情中人有小礼物送  买不买都告诉一声哈   买之前有需要可以拍视频 确认物品状况 一旦发货出手不退不换不...,280.0,黑龙江,4,https://www.goofish.com/item?id=918508223983&categoryId=126862890
大批第五人格珍爱卡， 使徒荒野女巫可动卡3元雕刻家，动作女巫可动卡，2元一张，有两张：ssr4元破轮球球2元前锋阿瓦尔的战车1.5元一张，有两张盲女甜心蛋糕1元，有4张击球手，钨，3.5一张，有两张调香师笼中之蝶，1.5元，有两张，黄金蛋糕，2元，有两张箜篌，4.9元衔尾蛇，0.5元矫正噪音，0.5元帮帮-霞，0.5元稻草人小丑，1元，有三张镏金铜鹿，鹿头，2.5元，有两张入殓师，手中人，可动卡，1.5元梦之女巫，红龙夫人，0.5元蜡像师，淋浴，1元舞女，香薰桑拿，2.7元雕刻家，Q版动物女巫，1.5元龙的传说，金华海报款，3.5元蜡像师Q版，1元调香师Q版，4元记忆纱幕2，5.5忍痛割爱！价格再议，请善待！感兴趣的话点“我想要”和我私聊吧～,1.0,辽宁,0,https://www.goofish.com/item?id=948260518058&categoryId=126860375
出 诡秘之主 同人周边 全现货 不拆出 可直拍（出掉前有新的还会加）set4255r需提确 顺丰包邮 单号拍隔壁一份拍打包图片在补邮链接发能接受可直拍拍后默认接受所有状态色纸均未拆（有膜的未撕但膜下有异物 起边的自己按回去） 纸片就套个袋 有的多个一袋（部分纸片轻微撞角压痕划痕变形等一律默认初伤）透卡未撕膜 亚克力未拆未撕膜 吧唧除非爆袋均未拆 默认已知部分吧唧为磨砂底会自动氧化出锈懂得都懂 一些远古马口铁吧唧到手后背面一圈就有锈和指纹锈 包装袋相关自己换新的去默认初伤厂瑕官瑕不售后不退不换婉拒ysg完美主义三五小号新号等拍后默认接受所有状态啊 还有 看完再看下面以下柄包含 单克 前同事 伦克 克蒙 神兄弟 乌 A 门 蒙 兹 克右 第四纪 安 天尊 克生贺 伦 红赠品不一定同坑主打一个想塞啥塞啥 喜欢就留不喜欢随意处理 可能略重 不可挑状态没写具体柄名的 因为不知道拍立得34续写黎明 克 吞尾者塔罗13至日之梦 十三星挂件3干丢门蒙安透卡17圣洗 与我 伦克 蒙 门 侠盗 重返教堂 笼中鸟与灰森林 幻想沉沦 冻鱼塔罗明信片95画展门 玫瑰战争 蓝色纱 悖论塔罗 神兄弟 镜中人 克右 月栖梦 续写黎明 A 浴缸克 吞尾者 红色蒙 克蒙 至日之梦 蒹葭 周旋久宁作我 虚饰 深红星辰 明明明月 幻想西大陆吧唧12吞尾者 神兄弟 至日之梦 续写黎明 蒹葭 十三星色纸16miracle 蒹葭 至日之梦 月栖梦 续写黎明 庭中 虚饰 绎愚书 弈神问愚 深红星辰亚克力18让祂降落 续写黎明 月栖梦 别来春半 造物 蒹葭 枕月 画展门镭射票27月栖梦 续写黎明 至日之梦 克 明明明月注:蒹葭色纸画展门流麻为瑕疵款 不说明 自己问主催瑕在哪,4255.0,辽宁,4,https://www.goofish.com/item?id=951441359897&categoryId=201459411
【出】hp金属徽章小包 海狸谷双子情书     90+7=97(入价叠半邮)dm画中人双色       48×2=96dm银莲花和蓝色鸟笼   70万圣神父dm     75[绿圆]情书不拆，可直拍，标价已含手续费[火]拍下后私戳发状态，发货后不退不换，不接受到手刀，ysg和事妈勿扰tag:Harry Potter哈利波特 哈利波特金属徽章 hp徽章海狸谷 韦斯莱双子 德拉科马尔福乔治韦斯莱 弗雷德韦斯莱鸽光之王 和气生财 对角巷的行星酒馆,341.0,江苏,0,https://www.goofish.com/item?id=956110379895&categoryId=126858614
baby 鸟笼开襟sax jsk 穿1，9新 默认中古物瑕疵，介意勿拍 有发带 在海外，6月中人肉回国顺丰到付 等不了也可以海外直发，运费自理,1300.0,北京,2500,https://www.goofish.com/item?id=917138993756&categoryId=126860305
天官赐福画中人系列mini色纸，花城&谢怜-鬼市夜游款。无原 包装。画面精美，金色边框设计，带莲花和灯笼装饰，整体效果很漂亮。喜欢的小伙伴可以私聊我，同城自提优惠，异地的话可以帮你寄出。价格可以聊，欢迎咨询～,15.0,河南,0,https://www.goofish.com/item?id=951482435481&categoryId=126860292
肆月灯笼冰箱贴 方案一：图一+图二180米包邮方案二：图一+图三190米包邮主页三个起拍六个包邮非偏远每一个都是自己精挑细选才买的无论要不要都可以来问问！欢迎同道中人本人很好说话，但大家都要保持起码的尊重，要不要都要说一声儿，不要已读不回谢谢冰箱贴属于手工制作，都会有手工痕迹，如染色不均，小掉漆，小气泡，小黑点，等都属于正常现象，完美主义者勿扰，默认微瑕无售后，不退不换借tag啵啵小铺冰箱贴 若若梨冰箱贴 小枫阿姨冰箱贴 婉约而至冰箱贴 简单爱冰箱贴 物喜原创冰箱贴 YoYo家的冰箱贴 暖暖兔小铺冰箱贴 柒饭冰箱贴 玖柒冰箱贴 好饰花生冰箱贴 三拾文创冰箱贴 桃十一冰箱贴 甜桃便利店冰箱贴 东雯冰箱贴 喜椰冰箱贴 原创冰箱贴 靓仔冰箱贴,60.0,北京,0,https://www.goofish.com/item?id=966963312295&categoryId=126858206
杨戬人生长恨水长东300 求求看完页面！！！！不单独出！！！！不单独出！！！！不单独出！！！！ 全新未拆，水墨版本周全带番外 生子文三套有瑕疵735 难得可能周不全两套400 可是直男又做错了什么~防脱生发指南全新未拆gz200 笼中人只有本100 孤有话说有加购...,3225.0,云南,38,https://www.goofish.com/item?id=643153742803&categoryId=126860292
天官魔道盘出（四张图），整盘不拆，本质清谷回血，包邮不包手续 费（手续费20已经加上了，标价可直拍）[五角星]拍前默认看完如下不完全统计介绍[五角星]盒蛋系列：寻觅款（怜怜和底座接触部分有点粘色），相遇款（耳朵有点掉色），守候款（均无原盒，单手办本体，拆摆）[五角星]手办系列：暮枫山行手办（拆摆，配件齐全），仙乐浮绘（仅拆看装回原盒，有特典色纸），吟雪赋岁手办（无原盒和特典，配件和亚克力背景板都在，撕了膜，手办拆摆，狮子头有脱色，那个灯笼不知道啥时候断了个穗子，蓝忘机抹额尾部有点掉色但图上看不太出来，已自刀）[五角星]色纸系列：一周年特展月下款，化蝶再归来，红枫林，月夜，红绳，花雨，戒指，韶光伴月，艾漫光栅色纸，生贺主题雪春信双人色纸，御龙归藏系列超感烫色色纸，2024端午色纸，怜月下，共赏光景，蝶翼协奏曲，红枫林动漫屏风色纸（找不到原袋），好运双倍…（大部分未拆）[五角星]次元波板糖系列：西幻和古风Q版吧唧（西幻花城款有个凸起，如图三标注），正比镭射票（Q版自留了），谢怜生日，花城生日，端午镭射票套组（有原袋，拆看套膜），满赠透卡（两张一样的，一张撕了膜，一张没撕膜）和满赠亚克力闪卡（撕膜）[五角星]光栅：福赏水月光栅卡（积分卡还在），落笔山河两张，眨眼一张[五角星]立牌（都撕了膜）：谢怜Q版生贺，蝶翼协奏曲，雾林诉情，今天做什么花城款，超电文化立牌两个，动漫立牌小个的四个（没有原袋）[五角星]书：漫画1.2（1的随书一套自留了贴纸，一套的纪念卡自留两张，其他应该全了，2的不确定，只有书签和透卡好像）[五角星]冰箱贴：织梦初逢，枫泉逸趣[五角星]其他：画中人系列相卡和翻转贺卡（找不到原袋了），谢怜花城生日折扇（未使用，里面的挂件也在），minidoll动画pp夹（太古早了找不到原袋了），鼠标垫，书夹，鬼市玲珑骰拼图，古茗联动周边，雪春信和枫林染拍立得，笔，生贺pet海报两张（截图的那两个），无相司联名镭射票…[五角星]建议看看主页购物须知避免一些不必要的麻烦[送花][送花][送花],3520.0,江西,2,https://www.goofish.com/item?id=926298993390&categoryId=126860292
#美图八角笼中大乱斗# Ravensburger 让那个火车停下来！ Nathan 乡村  Ravensburger 古董店  Ravensburger 伦敦广场 每盒价钱不一样  欢迎来问 二手拼图寄出之前我会数片并附上干燥剂一起发出  爽快的性情中人有...,555.0,黑龙江,0,https://www.goofish.com/item?id=913724411659&categoryId=126862890
代挂出包 四套生子文合集有瑕疵980 岁云暮zy100 狼狗gz，未拆，但有点小小瑕疵，看个人觉得算不算吧，周全带签100 山河表里旧版，有瑕疵，带签名，周不全100 春潮带雨有加购贴纸等等100 笼中人只有本100 牙香街gz周全无签有点瑕疵10...,4300.0,黑龙江,0,https://www.goofish.com/item?id=709974344700&categoryId=126912108
买鼠送嫁妆(25元的鼠，25元的笼子，其他七七八八40左右) ，因离深，家人无法照顾，希望可以给鼠一个温暖的家 优点：不吱吱叫，安静，能吃，能睡 缺点：因为也是3月29买回来的，还没有建立信任关系，如果有意中人喜欢需要培养信任关系，我是带着手套与他玩，害怕被咬 鼠鼠说明：深圳宝安石岩兰姜新村自提，母鼠...,25.0,广东,90,https://www.goofish.com/item?id=908217915859&categoryId=126854667
蓝白小公猫，因家庭原因养不了了，希望可以找到喜欢小猫小狗的同 道中人，送一些附带用具：猫砂盆，铲子，猫笼，猫垫，猫粮等，30km可送喵到家,200.0,山东,1,https://www.goofish.com/item?id=958958323970&categoryId=126854790
绵阳训练家庭伴侣犬。1随行不爆冲。2随行中人停狗停。3室外排 便。4等待进食。5住笼子习惯（不乱叫，不扰民）6不仆人。7禁止口令与好的口领。8出门礼仪（人先走狗狗才能走）9随行不乱检食物。10学会带牵引绳。可接送。,2800.0,四川,3800,https://www.goofish.com/item?id=808854889290&categoryId=126854704
接寄养，家里特别喜欢小动物，自己也养，为了方便同道中人，有很 多家里养蜜袋鼯的主人们，因为家里有蜜袋鼯不能出远门，尤其现在旅游旺季，还有出差的，走亲戚的，可以把家里蜜宝送来寄养，每天可以视频看自己宝贝的生活环境和状况，自带蜜粮就可以，无需带其它，我都准备好，笼子，窝都是我家现成的，白天固定喂2只杜比亚...,15.0,辽宁,20,https://www.goofish.com/item?id=681260154438&categoryId=126854698
ERIKA CAVALLINI 小鸡黄纯色针织棉质拼接长袖T 恤上衣女 正品正品正品，意大利海淘回 代如花姐妹T出，99新 本人170，体重100 针织材质混搭棉质两袖 荷叶边袖口 小鸡黄当季最in色 可可爱爱少女感爆棚 买太多原价实在不记得了 同道中人开小窗私聊 不接刀，质疑者自绕道 不包邮售出后不...,555.0,四川,2,https://www.goofish.com/item?id=655158170868&categoryId=126916001
GOUDINRQC/古典青春白色长款气质法式“画中人”简约大 气小礼服裙,280.0,福建,0,https://www.goofish.com/item?id=665630405087&categoryId=126860581
浮雕全真丝，收藏了很久的自留款。蜂腰裙摆vintage油画套 装 很有意思的浮雕真丝，饱和度极高的油彩花，很高级很美，特别衬亚洲人肤色。我自留了好久舍不得出，胖了些，就放出来了。 蜂腰摆跟七分灯笼袖，整体版型非常流畅。宛若画中人。 成色很新。保存品。不挑身材不挑身高，我85-76-96的三围，胸围有空...,1861.0,浙江,3,https://www.goofish.com/item?id=810619309817&categoryId=126860592
古装手提灯笼古风汉服手持宫灯挂饰过新年发光灯笼道具表演，共两 个影楼拍照用的转让给同道中人二手物品不退，不换赔钱卖，不想折腾同城自取。,20.0,黑龙江,0,https://www.goofish.com/item?id=651904619469&categoryId=126858565
高级感轻奢显瘦丝绒连衣裙女优雅气质灯笼袖长裙，胸围84，腰围 72，穿过一次，我超爱的一件，细节无敌美，怕错过找了几个代购买到两件。自留一件，这件转给同道中人。售出不退！,125.0,山西,890,https://www.goofish.com/item?id=844798129911&categoryId=126860581
