标题,价格(元),所在地,想要人数,商品URL
繁花似锦邀请得金钻 时间久，着急要勿拍15个号过剧情12-10   （50r）    着急勿拍！！！！！,50.0,湖南,2,https://www.goofish.com/item?id=962248775871&categoryId=200928013
繁花似锦出号v5实力榜一，喜扑平台，可换绑手机号 感兴趣的话点“我想要”和我私聊吧～,200.0,河南,0,https://www.goofish.com/item?id=964612093184&categoryId=202032502
繁花似锦游戏代玩 感兴趣的话点“我想要”和我私聊吧～,600.0,海南,0,https://www.goofish.com/item?id=966055138016&categoryId=201459411
挂人（小花仙繁花似锦） 已经说好了，我东西也打包了，就直接退款了，也不说原因,999.0,四川,0,https://www.goofish.com/item?id=965787370723&categoryId=200928013
繁花似锦 官方正版 大量资源 任何平台喜欢滴滴,100.0,广东,3,https://www.goofish.com/item?id=964646181071&categoryId=202032502
繁花似锦，背包里还有大量道具和称号未用，可以冲榜，联盟团结， 跨服均多第一，号v5，年卡还有355天（刚续）每日可免费领取600+金钻，现共有2w金钻，外加送一个同服小号（最后一张图号上还有6k金钻）和n个小小号（别服号都有金钻）价格可小刀,1000.0,江苏,0,https://www.goofish.com/item?id=826726605375&categoryId=202032502
【繁花似锦】手游账号 服务器:风入松-浮世流年等级:19级 合体中期实力：45538152剧情进度:19-7仙盟:茶醉书香榜二六级仙盟，盟主师绮瑶辉煌榜常年在榜。同伴、知己、灵宠培养情况见图背包资源等其他信息放图位置不够了，可私信问我未实名，购买后配合换绑手机号、更改密码零氪号，玩挺久了，最近入坑了别的游戏不想玩了就来出掉。第一次卖号，如果有没说清楚的地方可以私信问我。不太了解账号的市场价，大概标了一下，可以商量。,350.0,北京,0,https://www.goofish.com/item?id=964623103702&categoryId=200928012
繁花似锦 官方正版 大量资源 任何平台喜欢滴滴 免责说明：素材来源网络，如有侵权请联系我删除！我会积极配合未成年勿拍，拍下默认成年,3888.0,江苏,5888,https://www.goofish.com/item?id=963867566669&categoryId=200928013
【出/包邮包手续费】小花仙繁花似锦箱配夏安安书卡  手续费我 付，非偏远地区包邮，偏远地区需补邮tag：小花仙繁花似锦,85.0,江苏,0,https://www.goofish.com/item?id=965009991827&categoryId=202124609
山海经异变装扮繁花似锦，1级拜访特效，光华若霞织天际，繁花似 锦绽芳华。图鉴属性：家园采集资源上阵战力+12%，部落达到地级通过拍卖获得道具获得活跃度提高+35%。收藏属性：问鼎八荒灵兽战力+22.65%。全平台互通，价格可聊，感兴趣私聊。,215.0,湖北,0,https://www.goofish.com/item?id=949956991668&categoryId=200928013
出游戏账号，繁花似锦，VIP2，不想玩了，低价出。账号实力5 07546981，灵性134860957，机缘126711815，体魄124631721。只走平台交易，可刀。有兴趣的朋友点“我想要”和我私聊吧～,160.0,陕西,1,https://www.goofish.com/item?id=892409154473&categoryId=202032502
繁花似锦v5游戏号，背包里还有大量道具和称号未用，可以冲榜， 年卡还有半年多，氪条约2k，一盟副盟（你要盟主也可以）有2w+金钻，霓裳令3w+，天赋随从全部拿完了，宠物随从也养的很好，因本人工作忙，无暇兼顾，忍痛割爱，无需解绑更方便快捷，可送二个同服小号（各有2w+钻），价格可小刀,999.0,浙江,0,https://www.goofish.com/item?id=951925045423&categoryId=202032502
包邮出周大福同款繁花似锦项链腾纹手镯结婚订婚仿真假三金五金套 装带盒子假项链耳环耳钉手镯手链戒指摆台道具，拍照出片，放心用！  随机发一个五金带品牌双层五金大盒！（周大福、老庙、周六福、中国黄金）  手镯圈口默认发60mm 有需要请备注  全国包邮（新疆西藏除外！）  发货之前均拍摄实拍，请确认好再发...,56.0,天津,6,https://www.goofish.com/item?id=951238341393&categoryId=201459411
抖音 古古服饰工厂店 【古古】【繁花似锦】春 暗纹蝶恋花国风锦绣盘扣外套 双色 G24008 衣服s码数 衣服109 【古古】【流光半裙】春 松紧腰高级感垂坠好高光缎面鱼尾半裙 G24015 裙子带松紧s码数 裙子59   裙子已出 只剩下衣服 这套新中式穿...,59.0,福建,89,https://www.goofish.com/item?id=919878931367&categoryId=201452825
简知.原创.现货繁花似锦OP 裙子L码十手袖十kc 仅试穿，主出 小刀出，实物可私 不定时上钱,290.0,河南,0,https://www.goofish.com/item?id=678665142052&categoryId=126860305
繁花似锦游戏号出，没时间玩了 感兴趣的话点“我想要”和我私聊吧～,400.0,陕西,2,https://www.goofish.com/item?id=965460005364&categoryId=202032502
"繁花似锦凤冠金属拼装模型，蓝色花朵造型配精美流苏，带高级拼装 工具，做工精致。适合14岁以上人群，拼装后可做家居摆件或送礼。尺寸约10cm高，包含完整工具，拼装简单。不包邮，不包邮，不包邮，邮费另加5元，可以多买，付一个邮费。感兴趣的话点""我想要""和我私聊吧~",35.0,天津,1,https://www.goofish.com/item?id=965197547748&categoryId=126860298
繁花似锦，v4，一盟执事，年卡还有很久如上。 背包里资源比较充足，因为攒着准备拿跨服同伴，所以排名有点掉了，基本在前10。  同伴目前主养纪云荷，辅养苏落/结梨。宠物都已结伴，达到中品锻体。 挺新的服(香透长安)，服里活人比较多，霓裳每周可以开起来。  金钻1.6w+ 霓裳印2.8...,230.0,四川,3,https://www.goofish.com/item?id=948309409867&categoryId=202032502
张艺兴 爱人pb 繁花似锦 下单册全新 带特典250包邮出 送一堆小样,235.0,广西,0,https://www.goofish.com/item?id=577546315869&categoryId=0
繁花似锦，v7，榜一盟主号，月卡年卡都有，背包里还有一张改名 卡，挺新的服，既可以低价得个号，又可以体验自己养成的乐趣，想入坑的可入手，本人游戏多不想玩了 感兴趣私信我了解具体情况~,300.0,广东,0,https://www.goofish.com/item?id=921067817936&categoryId=202032502
繁花似锦 官方正版 大量资源 任何平台详情点击“我想要”虚拟物品，售出不退不换介意勿拍,99.0,河北,0,https://www.goofish.com/item?id=965338741026&categoryId=200928013
山海经异变装扮繁花似锦（激活版） 想激活拜访特效装扮的老板看过来小店主打一个性价比激活完返经验给我就行比直接买一个便宜需要押金五百（成本价，见谅）需要的话私聊我吧～,194.0,天津,220,https://www.goofish.com/item?id=961918855713&categoryId=200928013
【急出】繁花似锦 V5 没时间玩了，氪了2000多，低价出了冲榜的话基本可以冲一冲前三，第一攒一攒也可以稳的。排名的话中间有段时间没怎么上线了掉了一些，如果好好玩的话应该会回升可换绑手机号 其他问题私信即可更新：钻现在有21000左右，年卡已充，钻会更多，可直拍,350.0,安徽,0,https://www.goofish.com/item?id=850388446758&categoryId=202032502
出风清记暖繁花似锦fs大全套加全新大袖+100r科幻c服或l o 本体+外套+披帛+大袖+腰链+璎珞（有点氧化）全新未穿东西几乎都在哈 可拆，但是必须带上本体和外套哦 可小刀或包邮，原来的飞机盒还在就是状态不太好 科幻:大爱第五人格 人鱼的旋律 守护甜心日奈森亚梦 初音未来 其他也可以问问咪想不起来i...,500.0,北京,0,https://www.goofish.com/item?id=830391646113&categoryId=126860305
【包出】繁花似锦黑玫瑰男爵梅里美盘 三张摩登四张执事五张qr 包非偏可直拍,56.0,广东,0,https://www.goofish.com/item?id=951587928784&categoryId=126860292
川崎新款繁花似锦羽毛球服套装，白色上衣配深蓝短裙，樱花图案设 计，速干面料  只穿过2次，几乎全新,120.0,福建,0,https://www.goofish.com/item?id=958425602228&categoryId=126866588
山海经异变装扮繁花似锦高属性29.24% 游戏道具，全程录屏发货…讲价勿扰！！,240.0,河北,4,https://www.goofish.com/item?id=955968332667&categoryId=200928013
