标题,价格(元),所在地,想要人数,商品URL
【书店直发】神探迈克狐全套7季43册 仓库包邮，全新塑封，一级经销商直发我们发货的时候用气泡纸，防止磕碰书角为什么我们是回购版榜第一名，因为品质，感谢老客户不断回购精装的是正品第一辑千面盗怪6册，16.8  第二辑侦探大赛6册，19.6  第三辑神秘组织6册，21.8第四辑獠牙危机6册，23.8第五辑孤岛寻踪6册，24.8第六辑国际学院6册，25.8第七季国际学院2，6册  25.9 新出6+7季    43.85+6+7季    63.84+5+6+7季    82.83+4+5+6+7季  103.82+3+4+5+6+7季 115.81+2季  41.81+2+3季   60.81+2+3+4季  79.81+2+3+4+5季  102.81+2+3+4+5+6季 114.81+2+3+4+5+6+7季  136.8  全套42册还有一本番外篇最新出来的单独卖7.6元1+2+3+4+5+6+7+番外一本138.8这套书回购率非常高，如果喜欢的家长犹豫的话，可以先拍第一季回去给小朋友，然后再来回购神探迈克狐如果想要其他组合可以单独拍   这样不容易发错货,7.6,上海,0,https://www.goofish.com/item?id=815297137884&categoryId=127838003
Frog and Toad青蛙与蟾蜍英文原版1-4册电子书P DF+音频MP3有声书+动画片1-2季全+39节精讲课+练习纸青蛙和与蟾蜍是好朋友分级桥梁书绘本  包含以下内容：  ① 动画片1-2季  1080P 第一季8集 无字幕+中英字幕 第二季16集 英文字幕 ② 电子书PDF全4册（合集+分集...,2.68,北京,36,https://www.goofish.com/item?id=918871948019&categoryId=126864808
老友记第一季纸质+视频对照版台词本，全新 高清印刷，纸质很好，。喜欢的朋友可以直接拍，当天发货，全国包邮～,13.8,湖南,6,https://www.goofish.com/item?id=940457486201&categoryId=127838003
9册英文漫画Heartstopper心跳漏一拍1-5季全+英 剧1-3季 电子版非纸质Heartstopper又名《心跳漏一拍》治愈系有点甜的英文漫画 作者：Alice Oseman主线: 爱、自我、自由[火]标价包含以下内容：[1]电视剧 1-3 季全共 24集，英语，中英文字幕，超清 1080p[2]漫画高清PDF 9册，1-5季 ➕ mini漫2册 ➕ 年鉴1册 ➕ 涂色书1册1️⃣ 第 1 季，共291页2️⃣ 第 2 季，共296页3️⃣ 第 3 季，共350页4️⃣ 第 4 季，共341页5️⃣ 第 5 季，共336页6️⃣ mini 漫共2册，共40页+76页7️⃣ 年鉴yearbook，共161页8️⃣ 涂色漫画，共6页（可打印出来填色）———总内存27.07G	故事讲述了卷毛书呆子Charlie和金毛暖心大男孩Nick，两个高中男生在学校和家庭中发生的故事。在青春期时，在学校、家里，总会遇到一些事情，身体上和精神上都有可能会生病，但我们总会对自己进行探索和自我成长，不断对自己有新的自我认知，慢慢地成长地更加自信自尊自爱。这本漫画也在讨论“亲密关系”。通过经历不同的事情，去开始理解自己，当我们逐渐理解自己，也开始理解他人。理解我们的恋人、父母、朋友。这套漫画中，让我印象最深的是Nick的妈妈和他谈话时，谈到“爱”。“You can just be there. To Listen. To Talk.To cheer him up if he’s having a bad day. Sometimes people need more support than just one person can give. That’s love darling.”写到:我们需要身边的人，去倾听、交谈、鼓励彼此。就像Charlie的美术老师说的一样，封闭自己不是最好的做法。是这样吧？所有的亲密关系，我就要真诚地付出，真心对待他们。如果真心无法换来真心，没有关系，那就转身离开吧！可直接拍下，百du网盘发货。电子资料售出不退，谢谢理解！,5.0,新疆,0,https://www.goofish.com/item?id=909199199168&categoryId=202036301
"【小猪佩奇来啦！超全资源】 《小猪佩奇》1-10季双语动画+外教讲解+学习大礼包！英语启蒙必收！[[超便宜][超便宜][超便宜]]亲爱的家长朋友们，想给孩子最轻松的英语启蒙却无从下手？一部《小猪佩奇》就能打开新世界的大门！全网最系统的佩奇学习资源终于整理完毕，覆盖动画、音频、台词本、拓展练习等全场景，双语切换+高清画质+配套学习工具，让孩子笑着学英语！ 资源亮点速览 一、动画全覆盖 双语自由切换✅ 英语版：   1-10季全收录（1080P高清）  - 字幕随心配：1-9季纯英/中英双语字幕+第10季中文字幕  - 配套MP3音频随时磨耳朵  ✅ 国语版： 1-10季完整版+音频  （适合低龄宝宝先理解剧情，再切换英语模式）二、学霸级配套学习包：双语台词本：  1-9季中英对照台词（逐句精学）  1-6季纯英文台词（高阶强化）   1-4季带插图台词（外教趣味讲解）  [火][火][火]拓展资源大礼包：  英语课堂教案+外教讲解视频  绘本故事+儿歌动画+电影特辑   涂色卡/作业纸/练习册/单词卡   亲子互动游戏方案+学习笔记模板  （从""看动画""到""系统学习""一站式搞定！）夸 克网盘发货，虚拟产品拍下不退款，请考虑好再下单哦#小猪佩奇 #启蒙英语",1.98,湖北,0,https://www.goofish.com/item?id=953609385091&categoryId=202036301
"[火]免费送‼️【超全资源】《小猪佩奇》1-10季双语动画+ 外教讲解+学习大礼包！英语启蒙必收！[火]亲爱的家长朋友们，想给孩子最轻松的英语启蒙却无从下手？一部《小猪佩奇》就能打开新世界的大门！全网最系统的佩奇学习资源终于整理完毕，覆盖动画、音频、台词本、拓展练习等全场景，双语切换+高清画质+配套学习工具，让孩子笑着学英语！ 资源亮点速览 一、动画全覆盖 双语自由切换✅ 英语版：   1-10季全收录（1080P高清）  - 字幕随心配：1-9季纯英/中英双语字幕+第10季中文字幕  - 配套MP3音频随时磨耳朵  ✅ 国语版： 1-10季完整版+音频  （适合低龄宝宝先理解剧情，再切换英语模式）二、学霸级配套学习包：双语台词本：  1-9季中英对照台词（逐句精学）  1-6季纯英文台词（高阶强化）   1-4季带插图台词（外教趣味讲解）  [闪亮]拓展资源大礼包：  英语课堂教案+外教讲解视频  绘本故事+儿歌动画+电影特辑   涂色卡/作业纸/练习册/单词卡   亲子互动游戏方案+学习笔记模板  （从""看动画""到""系统学习""一站式搞定！）夸 克网盘发货，虚拟产品拍下不退款，请考虑好再下单哦#小猪佩奇 #启蒙英语",1.8,上海,19,https://www.goofish.com/item?id=903203349591&categoryId=126864808
"【mideer正品弥鹿拼图弥鹿儿童进阶拼图宝宝幼儿早教进阶纸 质大块拼图】认准安心姐姐，小店正品保证，发出都是全新未拆封弥鹿正品。[号外][火]产品如果有发错不要拆封，不要拆封，联系客服，拆封视为接受产品了，拆封影响二次销售。弥鹿宝宝的第一款拼图全系开团宝宝的第一款拼图系列1、忙碌小车      26.5      2、工程小车     26.53、森林动物     26.5    4、农场动物     26.55、幼幼恐龙     26.5       6、神奇海洋     26.5宝宝的第一款拼图多盒价格    25.5一盒[火][火][火]很重要产品收纳袋两款包装随机发货，不指定款式，拍下默认同意此条，详情图片和链接图片需要等旗舰店全部更新才会更新，请大家购买前仔细阅读，消息无法一一回复，统一写在链接这里，以此来退货一律拒绝。[hot]必看       拼图利润微薄，发出后中途拦截拒收还有说后续不要了要退的（前提是没有拆封，不影响二次销售），一律扣发出运费人工费，按照实际扣，所以请宝爸宝妈送礼的朋友们想好下单～一阶 简单动物               34.8一阶 几何车队               34.8一阶 我们的家[new]           34.8二阶 森林里的四季      停产二阶 亲子动物               34.8二阶 恐龙工程               34.8二阶 好好习惯[new]           34.8三阶 自然景色               34.8三阶 忙碌救援队           34.8三阶 城市交通队           34.8三阶 公主奇缘               34.8四阶 交通工具               39四阶 童话小镇               39四阶 恐龙认知               39四阶 宝宝的一天            39四阶 建筑工地               39五阶 探险奇遇               45五阶 梦幻世界               45五阶 童话世界               45五阶 热闹集市               45五阶 奇妙展览馆            4545阶段片数以实际收到为准，品牌方有更新。六阶 世界想象               49六阶 悠长假期               49七阶 海洋之歌                49七阶 太空迷航                49八阶 魔法书与童话乐园   49八阶 自然博物馆              49九阶  中国地图与世界地图   49限时特价，全新正品不议价！[火][火][火]发货必看[右][下][下][下][右]默认一盒都是气泡膜加快递袋包装，[右]如需纸箱包装请主动转纸箱费用1元（我们也会选择硬一点的纸箱，有些不得已因素旗舰店直发的纸箱不可选择，默认的），[右]但是纸箱被快递运输造成破损我们不赔付纸箱费，最近物流暴力事情频发，都是为了避免双方麻烦注意[右]轻微盒损不在售后范围内外包装破损有造成里面产品破损的请拍照联系我处理沟通，没有造成里面破损的可以正常签收，生活不易，请大家好好沟通，我们也会积极解决问题的。⭕点""我想要""→""立即购买""，可以选择不同款式购买⭕✅诚信第一，正品保证，现货！48小时内发出前，特殊情况除外，包邮非偏远！✅货品发出后无质量问题不退换，有质量问题及时联系售后！超出7天无法进行售后注意拍下默认同意发出后不退不换，真心实意做生意的，拍了就是代表需要，想要七天无理由退货直接不要来拍了，不要浪费双方扯皮时间，真的要退扣实际重量的市场价运费，前提是未拆封，还有寄回运费自理，拆封了默认不退不换。✅下单有选项直接选择拍，支持自助下单❤️留言客服款式，产品利润微薄，请考虑好以后再拍～不支持秒拍秒退",25.5,上海,7313,https://www.goofish.com/item?id=743935606544&categoryId=126862890
公司财务数据分析报表excel表格模版财务看板利润统计季度报 表①资料详情看下图(展示部分），都是精心整理的，分类清晰，内容丰富，拿来即用；②你买的不只是一份资料，更是一种省时省力的快速做事方法，帮你节省时间和精力！③需要的朋友点下方的“我想要”，然后直接下单就行，拍下发百度网盘链接。PS:沟通第一，保证售后。有任何问题都可联系我噢，会给出一个满意的答复哈。[钉子]发的是百 度 网 盘 链 接，永不失效，售出不退。[钉子]任何情况，不要申请退款，私信沟通给你处理，小店经营不易。[钉子]所有文件均获取自网络公开渠道，仅供学习和交流使用，所有版权归版权人所有，如版权方认为侵犯了您的版权，请及时联系小店删除。817316172804【购买需知】：[1]资料是电 zi 板，非纸质，需要自己打印，摆渡网盘发货，24小时自动发货。[2]欢迎大家自助下单或者点“我想要”，对话框咨询留言，看到后会第一时间回复，感谢支持！！[3]关注我，可以享粉价，且不定期会有“0元送zi料”！[钉子]亲们，拍之前先把宝贝看清楚了再下单，文档具有可复制性，售后不退！銭不多，免得产生误会不开心。[钉子]素材收集于网络，标价仅为收集整理存储费用，不代表素材本身价值，版权归原作者。仅供学习交流，不可用于商业目的，收取的费用为整理素材的辛苦费！！！,1.0,北京,0,https://www.goofish.com/item?id=902049222404&categoryId=202036301
【正版处理】不一样的卡梅拉15册手绘板 第一季注音版学校老师推荐的  拼音版本 16开的，是大开本不需要买全套，买第一季就可以！只有第一季是法国原作者手绘！剩下的几季都是国内电脑制图！卡梅拉版本特别多，刚开始看的小朋友就买这个第一季手绘注音版，最经典的一季最经典的手绘版！ 细节刻画的很棒常看常新非电脑制图的动漫版（好多小鸡表情都一样，没有太多特色）（听劝：三四岁一定买这个版本，省钱！并且小朋友不管拼音不拼音的他们只看图反正大开本，有没有拼音都不影响图画效果）卡梅拉1-15，共15本，铜版纸，16大开本（库存不多，直接拍）从3岁亲子共读看到8岁自主阅读的故事书超级好的桥梁书，孩子超爱看“下蛋，下蛋，生活中一定有比下蛋更有意思的事”正版仓库清仓，如果不是正版咱们包邮退！就是这么自信大开本，正版，接近3公斤！ 货不多了，直接拍内蒙古 甘肃  黑龙江 也包邮（新疆西藏青海海南不发货）老师一二年级老师要求买的就是这个版本我朋友就是买错了，上小学又买了咱们这个版本，多花了一分钱她的原话是：“早知道第一次就买这个拼音版大开本的卡梅拉好了，看着好过瘾啊，小孩也爱看字体大图大的，小开本比不了，还多花了一份钱”关注我，省出钱来带娃出去逛吃逛吃不香么？最最最经典的第一季适合3-8岁特别注意：[黄圆][黄圆]一手全新带塑封的正版书，非二手书处理的这批书，一律算微瑕，比如有的可能会有封面轻微划痕、磕碰等等，有的封面侧边的金条移动，不影响内页阅读，利润微薄只为清仓，咱们是正版二十一世纪出版社印刷的，最早的一批印刷规格，内容跟旗舰店在售的一摸一样，只是印刷要求不同，正版书，部分封面侧边金条移动等微瑕，不作为售后的依据，完美主义请移步二十一世纪出版社的官方旗舰店。为了打消姐妹们怕买到非正版绘本的疑虑，咱们 特地开启了描述不符包邮退！咱们是正版绘本，安全油墨，放心购买。拍下24-72小时发货11点半前拍下当天发，   下午6点统一上传单号11点半后拍下第二天发，第二天下午6点上传单号 如有特殊情况 最晚不超过72小时，法定节假日顺延利润微薄，确定好了再拍，不支持拍了退（尤其是秒拍秒退，强行tui，扣10块，清仓正品，只为走量，想好再拍，不要浪费彼此时间精力，谢谢理解，预祝生活顺利）也欢迎更多绘本馆，学校老师来集中采购。《我想去看海》《我想有颗星星》《我想有个弟弟》………………我想有个弟弟(注音版)/不一样的卡梅拉我想有颗星星(注音版)/不一样的卡梅拉咱们有很多正版优质绘本清仓，拍下后备注孩子年龄，会推荐更多好书[红旗][红旗][红旗]#童装童鞋超值惠 #春日断舍离 #儿童帽子,69.0,江苏,289,https://www.goofish.com/item?id=857146014506&categoryId=126864808
点读版包邮小猪佩奇台词本剧本字幕本粉猪大字版双语版英语版可选 [树]送视频全季动画 音频 [树]可以点读 小蝌蚪小达人[树]下单可以元英文版 双语版道林加厚纸[绿圆]送小猪佩奇外教精讲视频第一季52集全第二季53集全第三季52集全第四季52集全[hot]小猪佩奇是风靡全球的一套动画书，小朋友在迷上动画的同时，可以融入绘本，非常丝滑的从听过渡到读。妈妈开心孩子喜欢[帐篷][汽车]印刷清晰 品质保证[1],10.0,上海,0,https://www.goofish.com/item?id=882331351880&categoryId=126864107
