标题,价格(元),所在地,想要人数,商品URL
缔灵爱之默水玲珑 冰公主最新一季王冠造型 缔灵爱 缔水？（[ 流泪]俺也不知道叫啥，天天做道具，没空看番。）精灵梦叶罗丽 建模绝对数一数二的还原月中成品  cosplay用品 标价定金 店主的话:（现有全新abs材料可选，精度韧性细腻读都优于黄白黑料。本店产品也会尽量拆件，便于运输和后期修补，维护。需...,600.0,福建,2,https://www.goofish.com/item?id=948801662295&categoryId=126860286
【接单】叶罗丽精灵梦 缔灵爱之默水玲珑cos服 非专业裁缝 能接受的来  缔灵爱默默cos服 单衣服 1600 配饰是合作手工娘 衣服➕皇冠➕贝壳皇冠➕项链➕耳饰➕手链➕背部头发配饰➕前面发丝配饰 全款2200  注:两个皇冠（如只想要其中一款，全款➖135）两款通用  也可单个买（价...,1600.0,四川,9,https://www.goofish.com/item?id=922972463443&categoryId=126860285
缔灵爱之默水玲珑王默水王子cos服定制，一套四叉l，带金属配 饰，可做假发全套。双人一起订有优惠，返图1到52r不等，随机送小礼物。私人订制带精美包装礼盒和吊牌，锁边工艺，配饰齐全。需要假发或全套配件都可以接，价格会贵一些，欢迎咨询。,3050.0,河北,0,https://www.goofish.com/item?id=935418164550&categoryId=126860285
【接单】缔灵爱之默水玲珑王默cosplay服高级定制，客订已 出，衣服全部+胸前配饰+臂镯，皇冠项链没有因为我做的不好，鞋子不需要因为看不出来，全身的蕾丝亮片钻饰珍珠非常多，订过我衣服的都知道，我做工很细不会拿热熔胶粘衣服上的哈，都是缝上去的，很费时费力。目前出的图有限裙子做了一些改动设计，和人设不太...,3900.0,浙江,0,https://www.goofish.com/item?id=897384393720&categoryId=126860285
【包邮出】缔灵爱之默水玲珑系列周边 价格如下，已设置库存可直拍，多点开专拍水默立牌：65包（无）色纸：35包（无）默PP夹：16包（无）满赠扇子：18包（无）满赠纸袋：16/1包（无）水墨透卡：25/1对包，余4对。首映礼手幅：18/1包（状态不好有折痕。）首映礼coser亲签海报：75/1包，有一张状态不好有折痕，45/1包 (无) ，折痕状态见P4，整体状态需要小窗私信看对光。首映礼纸袋：20/1包（无）以上都是包邮非偏远的价格。复数一件减5r的邮，小窗开专拍。海报可以用硬纸板飞机盒打包发出，手幅会用海报筒卷起发出。tag:缔灵爱之默水玲珑 水默 王默 水玲珑,18.0,上海,13,https://www.goofish.com/item?id=962138014212&categoryId=202118809
缔灵爱之默水玲珑灵公主cos服花帝灵帝COS 定制除鞋外全有 衣服本体➕造型假发1.5m➕配饰 喜欢的可以私我 欢迎其他来图首单会比较便宜 后续会贵点出/租 350/3天邮费自理 收到一天使用一天寄回一天押金2500能出外景但是要小心使用,1810.87,重庆,3,https://www.goofish.com/item?id=962743655871&categoryId=126860285
【出】缔灵爱之默水玲珑王默cos服 王默：衣服+配饰+造型假发+鞋，鞋40码，非还原鞋，衣服尺码三围116/99/124，裁缝做的偏大，要裙撑+40（裙撑有些变形，要的话需要自己掰一下） 有拖尾但是不太方便图上就没带，衣服背后是素鸡可调节，下裙是魔术贴无弹性，看好尺码再下单...,1750.0,广西,4,https://www.goofish.com/item?id=953231552209&categoryId=126860285
预出，只出不租不换。王默缔灵爱之默水玲珑，衣服假发鞋子不拆。 衣服大概是m码的尺寸，头饰耳饰戒指都有加购大全套，鞋子38码。预计是棚内拍 如果改成室外拍会降价的。半包顺丰运费,2250.0,江苏,14,https://www.goofish.com/item?id=946936976503&categoryId=126860285
缔灵爱之默水玲珑 蹲个老板做水默头冠 仅限首单980，材料为 手办级树脂，镀银+水钻制作。部分透明打印。另外冰公主的头也快出了，可以店内搜索下  店主的话:（现有全新abs材料可选，精度韧性细腻读都优于黄白黑料。本店产品也会尽量拆件，便于运输和后期修补，维护。需要表面绝对光滑会反光那种，可以上精磨！产...,980.0,福建,3,https://www.goofish.com/item?id=953159368821&categoryId=126860286
王默缔灵爱之默水玲珑  出价2000原价3500，可联系七崽 确认是不是3500 cos服全身高定  可出/借/换  [红圆]新增925纯银缔灵爱戒指，爆闪 押金305  [红圆]鞋35  [红圆]裙长160 ！参考本人155——三围/臀围86  腰围69 胸围76  绑带款可...,2000.0,江苏,0,https://www.goofish.com/item?id=884769346668&categoryId=126860285
