标题,价格(元),所在地,想要人数,商品URL
净化车间施工队，承接净化车间，医院，工厂无尘车间  感兴趣的话点“我想要”和我私聊吧～,30.0,林***公,28,https://www.goofish.com/item?id=683355306017&categoryId=201454602
软水晶玻璃布  感兴趣的话点“我想要”和我私聊吧～,198.0,不***客,24,https://www.goofish.com/item?id=679072206007&categoryId=126854334
纯棉白坯布，可以做窗帘，红薯推荐店铺。保定市鑫峰达纺织品这一 家的，幅宽1米6，长3米，一共有6匹，一匹12，多拍便宜。,12.0,谢***8,1,https://www.goofish.com/item?id=946959988587&categoryId=201456901
实心玻璃棒 耐热家用工业导流玻棒实验室烧杯玻璃搅拌棒  10个5mm❌250mm 10个6mm❌250mm 9个6mm❌,20.0,C***i,0,https://www.goofish.com/item?id=949184101407&categoryId=201450604
攀岩鞋专用室内初学新手攀爬鞋男孩女孩入门款室外抱石攀岩鞋儿童  39码,90.0,猪***皮,0,https://www.goofish.com/item?id=935233155529&categoryId=126866176
不锈钢大口径真空袋防油分装神器带支架加油漏斗食品打包神器  全新未使用，带支架设计，大口径漏斗，适合真空袋分装，食品打包,164.73,臻***香,0,https://www.goofish.com/item?id=957680821082&categoryId=201449703
气动喷雾器  感兴趣的话点“我想要”和我私聊吧～,20.0,M***M,125,https://www.goofish.com/item?id=638734391991&categoryId=126864769
磷酸二氢钾一袋500克，一箱40斤，410元整箱包邮  零售10元一袋，要五袋包邮 磷酸二氢钾作用 一、促进养分吸收，磷,10.0,有***晶,7,https://www.goofish.com/item?id=703798071003&categoryId=126860554
闲置一批3M防护眼镜，货号：SF212AF，防雾，防冲击眼镜 ，灰色镜片，防雾涂层，全新带包装，库存特价处理，10元/副,10.0,s***o,25,https://www.goofish.com/item?id=930545908313&categoryId=126864457
工厂直营伞形铁飞机，吊顶专用膨胀螺丝夹，适用于水泥空心楼板、 预制板、空心砖墙。M5规格，做工精细，材质结实耐用。一盒1,18.0,最***@,0,https://www.goofish.com/item?id=943632815438&categoryId=126864372
姬松茸干货云南新货松茸特产巴西菇香菇虫草煲汤炒菜菌菇干货菜类 500克包邮,23.0,药***妹,3,https://www.goofish.com/item?id=892463149787&categoryId=201461516
云南自然风干佛手 干果三年陈化！形态自然 皮壳金黄 带原枝  果香浓郁！每个价格10-30不等 具体来图询价 可以用来供,10.0,晨***创,1,https://www.goofish.com/item?id=948280658959&categoryId=201461011
成都弱电施工、综合布线 、光纤熔接、监控安装 、弱电智能化施 工、 办公室公司监控 家庭办公室公司网络机房整线 机房移机,200.0,h***l,23,https://www.goofish.com/item?id=705080380958&categoryId=201451311
KA25T70F开关型天馈信号防雷器，频率0-2.5GHz， TNC头，公转母接头，全新的未安装过， 适用于同轴通信信号,34.95,蜜***度,0,https://www.goofish.com/item?id=943303994397&categoryId=126864192
冻干鹌鹑 冻干满籽多春鱼  感兴趣的话点“我想要”和我私聊吧～,12.0,小***食,15,https://www.goofish.com/item?id=949370317400&categoryId=126912180
闲置封窗玻璃两块儿  大的：113cm*163cm 小的：54cm*56cm,300.0,云***球,0,https://www.goofish.com/item?id=895807137395&categoryId=126856975
两大卷像pe磨砂硬片塑料卷材。不知道干啥用的，非常重！挺厚的 。玻璃贴纸片,580.0,c***6,0,https://www.goofish.com/item?id=928453990362&categoryId=201454301
【k姐推荐】海乡集青虾滑新鲜手打虾滑大颗粒冷冻虾滑虾丸  1 00g*7袋+50g*7袋 一共1050g  直播间代拍，,79.0,大***铺,2,https://www.goofish.com/item?id=778478816503&categoryId=201945903
7mm薰衣草紫水晶手链，晶体透透的，18元包邮秒！  编号：71-300,18.0,矿***旅,1,https://www.goofish.com/item?id=770652945080&categoryId=126862544
老门蘑菇钉7根39.9元包邮  冒头直径是3.1厘米左右，杆长度是9-13厘米，杆厚度8毫米 冒头高度1.2厘米， 手工,39.9,批***具,48,https://www.goofish.com/item?id=945436887363&categoryId=126866830
