标题,价格(元),所在地,想要人数,商品URL
拆机二手日本NKK船型开关，型号：JW-M21，规格10A2 50VAC，单个20元不包邮。@506,20.0,二***啦,2,https://www.goofish.com/item?id=941506875238&categoryId=126856556
帕美拍照打卡！！！  低成本体验帕美的帅哥美女们看过来！ 几百块即可体验拍照 随便坐 随便拍照 带你兜几圈也没问题  主,199.99,爱***骨,0,https://www.goofish.com/item?id=901251598731&categoryId=201455215
米其林数字胎压计 型号4317  米其林正品胎压检测设备，大屏带背光，数字显示，读数清晰，测量精准，体积小巧，便于携带，,80.0,g***y,0,https://www.goofish.com/item?id=861026759351&categoryId=126860690
法拉利F1车队2025新款红色T恤，背后印有HP、Shell 、UniCredit等赞助商标志，经典赛车风格。尺码齐全S,118.0,紫***生,0,https://www.goofish.com/item?id=930778792370&categoryId=126866101
"[比心]爆款返场！礼盒款！盏如初早餐营养燕窝粥8盒，38元8 罐
两个口味各四盒：水牛奶藜麦味*4盒➕牛初乳山药百合*4",38.0,很***9,168,https://www.goofish.com/item?id=960685264619&categoryId=201457926
42.0100.1407.5 福尼斯焊机绝缘环 单个价  感兴趣的话点“我想要”和我私聊吧～,45.0,库***件,9,https://www.goofish.com/item?id=761069250689&categoryId=201459003
7年的库拉索芦荟连盆一起10元一盆，3盆起卖。可以除甲醛，可 以吃，可以擦脸，蚊子咬了也可以擦。养太多了处理一些，不包邮,10.0,家***夫,7,https://www.goofish.com/item?id=821834953437&categoryId=201452416
日本回流纱线剪，鱼线剪，日本可乐品牌，锻打贴钢工艺，全长10 .5厘米刃长4厘米，锋利放心使用具体细节看视频,35.0,日***具,6,https://www.goofish.com/item?id=792891643411&categoryId=126856688
"全新未拆封未使用发牌机最新款性价比超高掼蛋发牌机专用掼蛋扑克 发牌机，支持常规四大玩法
功能 一键启动可发掼蛋 斗地主三",129.0,摸***社,58,https://www.goofish.com/item?id=926946726403&categoryId=126860344
哈量一级大八块量块，全新未用，品质优秀，适合精密测量。有需要 的朋友可以私聊我哦～感兴趣的话点“我想要”和我聊聊吧！,1888.0,宏***械,3,https://www.goofish.com/item?id=924237158853&categoryId=126864492
装修剩下的6平方玉蝶单股需要联系  感兴趣的话点“我想要”和我私聊吧～,380.0,t***k,1,https://www.goofish.com/item?id=948306757260&categoryId=126858375
KONSUN国际牌听诊器，蓝黑色，全新未拆封。专业医用级别， 三音孔设计，无乳胶材质。适合医疗教学使用，上课用过一次，基,10.0,虹***姜,58,https://www.goofish.com/item?id=931744466786&categoryId=126854482
WoSporT沃斯柏 狂野面具-MA118   【1】名称：狂野面具 【2】货号：MA118 【3】颜色：黑色BK，泥色,68.0,W***柏,0,https://www.goofish.com/item?id=806890384061&categoryId=126858587
管通   宝来利来管通 疏通管道   水线清理剂  养殖场水线清理 管线通,6.0,萝***西,10,https://www.goofish.com/item?id=645189584913&categoryId=126858254
鞋刷子  感兴趣的话点“我想要”和我私聊吧～,2.0,E***6,1,https://www.goofish.com/item?id=955108252253&categoryId=126858779
库存全新，汽车整形，修鞋锤子。标的是锤头的价格，锤子总长15 公分左右，锤孔1.2×2厘米。锤头重300克左右。要把外加,16.0,沂***杓,406,https://www.goofish.com/item?id=657415533139&categoryId=126864511
《台灣豐山-蔡志阳推薦熊讚黃晶果靠接苗》  台灣江先生所開發的熊讚黃晶果，喜歡吃黃晶果的朋友不要錯過。 本能會推薦的原因,198.0,台***區,81,https://www.goofish.com/item?id=656947026973&categoryId=126912202
拾音器监控专用，项目剩余。  感兴趣的话点“我想要”和我私聊吧～,10.0,一***鱼,6,https://www.goofish.com/item?id=894015786339&categoryId=126856404
急转，没有立柱，只有铝合金挡水板 长140 高40   现货铝合金防汛挡水板，防汛板不锈钢可定制，防汛板挡鼠板厂家走量，,148.0,芹***孩,420,https://www.goofish.com/item?id=830024154126&categoryId=126858045
注册电气工程师自制视频笔记和学习资料。电子版，10元。是电子 文件，需要什么规范手册，自己的工作还得用，但是可以单聊。,10.0,上***8,35,https://www.goofish.com/item?id=721519481951&categoryId=201461411
