标题,价格(元),所在地,想要人数,商品URL
RK品牌键盘原装接收器.（注意：接收器不是所有型号都通用，拍 之前请联系我确认一下是不是可以使用！！！）,17.9,中***人,20,https://www.goofish.com/item?id=942545581274&categoryId=126856531
江小白3瓶   果立方蜜桃味无 剩下三个口味都有  27年6月到期,21.0,z***h,26,https://www.goofish.com/item?id=935617351657&categoryId=201454419
布偶猫品相鉴定估价  看几只拍几次 标价为单只/次 可全程陪选猫 不推销  本人专业布偶猫繁育 新手防宰帮看猫估价及饲养,1.88,小***猫,188,https://www.goofish.com/item?id=849777068929&categoryId=201449613
全新镀锌管，直径25毫米，1.0厚。2.75米长。7元一条。 八十条左右。全部要可以优惠点。不包邮。,7.0,物***值,15,https://www.goofish.com/item?id=950650131201&categoryId=126858123
格力原装正品扎带，非市场货，质量超好用，结实，过墙不易破。4 元一个不包邮，5个一公斤。最好12个一发，好打包，运费最优,4.0,会***鱼,6,https://www.goofish.com/item?id=720751563463&categoryId=126856188
德力西 CD882 装修买多了，闲置出，原价70，现20出。 超薄钢化玻璃墙壁暗装双控开关，雪峰白色，几乎全新。适合多控,12.0,柏***籽,0,https://www.goofish.com/item?id=856249158457&categoryId=126856424
"【二手】红健百特联名D3远距离海杆欧鲤钓报警器欧式鲤鱼新型无线 



红健百特联名款报警器D3款
空旷环境，接受距离3",78.0,虾***外,578,https://www.goofish.com/item?id=942104589915&categoryId=126856685
1010斜发光柜子灯，橱柜灯槽，斜发光灯槽 含光源  感兴趣的话点“我想要”和我私聊吧～,15.0,品***理,2,https://www.goofish.com/item?id=923613710095&categoryId=126858388
高端切削粉 防锈 润滑 经济实惠 1包足足2公斤 16元一包    一箱15包更划算220元一箱,16.0,小***大,5,https://www.goofish.com/item?id=936360102906&categoryId=201458402
临期零食特价按斤称10.5一斤，18.5两斤，鸭脖/泡翅/烤 肠/辣条/锅巴/薯片/饼干等，贤哥，亿滋，丽芝士，妙滋味，,10.5,旁***哥,94,https://www.goofish.com/item?id=923415717425&categoryId=201451729
美乐家玻璃清洁剂26-3月有效期 最后3瓶   感兴趣的话点“我想要”和我私聊吧～,29.8,中***馆,4,https://www.goofish.com/item?id=919216504434&categoryId=126858251
正河源拉钉全新BT40-45度-G。  感兴趣的话点“我想要”和我私聊吧～,18.0,别***恙,7,https://www.goofish.com/item?id=843937940108&categoryId=126864364
山货黄精，新鲜生黄精，多花黄精。从山里挖出来的。非常好非常新 鲜。大小都有，发货都是挑选好的多年多节的发货。先称重在装箱,16.0,山***精,21,https://www.goofish.com/item?id=902290804861&categoryId=201450226
金灶 TP-200大容量飘逸杯耐热玻璃茶具茶壶过滤泡茶壶冲茶 器家用 容量：1000ml 全新未拆封，正品保证,42.0,茶***韵,46,https://www.goofish.com/item?id=675994693051&categoryId=126854594
"出希赛银行从业电子版网课，有刘玉婷b站后续部分 
感兴趣的话点“我想要”和我私聊吧～",3.0,S***r,2,https://www.goofish.com/item?id=950684534980&categoryId=201460910
全新自动感应小便斗挂墙式家用男士小便池嵌入式小便器入墙式尿斗 防臭自动感应小便器挂墙式小便斗男士壁挂小便池嵌入式小便池防,240.0,好***制,19,https://www.goofish.com/item?id=822091235755&categoryId=126858511
"2025年黄山毛峰新茶，源自核心产区，手工精制，品质上乘,口 粮茶精选，想要的私聊价格可以谈 感兴趣的话点“我想要”和我",158.0,人***年,0,https://www.goofish.com/item?id=953214285287&categoryId=126854655
多巴胺小粽子挂件包  这是小款，大款手机包也有 都是全身加鱼线 价格是订金哦,200.0,泰***子,1,https://www.goofish.com/item?id=933668955735&categoryId=126858544
全自动加厚43厘米内置泵双人加高床，特价处理！尺寸：200* 150*43厘米。,169.0,喜***帅,259,https://www.goofish.com/item?id=897386139395&categoryId=126920012
头层牛皮腰带铁丝扣   尺寸110-150 宽度3.2cm  3.5cm,26.9,世***具,194,https://www.goofish.com/item?id=710622444799&categoryId=126918173
