标题,价格(元),所在地,想要人数,商品URL
闲置德国回流双立人指甲刀一个，德行正品。仅用十几次，刀头锋利 ，可旋转。含指甲锉。体验过后决定出手。不议价不包邮，运费自,127.0,y***去,0,https://www.goofish.com/item?id=961778150114&categoryId=126860182
八马茶叶2025年绿茶 茗作800明前特级洞庭碧螺春茶叶礼盒 装 高端礼盒装208克 带礼盒，全新未拆封，可送人。,580.0,家***呀,800,https://www.goofish.com/item?id=930711545969&categoryId=126854654
【大量现货】柯惠PB840呼吸机流量传感器Q3配件  低价清仓，批量拿货可议价，欢迎咨询！   ⚠️ 注意：不保证功能正,200.0,毛***店,9,https://www.goofish.com/item?id=962092660464&categoryId=201456829
（出）月猫GD水滴印台日本Tsukineko进口多用纸用橡皮 章艺术印泥Versa Magic  全部12/1 部分没用,12.0,我***快,5,https://www.goofish.com/item?id=957984980282&categoryId=126864082
已上岸，想接好运的宝子们来。一盒没开封（10条），一盒开封了 （7条）里面也是独立包装，送尿杯10个，有生成日期与保质期,14.0,喝***牙,1,https://www.goofish.com/item?id=952723253723&categoryId=126854465
三菱电机浴霸线控器  三菱暖风机线控器 三干王 日本本土机型 线控器   所有机型通用   最新款,320.0,百***热,32,https://www.goofish.com/item?id=760974878871&categoryId=126856432
文心 桃核 龙 希今 王开明 田洪波 素白 贾俊忠 王蒙 文心的桃核作品 盘龙,9999.0,般***藏,9,https://www.goofish.com/item?id=644053721570&categoryId=126862210
川岛屋全新厨房玻璃量杯，500ml，带刻度，适合烘焙和日常使 用。耐高温，不怕摔，红色刻度清晰易读。尺寸是11.7cm高,25.0,禅***深,28,https://www.goofish.com/item?id=910157118251&categoryId=201459601
原装正品网屏screen5055 照排机出片机菲林机发排卡m ini SCSI接口 1. 使用时长：原装正品网屏5055,248.0,巨***技,0,https://www.goofish.com/item?id=44486317836&categoryId=126856540
i黑密生发头盔出租！租金一月一付！免押！  早用早保养。120颗160颗200颗灯珠都有，低能量激光生发帽，全新库存，一,200.0,小***记,3000,https://www.goofish.com/item?id=957504872624&categoryId=201459420
2块一条货架标签槽！货架物料卡！标签条！标签卡！超市货架标签 槽！超市货架标签卡槽！很新基本没用过，单条长度1.2米，数,2.0,福***店,1,https://www.goofish.com/item?id=842831138788&categoryId=126862037
索尼磁带随身听外接5盒电池盒，有1.5V电源接口。原装二手， 正常使用痕迹，电池仓干净无锈。 如实描述，正常拍照，售出不,75.0,芬***7,2,https://www.goofish.com/item?id=857917861074&categoryId=126856579
LUBE润滑油泵200V ：全新  （AMZIII-L-18P）,2488.0,数***修,45,https://www.goofish.com/item?id=775134038415&categoryId=126864641
得力计数跳绳，一个全新，一个用过几次，8成新。2个10元带走  感兴趣的话点“我想要”和我私聊吧～,10.0,牡***鹉,20,https://www.goofish.com/item?id=840757939269&categoryId=126862748
定制学习计划，专注薄弱问题，提升效率。需要的小伙伴可以联系我 ，价格好商量～,15.0,美***哥,0,https://www.goofish.com/item?id=955314188252&categoryId=126864054
实体店铺不干了，勾线笔成本价清掉，百分百纯动物毛的作品级勾线 笔，毛头是76岁做勾线笔大师周老师傅纯手工制作，紫毫加羊毫,19.8,做***笔,97,https://www.goofish.com/item?id=962846267034&categoryId=126864025
村田大吸嘴梳针  感兴趣的话点“我想要”和我私聊吧～,100.0,马***志,0,https://www.goofish.com/item?id=752511021265&categoryId=201452425
豪华型操作台  感兴趣的话点“我想要”和我私聊吧～,1300.0,沙***络,1,https://www.goofish.com/item?id=854937918751&categoryId=126862983
4英寸高精度平口钳。平口钳的尺寸是：长：172，宽：100， 高：65，钳口高：36，钳口最大夹90 感兴趣的话点“我想,800.0,好***1,0,https://www.goofish.com/item?id=648826793451&categoryId=201457705
预售野生新鲜小竹笋，美味可口，炒腊肉嘎嘎香，五斤装带壳保鲜精 挑细选发精品。 老家深山这边的野生小竹笋，生长成熟季节短短,6.0,瑞***螺,8,https://www.goofish.com/item?id=714189471548&categoryId=126916203
