标题,价格(元),所在地,想要人数,商品URL
大九酿造 流体果泥柏林酸小麦2瓶 国产高分果味精酿 果泥啤酒   规格：330ml*2瓶装,79.9,优***仓,89,https://www.goofish.com/item?id=745321840878&categoryId=201452723
农村老面粉，白面 石磨面粉2025年新麦子4元一斤，五斤包邮  村里人种的麦子，家里有老石头磨，面粉现磨现，不含添加剂，,4.0,听***@,0,https://www.goofish.com/item?id=951955281222&categoryId=201946002
清风 厨房纸巾  感兴趣的话点“我想要”和我私聊吧～,27.0,大***没,1,https://www.goofish.com/item?id=899689680507&categoryId=126858349
赵师傅呋虫胺杀虫剂苍蝇药蚂蚁药蟑螂药灭臭虫灭跳蚤室内户外无毒 ，可溶粉剂 呋虫咹 宠物跳蚤药家用床上蟑螂蚂蚁药喷雾杀虫剂,6.0,四***品,47,https://www.goofish.com/item?id=724949480532&categoryId=126860560
套圈神器 前几排 需要联系  感兴趣的话点“我想要”和我私聊吧～,3.3,套***发,1,https://www.goofish.com/item?id=951008713589&categoryId=126862750
丰田RAV4 卡罗拉进口超纤皮  进口超纤皮丰田RAV4 卡 罗拉 威弛进口超纤皮  进口超纤皮 进口拉 丰田RAV4 ,168.0,汽***装,20,https://www.goofish.com/item?id=566277437615&categoryId=126860906
洗护瓶，只打开包装了，新的没用过  感兴趣的话点“我想要”和我私聊吧～,5.0,东***花,5,https://www.goofish.com/item?id=876794470970&categoryId=126858467
"新茶银奖碧潭飘雪茉莉花茶茶叶2025银奖碧潭飘雪茉莉花茶礼盒 250g盒茶叶礼盒伴手礼送礼

★★★★★品牌店直营，北京",700.0,每***茶,6,https://www.goofish.com/item?id=956105355924&categoryId=126854650
龙串蝴蝶风筝96个长度约130米。9成新。闲置便宜处理  感兴趣的话点“我想要”和我私聊吧～,150.0,天***头,5,https://www.goofish.com/item?id=935076465067&categoryId=126858535
九号电动自行车小喇叭  适用于C40，C60，C80，C30，B80，B30C，B40，B90，B110P，C40Lit,22.9,九***销,8,https://www.goofish.com/item?id=891106927830&categoryId=126856221
自家露天蓝莓，无任何膨大剂，农药残留，每天现摘现发，质量绝对 保证，绝对新鲜，中果90五斤包邮！,15.0,家***园,7,https://www.goofish.com/item?id=936449524862&categoryId=126916210
科颜氏面膜刷，带原装收纳袋，木质手柄，白色刷头，成色很新，适 合敷面膜使用，家里还有备用的所以出，5元自提,5.0,爱***菂,5,https://www.goofish.com/item?id=950035079638&categoryId=126860161
双面绒0.9  感兴趣的话点“我想要”和我私聊吧～,10.0,德***麻,5,https://www.goofish.com/item?id=945598980601&categoryId=201453203
高密度水泥压力纤维板/钢结构承重板/楼板基层板/硅酸钙板  A级防火防水防潮防霉防虫 8-10-12-15-20-24-,46.6,装***料,53,https://www.goofish.com/item?id=684761534752&categoryId=126856992
防腐木大型水车，用来景区，民宿，公园，是一种美丽的风景线。欢 迎来厂咨询订购，价格多多优惠。,20.0,四***家,5,https://www.goofish.com/item?id=742736399325&categoryId=126862007
铁艺月亮花架摆件 99新 放着占位置  自提 盛惠园,66.0,喜***喜,0,https://www.goofish.com/item?id=925261214073&categoryId=126858234
"改卡，开孔装卡槽 
（可来我淘宝下单，可淘宝下单）
14.15pro美版改双卡服务，我们追求质量
14、14plus  ",70.0,显***1,121,https://www.goofish.com/item?id=894219781735&categoryId=126854173
国际电工人体感应地脚灯，天使之眼，86型嵌入式设计，适合楼梯 、房间、酒店等地。采用钢化玻璃面板，外观简约大气。人来灯亮,6.99,国***工,15,https://www.goofish.com/item?id=898449820949&categoryId=126858395
14天AI精准获客班  0基础小白也能快速获取精准人群,2.39,大***军,2,https://www.goofish.com/item?id=954541150044&categoryId=202151841
安踏最新款专业跆拳道训练比赛鞋，中国红，白金，尺码全，顺丰包 邮，全新正品假一罚十，非假不退 ！原价600元，帅出天际！,485.0,飞***备,600,https://www.goofish.com/item?id=850368483738&categoryId=126866441
