标题,价格(元),所在地,想要人数,商品URL
PETZL攀索 GRILLON L052AA 2米3米4米5 米10米15米牛尾调节器攀岩保护挽索可调节        ,1079.0,高***备,23,https://www.goofish.com/item?id=656028609817&categoryId=126856911
全新专柜正品Hape机械多米诺巨臂套婴幼儿童宝宝益智力骨牌积 木制质玩具男女孩  E1056机械多米诺巨臂套#Hape ,118.0,儿***卖,498,https://www.goofish.com/item?id=957403619741&categoryId=126912073
全新惠普原装109A感光鼓，适用于NS1020/1005系列 激光打印机。原装拆机，未使用过，成色完好。支持同城自提，外,140.0,某***泪,150,https://www.goofish.com/item?id=923495296152&categoryId=126854305
各种合金顶尖莫式 2号 3号 4号 5号 8-80范围 半缺 顶尖,50.0,卖***头,4,https://www.goofish.com/item?id=820644911562&categoryId=201455006
9.8成新10000米pe管355-315-280规格国标给 水管，12米/条 适合自来水管输送、矿区排泥排水、清淤排泥,80.0,广***械,0,https://www.goofish.com/item?id=795131164665&categoryId=126858119
手写Ai 视频+代码+资料全套    在大语言模型的前沿领域探索？这套精心整合的学习资源，是你提升技能的理想之选。   ,10.9,兴***享,6,https://www.goofish.com/item?id=926228729172&categoryId=202158122
2020年5月，12方洒水车，审车到2025年5月，国五东风 多利卡，行驶8千公里，玉柴发动机发动机160马力，法士特6,6.5,洒***姐,4,https://www.goofish.com/item?id=853995523282&categoryId=201458003
工厂不干了处理一台10kg实验型乳化机，上海诚兴出品，附带打 印机 油循环电加热，基本未用，现在用不到了，低价处理，,168.0,h***人,0,https://www.goofish.com/item?id=961545502975&categoryId=201454509
床头硬包背景墙施工  感兴趣的话点“我想要”和我私聊吧～,170.0,闽***圆,9,https://www.goofish.com/item?id=728840783678&categoryId=126858524
正八经的烟台栖霞红富士苹果   婆婆家自家种植的！非贩子收购！  39元发5斤净果包邮到家！发80果子左右！  可以直接,39.9,烟***霞,7,https://www.goofish.com/item?id=871877390968&categoryId=126916214
龟星人_高钙上浮料水龟半水龟增体发色通用龟粮  所有规格均有货，厂家直发，送冰箱贴,22.0,三***丝,1,https://www.goofish.com/item?id=899649949386&categoryId=126854810
银鹰牌土豆脱皮机，型号TP450，三相电，电压380V，额定 功率1.1kW。机器成色几乎全新，功能完好无维修。2020,511.0,润***备,6,https://www.goofish.com/item?id=900269760790&categoryId=126854929
贝亲三代奶瓶手柄两个  160ml/240ml奶瓶适用,3.0,卓***白,5,https://www.goofish.com/item?id=940251409752&categoryId=126864930
油田内部配发正品夏季防静电工作服裤子多口袋  [红圆]红色裤子5口袋，炼化蓝裤子3口袋。  [红圆]抗刮耐磨，防静电，超,28.0,油***保,23,https://www.goofish.com/item?id=814782475035&categoryId=126858709
寺冈SM110/ 90/ 80条码秤装纸盒85一套，卡纸轴3 0一个，收纸轴45一个。超值特惠，欢迎选购！,30.0,小***件,3,https://www.goofish.com/item?id=946911904268&categoryId=126854363
五羊新大本田摩托车专用CB400X CB400 F火花塞CM 300火嘴原装正品,50.0,桐***王,1,https://www.goofish.com/item?id=907514812196&categoryId=126860423
蓝宝石，阳光玫瑰葡萄苗，一万颗。  感兴趣的话点“我想要”和我私聊吧～,13.99,甜***苗,60,https://www.goofish.com/item?id=670582720847&categoryId=126918205
Hivi/惠威舞台功放尾板，带有明显使用痕迹。接卡农插座，适 合专业舞台使用。成色如图，功能完好无维修。  出手原因：闲,28.0,唯***响,0,https://www.goofish.com/item?id=895976524947&categoryId=126864980
MJJC-PRO V3.0/2.0 PA泡沫壶  MJJC- S V3.0 PA泡沫壶,188.0,雾***鸣,47,https://www.goofish.com/item?id=874022579068&categoryId=126860633
电热陶瓷支架 十字吹热风加热芯干烧220v  感兴趣的话点“我想要”和我私聊吧～,37.0,戴***8,4,https://www.goofish.com/item?id=762920878913&categoryId=126864263
