标题,价格(元),所在地,想要人数,商品URL
深山新鲜巴戟天，鸡肠薯，需要的联系，不包邮。  感兴趣的话点“我想要”和我私聊吧～,28.0,淘***宝,278,https://www.goofish.com/item?id=585459330127&categoryId=201451324
"放哈敦煌蜜语杏干100克，塞上驼铃沙枣100克，飞将珍果杏仁 100克，甄选敦煌李广杏，原生态古法工艺
满50元包邮，无",9.9,放***邮,200,https://www.goofish.com/item?id=963997042152&categoryId=201454121
98抗洪 彩票，一套20张，低价80出了 一共有两套  建设 奖券 感兴趣的话给我留言吧！,80.0,老***友,4,https://www.goofish.com/item?id=612587119461&categoryId=126860374
缅甸花梨木茶盒  尺寸：23.5-21.5-5 生磨，无漆无蜡,168.0,红***发,5,https://www.goofish.com/item?id=725055850745&categoryId=126862398
宝骏510原装多功能方向盘，带真皮包裹，带音量调节和巡航控制 按键。拆车件，成色如图，功能完好。适配宝骏510车型，安装,228.0,五***件,0,https://www.goofish.com/item?id=954029670845&categoryId=126916093
璐璐凯帝行李箱女24寸新款男士结实耐用26拉杆箱20寸旅行密    型号；c520 行李箱   不同款式尺寸不同价  全,259.0,品***店,499,https://www.goofish.com/item?id=884465851439&categoryId=126862775
梅州梅干菜客家三蒸三晒无盐淡干梅菜干梅菜扣肉  自家纯手工做的梅干菜，三蒸三晒做的，无盐无沙，十分香，去老头且用牛皮袋装,20.0,百***产,1,https://www.goofish.com/item?id=892674104999&categoryId=201944403
"黑绷带鉴定服务 
服务内容：
 
1、赫莲娜黑绷带鉴定
2、1.99元每次鉴定费
 
发图要求：
瓶子图片，瓶底，膏体，",1.99,美***黑,0,https://www.goofish.com/item?id=921166195553&categoryId=202037501
夏威夷果，还剩几盒了，需要的滴滴，一盒 2 包，30 克一包 ，保质期到 10.14 号 感兴趣的话点“我想要”和我私聊,6.0,我***爸,0,https://www.goofish.com/item?id=955378473829&categoryId=201461320
布鲁克S25民谣吉他，41寸带缺角，原声款，配原装包。买了5 个月，几乎全新，功能完好。原声款1590，电箱款1790，,670.0,伯***笋,2,https://www.goofish.com/item?id=893781042650&categoryId=126858857
【清仓大甩卖】吧台收银台公司前台接待台小型店铺收银台美容院理 发店烤漆咨询台 吧台收银台公司前台接待台小型店铺收银台美容,318.0,欧***具,999,https://www.goofish.com/item?id=649940672758&categoryId=126860958
BOLS LYCHEE波士荔枝力娇酒700ml  感兴趣的话点“我想要”和我私聊吧～,68.0,深***馆,0,https://www.goofish.com/item?id=799920191843&categoryId=201457016
买多了，闲置  感兴趣的话点“我想要”和我私聊吧～,50.0,苏***香,0,https://www.goofish.com/item?id=951817998832&categoryId=201456119
艾默生双鉴探测器  ED690EMR2   议价商品，欢迎咨询 ,555.0,李***件,0,https://www.goofish.com/item?id=936554723148&categoryId=126856389
琥珀核桃仁新货蜂蜜芝麻味坚果小孩孕妇零食核桃仁批发焦糖芝麻桃 仁罐装 【品名】琥珀核桃仁 【生产日期】2023-5随时更,16.8,柒***站,29,https://www.goofish.com/item?id=729391638411&categoryId=201461319
"全新正品彪马足球裁判挑边器，日本原装进口，无任何破损！适合足 球裁判使用，品质保证。现货不多，喜欢的朋友赶快下单！
分类",56.0,足***备,10,https://www.goofish.com/item?id=949278367622&categoryId=126866648
本田锋范前嘴，车壳，车门，前幅，后福，车顶  感兴趣的话点“我想要”和我私聊吧～,50.0,五***彪,0,https://www.goofish.com/item?id=923998216915&categoryId=126860805
LV carryall 鲨鱼灰配色 自带高级感 谁看了不迷糊  满满的未来科技感~ 鲨鱼灰的颜色非常的时尚科技和未来~ ,325.0,甜***O,2,https://www.goofish.com/item?id=836444818361&categoryId=126864798
皂角    纯野生无熏硫，都是山里几十上百年的大树，质优价廉 ，需要的直接拍  非偏远地区包邮,9.9,桃***姐,26,https://www.goofish.com/item?id=860045497495&categoryId=201458416
高级感花瓶摆件玻璃水培吊钟雪柳马醉木水养插花鲜花客厅落地装饰  感兴趣的话点“我想要”和我私聊吧～,26.0,g***5,0,https://www.goofish.com/item?id=849397920519&categoryId=126920108
