标题,价格(元),所在地,想要人数,商品URL
邂逅她的少女时代 收藏集 典藏卡 开播大吉 编号16   6r 董璀璨 斜挎包 编号8  3r,3.0,江苏,0,https://www.goofish.com/item?id=816356255678&categoryId=126860292
五种不同收藏集，邂逅她的少女时代收藏集，典藏，特普，普卡，动 卡，声卡，前十，前百，1号 孙无力系列插画收藏集，隐藏，特普，普卡，前百，前排，乱码 小鬼异录收藏集，特普，普卡，前十，前排，前百 美食萨卡班收藏集，前十，动卡，声卡，普卡，前百 blg收藏集无畏契约,5.99,北京,9,https://www.goofish.com/item?id=798831107450&categoryId=201459411
前百，邂逅她的少女时代收藏集 神秘契约 严锦玉时尚辣妈  10r 日常服装 2号   10r 日常服装 37号  2r 服务员 31号  2r  开播大吉 5号  5r 开播大吉 52号 3r 斜挎包24号 3r  下单前请先私信咨询,3.0,浙江,0,https://www.goofish.com/item?id=798829615615&categoryId=201459411
出邂逅她的少女时代收藏集 普卡小隐 普卡3r一张 小隐35r 编号3,3.0,北京,2,https://www.goofish.com/item?id=798898695402&categoryId=126860292
邂逅她的少女时代收藏集普卡 感兴趣的话点“我想要”和我私聊吧～,1.0,陕西,0,https://www.goofish.com/item?id=799280483641&categoryId=201459411
邂逅她的少女时代收藏集 魏丞隽 高尔夫球服19号 限定-开播大吉 10号 打开购买就可以自助选择卡片下单 可直拍备注你的名字和uid 售出不退换 当天发货 编号见图 能拍就是有货,4.0,天津,0,https://www.goofish.com/item?id=799946641961&categoryId=126860292
2003日影《少女杀手阿墨》系列2部全~超清1080P日语中 字（外挂字幕版）导演: 北村龙平编剧: 桐山勋 / 水岛力也主演: 上户彩 / 小栗旬 / 原田芳雄 / 成宫宽贵 / 小桥贤儿/ 石垣佑磨 / 栗山千明 /  远藤宪一类型: 剧情 / 动作 / 惊悚 / 奇幻 / 冒险上映日期: 2003-05-10片长: 135分钟  112分钟又名: 百人斩少女 / 安云 / Azumi大小: 合集19.85G少女杀手阿墨的剧情简介 · · · · · ·　　日本战国时期，各地诸侯征伐不断，百姓妻离子散，苦不堪言。直到德川幕府建立，国内才稍事安定。然而仍有诸侯野心不死，蠢蠢欲动，和平的表象下暗潮汹涌。战乱中痛失爱子的小幡月斋（原田芳雄 饰）在南光坊天海大师（佐藤慶 饰）的指点下成立杀手集团，旨在刺杀那些图谋造反的诸侯大名。失去父母的少女阿墨（上戸彩 饰）和九名男孩被月斋收养，并接受杀手训练。他们不仅需要拥有精湛绝伦的武艺，还要抛弃一切情感和价值观。经过数年的磨练，阿莫和幸存的朋友出师，开始他们充满鲜血和厮杀的杀手之路……　　本片荣获2004年日本电影金像奖年度新人奖（上戸彩）和最受欢迎演员奖、2004年波士顿独立电影节评委会特别奖、2004年费城电影节观众奖。少女杀手阿墨2的剧情简介 · · · · · ·　　日本战国时代末期，各路诸侯连年征伐，战火不断，致令饿殍遍野，生灵涂炭。一代霸主丰臣秀吉死后，旧有的丰臣家族和德川家康发动了夺取天下的战争。为了有效摧毁对手，德川下令组建了武功高桥的杀手集团，在这些人中间，唯一的少女阿墨（上户彩 饰）正是其中的佼佼者。继加藤正清、浅野长政之后，真田昌幸（平干二朗 饰）便是德川家族天下制霸的最后阻碍，而此番阿墨也将其作为最后的刺杀目标。无休止的杀戮，让这个没有笑容的少女早已厌倦，当在一次的争斗开始时，她却邂逅了那个与死去恋人长得一模一样的敌军武士银角（小栗旬 饰）。　　阿墨的命运由此变得扑朔迷离……,3.5,湖北,0,https://www.goofish.com/item?id=967084956873&categoryId=126864806
"《在那开满花的山丘,我想见到你》  [单+双页PDF] 作者：汐见夏卫 册数：全2卷【完本】 大小：0.53G 格式: PDF单页 +PDF双页   类型：时代剧、历史 百度☁发货  漫画简介：现代孤独少女加纳百合，对周遭世界日益不满。一次意外，她穿越到战时日本，邂逅正直温柔的特攻队员佐久...",2.99,山东,1,https://www.goofish.com/item?id=872201998992&categoryId=201459411
"捷克与乌克兰电影的两个合集，我没看过多少，但作为一个研究资料 或者收藏，是真不错的，有SRT文件的不少的，但也不都是配备字幕文件的，如果需要全配字幕的，那要考虑下哦。 银幕上的社会解剖刀：捷克与乌克兰电影的现实镜像一、捷克新浪潮：幽默面具下的政治隐喻（1960-1970）1963年，米洛斯·福尔曼在布拉格街头拍摄《黑彼得》时，国营商店空荡的货架与青年躁动的荷尔蒙形成微妙共振。这部捷克新浪潮的开山之作，用父子冲突的日常叙事，暗喻社会主义体制的代际裂痕——当儿子在舞会上笨拙追逐女孩时，其踉跄姿态恰似捷克在意识形态道路上的摇摆。这种将政治批判融入生活细节的创作智慧，在1968年苏联坦克碾碎""布拉格之春""后，成为捷克电影人对抗审查制度的密码。薇拉·齐蒂洛娃的《雏菊》以更激进的美学实验撕开体制伪装。两位少女将餐桌变成战场，用撕碎钞票、焚烧食物的行为艺术，解构消费主义与集体主义的双重荒诞。影片中反复出现的机械人偶意象，直指体制对人性的异化。当西方影评人惊叹其超现实风格时，捷克观众看到的却是赤裸的现实——该片在1966年威尼斯电影节获奖后，立即被当局禁映，拷贝被锁进文化部的铁柜，直到1989年天鹅绒革命才重见天日。这种黑色幽默传统在伊日·门泽尔的《严密监视的列车》中达到巅峰。铁路调度员与抵抗组织的荒诞邂逅，通过性焦虑的隐喻完成对战争叙事的祛魅。影片结尾处被炸毁的德军列车，实为对1968年苏联入侵的提前预演。当该片在1968年奥斯卡颁奖礼上斩获最佳外语片时，捷克斯洛伐克电影人正在流亡路上回望故土——银幕上的胜利与现实中的溃败，构成冷战时期最苦涩的文化注脚。二、乌克兰新现实主义：创痛记忆的影像铭刻（2014-2020）2014年顿巴斯战火纷飞之际，米洛斯拉夫·史拉波斯维兹奇将镜头对准基辅郊外的聋哑学校。《聋哑部落》全片130分钟没有对白，却用手语构成的暴力语法，撕开了后苏联时代的社会创口。片中帮派头目用手势分配卖淫任务的场景，让观众意识到：当国家失语时，犯罪就会成为新的语言体系。导演采用纪录片式长镜头拍摄的走廊斗殴戏，其残酷性不仅来自拳拳到肉的暴力，更源于对体制性失能的控诉——那些本应守护弱势群体的教师，最终成了犯罪网络的共谋者。这种直面创伤的勇气，在克里米亚危机后的乌克兰电影中形成独特的美学传统。瓦连京·瓦夏诺维奇的《亚特兰大》以马航MH17坠机事件为背景，用破碎的家庭录像与战场纪实影像交织，构建出民族创伤的记忆拼图。片中父亲寻找女儿遗物的过程，隐喻着整个国家在战争废墟中的身份重构。当镜头掠过顿涅茨克机场的残骸时，混凝土裂缝中绽放的虞美人，成为乌克兰电影人对抗历史遗忘的视觉宣言。三、体制困境的镜像呈现捷克电影人在铁幕时期发展出独特的""厨房政治学""。门泽尔的《失翼灵雀》中，囚犯们在劳改营用哲学辩论消解体制荒谬，看守长婚礼现场的集体偷窥，构成对监控社会的绝妙反讽。当主人公在废铁场举行""缺席婚礼""时，锈蚀的机械零件成了反抗极权的象征物。这种用荒诞解构威权的传统，在21世纪的《教师》中延续：扬·霍布雷克将课堂变成微型极权社会，女教师用成绩单构建的统治体系，恰似大数据时代的监控隐喻。乌克兰导演则擅长用身体政治学揭露社会裂痕。《聋哑部落》中Anya被迫卖淫时颤抖的手指，不仅是弱势群体受害的微观写照，更暗示着国家机体在全球化浪潮中的自我物化。当镜头凝视她布满淤青的脊背，观众看到的是整个民族在欧盟与俄罗斯之间的夹缝生存状态。这种将个体伤痛上升为集体记忆的创作手法，在战争题材电影《火山》中达到极致：主人公穿梭于东乌克兰交火区的身影，化作国土分裂的行走隐喻。四、后社会主义时代的文化焦虑捷克电影新浪潮的幽灵仍在21世纪游荡。大卫·昂德利克的《类人猿行动》将二战抵抗叙事转化为身份困惑的寓言——刺杀海德里希的伞兵们在幽闭公寓里逐渐异化，其精神崩溃过程暗合当代捷克的身份迷失。影片中反复出现的镜面反射，既是对历史记忆的重构，也是对现实政治的折射。乌克兰电影则呈现出更尖锐的身份焦虑。纳里曼·阿利耶夫的《归途望乡》中，克里米亚鞑靼人的返乡之旅充满吊诡：祖辈故居已成俄军基地，民族服饰沦为旅游商品。影片用4:3画幅拍摄的乡野镜头，刻意模仿苏联时期新闻片的视觉语法，让历史创伤在格式反差中愈发刺目。当主人公最终将家谱投入篝火时，升腾的灰烬诉说着后殖民时代的文化失语。结语：胶片上的社会诊断书从布拉格之春到顿巴斯战火，捷克与乌克兰电影始终扮演着社会病理学家的角色。前者用幽默的手术刀解剖极权体制的癌变组织，后者以纪实影像为民族创伤进行清创手术。当《严密监视的列车》中的铁路道岔仍在国际影史闪烁，《聋哑部落》的手语暴力仍在流媒体平台震颤，这些影像记忆构成了东欧社会的精神年鉴。在虚拟现实技术重构感知的今天，两国电影人依然坚守着胶片时代的诊断使命——正如薇拉·齐蒂洛娃在1966年预言的那样：""当谎言成为日常，电影就必须成为照见真实的镜子，哪怕映出的是我们不愿直视的溃疡。""这种将艺术良知转化为社会关怀的创作传统，让银幕始终保持着37℃的体温，在冰冷的历史铁幕上呵出人性的雾气。",8.0,上海,25,https://www.goofish.com/item?id=813489985918&categoryId=126864806
捷克与乌克兰电影的两个合集，我没看过多少，但作为一个研究资料 捷克与乌克兰电影的两个合集，我没看过多少，但作为一个研究资料或者收藏，是真不错的，有SRT文件的不少的，但也不都是配备字幕文件的，如果需要全配字幕的，那要考虑下哦。 银幕上的社会解剖刀：捷克与乌克兰电影的现实镜像一、捷克新浪潮：幽默面具下的政治隐喻（1960-1970）1963年，米洛斯·福尔曼在布拉格街头拍摄《黑彼得》时，国营商店空荡的货架与青年躁动的荷尔蒙形成微妙共振。这部捷克新浪潮的开山之作，用父子冲突的日常叙事，暗喻社会主义体制的代际裂痕——当儿子在舞会上笨拙追逐女孩时，其踉跄姿态恰似捷克在意识形态道路上的摇摆。这种将政治批判融入生活细节的创作智慧，在1968年苏联坦克碾碎布拉格之春后，成为捷克电影人对抗审查制度的密码。薇拉·齐蒂洛娃的《雏菊》以更激进的美学实验撕开体制伪装。两位少女将餐桌变成战场，用撕碎钞票、焚烧食物的行为艺术，解构消费主义与集体主义的双重荒诞。影片中反复出现的机械人偶意象，直指体制对人性的异化。当西方影评人惊叹其超现实风格时，捷克观众看到的却是赤裸的现实——该片在1966年威尼斯电影节获奖后，立即被当局禁映，拷贝被锁进文化部的铁柜，直到1989年天鹅绒革命才重见天日。这种黑色幽默传统在伊日·门泽尔的《严密监视的列车》中达到巅峰。铁路调度员与抵抗组织的荒诞邂逅，通过性焦虑的隐喻完成对战争叙事的祛魅。影片结尾处被炸毁的德军列车，实为对1968年苏联入侵的提前预演。当该片在1968年奥斯卡颁奖礼上斩获最佳外语片时，捷克斯洛伐克电影人正在流亡路上回望故土——银幕上的胜利与现实中的溃败，构成冷战时期最苦涩的文化注脚。二、乌克兰新现实主义：创痛记忆的影像铭刻（2014-2020）2014年顿巴斯战火纷飞之际，米洛斯拉夫·史拉波斯维兹奇将镜头对准基辅郊外的聋哑学校。《聋哑部落》全片130分钟没有对白，却用手语构成的暴力语法，撕开了后苏联时代的社会创口。片中帮派头目用手势分配卖淫任务的场景，让观众意识到：当国家失语时，犯罪就会成为新的语言体系。导演采用纪录片式长镜头拍摄的走廊斗殴戏，其残酷性不仅来自拳拳到肉的暴力，更源于对体制性失能的控诉——那些本应守护弱势群体的教师，最终成了犯罪网络的共谋者。这种直面创伤的勇气，在克里米亚危机后的乌克兰电影中形成独特的美学传统。瓦连京·瓦夏诺维奇的《亚特兰大》以马航MH17坠机事件为背景，用破碎的家庭录像与战场纪实影像交织，构建出民族创伤的记忆拼图。片中父亲寻找女儿遗物的过程，隐喻着整个国家在战争废墟中的身份重构。当镜头掠过顿涅茨克机场的残骸时，混凝土裂缝中绽放的虞美人，成为乌克兰电影人对抗历史遗忘的视觉宣言。三、体制困境的镜像呈现捷克电影人在铁幕时期发展出独特的厨房政治学。门泽尔的《失翼灵雀》中，囚犯们在劳改营用哲学辩论消解体制荒谬，看守长婚礼现场的集体偷窥，构成对监控社会的绝妙反讽。当主人公在废铁场举行缺席婚礼时，锈蚀的机械零件成了反抗极权的象征物。这种用荒诞解构威权的传统，在21世纪的《教师》中延续：扬·霍布雷克将课堂变成微型极权社会，女教师用成绩单构建的统治体系，恰似大数据时代的监控隐喻。乌克兰导演则擅长用身体政治学揭露社会裂痕。《聋哑部落》中Anya被迫卖淫时颤抖的手指，不仅是弱势群体受害的微观写照，更暗示着国家机体在全球化浪潮中的自我物化。当镜头凝视她布满淤青的脊背，观众看到的是整个民族在欧盟与俄罗斯之间的夹缝生存状态。这种将个体伤痛上升为集体记忆的创作手法，在战争题材电影《火山》中达到极致：主人公穿梭于东乌克兰交火区的身影，化作国土分裂的行走隐喻。四、后社会主义时代的文化焦虑捷克电影新浪潮的幽灵仍在21世纪游荡。大卫·昂德利克的《类人猿行动》将二战抵抗叙事转化为身份困惑的寓言——刺杀海德里希的伞兵们在幽闭公寓里逐渐异化，其精神崩溃过程暗合当代捷克的身份迷失。影片中反复出现的镜面反射，既是对历史记忆的重构，也是对现实政治的折射。乌克兰电影则呈现出更尖锐的身份焦虑。纳里曼·阿利耶夫的《归途望乡》中，克里米亚鞑靼人的返乡之旅充满吊诡：祖辈故居已成俄军基地，民族服饰沦为旅游商品。影片用4:3画幅拍摄的乡野镜头，刻意模仿苏联时期新闻片的视觉语法，让历史创伤在格式反差中愈发刺目。当主人公最终将家谱投入篝火时，升腾的灰烬诉说着后殖民时代的文化失语。结语：胶片上的社会诊断书从布拉格之春到顿巴斯战火，捷克与乌克兰电影始终扮演着社会病理学家的角色。前者用幽默的手术刀解剖极权体制的癌变组织，后者以纪实影像为民族创伤进行清创手术。当《严密监视的列车》中的铁路道岔仍在国际影史闪烁，《聋哑部落》的手语暴力仍在流媒体平台震颤，这些影像记忆构成了东欧社会的精神年鉴。在虚拟现实技术重构感知的今天，两国电影人依然坚守着胶片时代的诊断使命——正如薇拉·齐蒂洛娃在1966年预言的那样：当谎言成为日常，电影就必须成为照见真实的镜子，哪怕映出的是我们不愿直视的溃疡。这种将艺术良知转化为社会关怀的创作传统，让银幕始终保持着37℃的体温，在冰冷的历史铁幕上呵出人性的雾气。,8.0,上海,0,https://www.goofish.com/item?id=946134720098&categoryId=202036301
