标题,价格(元),所在地,想要人数,商品URL
客户抵债特价处理 葵宝堂【梅江产区】二十五年新会陈皮干仓老树 大红皮25年泡茶250g  【客户抵债清仓处理】给价就走葵,800.0,福***商,58,https://www.goofish.com/item?id=755872896223&categoryId=201459322
英国Audio Note音乐贵族AN发烧含银焊锡丝 音响线材 专用  AudioNote焊锡成分如下： SN（焊锡）: ,30.0,欧***音,7,https://www.goofish.com/item?id=809602883439&categoryId=126864566
培乐多橡皮泥  感兴趣的话点“我想要”和我私聊吧～,50.0,溪***树,1,https://www.goofish.com/item?id=930449189596&categoryId=126862736
猫粮桶  感兴趣的话点“我想要”和我私聊吧～,9.9,着***生,0,https://www.goofish.com/item?id=851739064341&categoryId=126854757
"钓鱼船,原价800，一次未下水，东西齐全现700出 哈尔滨的 可以赠个2.5公斤的船锚 感兴趣的话点“我想要”和我私聊吧",700.0,安***浩,8,https://www.goofish.com/item?id=862674015582&categoryId=126856686
十月结晶多功能奶瓶奶嘴刷，全新未开封。  感兴趣的话点“我想要”和我私聊吧～,25.0,源***～,1,https://www.goofish.com/item?id=899447433315&categoryId=126864936
台湾BESDIA钻石碗型砂轮WC1005B20，粒度200， 尺寸11C9 100Dx10Wx5Ux20Hx35T。全新,48.0,流***宝,0,https://www.goofish.com/item?id=946789409414&categoryId=126864157
低价出最后15个 全套蓄水池帆布水池户外果园蓄水池储水池森林  消防池发酵池加厚双面防水  材料是镀锌钢板+防水帆布，排,385.88,促***车,0,https://www.goofish.com/item?id=958912388837&categoryId=126858783
出售全新塑料袋  22*38 650个,30.0,姜***姜,0,https://www.goofish.com/item?id=953689390944&categoryId=201450105
人间烟火舞蹈伞演出伞走秀中国风跳舞伞装饰古风伞古…  感兴趣的话点“我想要”和我私聊吧～,5.94,家***猫,0,https://www.goofish.com/item?id=852648644781&categoryId=126858193
3米长多弯道疏通器，加粗弹簧钢丝，适用马桶下水道管道堵塞。送 防护手套，女生也能轻松用上，螺旋设计更给力。手摇式操作简单,4.41,小***姐,0,https://www.goofish.com/item?id=944089760726&categoryId=126858310
铝合金雨棚雨搭遮阳棚加厚型铝合金材质  感兴趣的话点“我想要”和我私聊吧～,100.0,铝***棚,114,https://www.goofish.com/item?id=731878023706&categoryId=126858785
车载香薰加湿器ⅠⅠ代，全新，标价即卖价，拼满28包邮。  感兴趣的话点“我想要”和我私聊吧～,3.0,水***扬,1,https://www.goofish.com/item?id=871958961500&categoryId=126854020
南极人高帮暖脚宝插电保暖鞋办公室电热捂脚垫加热冬天取暖器神器  感兴趣的话点“我想要”和我私聊吧～,20.0,阿***花,0,https://www.goofish.com/item?id=876240346039&categoryId=126858744
三江塑胶PVC加厚纤维管内径16壁厚三毫米，长度16米。68 元,68.0,厂***卖,2,https://www.goofish.com/item?id=899167496242&categoryId=126864744
江苏兴化清水小龙虾已大量上市，商超，批发的都可以联系  感兴趣的话点“我想要”和我私聊吧～,18.8,虾***发,2,https://www.goofish.com/item?id=885002143224&categoryId=126918187
漱口水，easylife， 80条，全新未拆。  感兴趣的话点“我想要”和我私聊吧～,27.0,盛***a,0,https://www.goofish.com/item?id=850563459165&categoryId=126860056
上海地板安装师傅，常年在上海安装地板。全上海都可以安装，除了 崇明岛，横沙岛那边。需要安装地板的可以找我来聊聊，关于地板,142.0,上***傅,8,https://www.goofish.com/item?id=785474926152&categoryId=201456315
迷你小型家用双人潘多拉月光宝盒拳王游戏机格斗机摇杆街机一体机  颜色分类: 3D潘多拉wifi 铁拳5.6★一万[游戏送,280.0,s***0,0,https://www.goofish.com/item?id=896325103511&categoryId=126856341
上海新启 三基色电子节能灯，3U13W，E27螺口，6500 K色温，亮度高，初始光效54流明/瓦，二级能效，功率13瓦,7.9,闲***主,0,https://www.goofish.com/item?id=887763908631&categoryId=126858435
