标题,价格(元),所在地,想要人数,商品URL
"北极星捆绑包 【8月名额充足】 

 加好友满5天赠送

加好友满5天后滴滴我秒到账。

未成年人请勿入内，谢谢。
注意",349.0,白***游,29,https://www.goofish.com/item?id=965253471411&categoryId=202035003
#大清 【31】湖南扁体龙，三全原状态，龙鳞清晰，粒粒可见  非假不退，包老保真！,168.0,精***阁,0,https://www.goofish.com/item?id=795862658469&categoryId=126862238
兰蔻水份缘果冻面霜50ml  余量一半左右 实拍所见即所得 保证正品 支持任何渠道鉴定 刮批 介意别拍,78.0,今***呀,0,https://www.goofish.com/item?id=900399173931&categoryId=126860108
婚礼场景搭建，舞台区+T台只要4999元，超低价全包。  感兴趣的话点“我想要”和我私聊吧～,4999.0,婚***建,7000,https://www.goofish.com/item?id=939331513721&categoryId=201450212
"广东永美YM-823, 61键子琴，内置mp3播放器，可插u 盘，长94公分，宽35公分。 全新正品，实体店库存货源，亏",158.0,无***理,2,https://www.goofish.com/item?id=896779886974&categoryId=126858818
全新双兆牌阻尼厨柜合页，大品牌质量好l飞机合页，大弯小弯中弯 直弯都有，八百多个，保证正品，质量杠杠的，长春市自提，想要,5.0,二***盔,10,https://www.goofish.com/item?id=709089430110&categoryId=126858024
龙于工坊金刚狼  卖配节了，这款竿子配节通用，需要哪节请咨询,50.0,独***乛,40,https://www.goofish.com/item?id=670825007597&categoryId=126856682
九号原装3.0*10后胎，胎线还在全部升级心态了。便宜出了， 100km不到,40.0,如***意,3,https://www.goofish.com/item?id=963200227854&categoryId=126856163
半吨双机水处理，不锈钢的，成色好，价格便宜，附件齐全，需要联 系,2800.0,夏***炎,88888888,https://www.goofish.com/item?id=850496156922&categoryId=127056029
220Ω3w 胶木线绕电位器。  国营老厂出品，三个新的，一个拆机的，保证质量没问题，价格为一个价，四个打包20元,7.0,天***音,0,https://www.goofish.com/item?id=909982117164&categoryId=126856610
欧宝赛飞利仪表盘总成 不包邮不砍价拍下秒发货  感兴趣的话点“我想要”和我私聊吧～,150.0,专***子,4,https://www.goofish.com/item?id=658675756030&categoryId=126860746
海信55寸液晶电视屏幕裂了，HZ50E3D，当配件出，郑州自 提售出不退不换  感兴趣的话点“我想要”和我私聊吧～,116.0,一***鱼,6,https://www.goofish.com/item?id=842616740447&categoryId=126856120
家具大清仓处理啦！  床，衣柜，沙发茶几电视柜，餐桌写字桌，款式多，一应俱全，可一站式配齐，物美价廉，有喜欢的朋友可与我,200.0,卖***的,37,https://www.goofish.com/item?id=702644179471&categoryId=126866779
#Ricoh/理光 MPC4503鼓架齿轮，MPC3003/ 3503/4503/5503/6003/3004/3504,35.0,专***材,4,https://www.goofish.com/item?id=881442426810&categoryId=126854365
闲置沙发170宽，很轻  质量特别好，不是那种软塌的材质 需要普陀自取 可拆卸，有内衬,300.0,K***_,0,https://www.goofish.com/item?id=842844287603&categoryId=126866820
森海塞尔HD201头戴式监听耳机，全新仅拆封，德国原装正品。 强劲低音体验，音质出众，适合音乐爱好者和专业监听使用。配备,199.0,一***赢,0,https://www.goofish.com/item?id=956665262725&categoryId=126864984
道闸快速道闸车牌识别道闸直流无刷快速道闸  0.8秒快速道闸 超厚机箱，超静音，低功耗 送两个手持摇控器 可选直杆，栅栏,279.29,车***邱,2000,https://www.goofish.com/item?id=681528950682&categoryId=126856468
大众捷达专用全包围脚垫  环保，结实，耐用，防水   一体成型防水耐磨耐高温耐低温，质地柔软坚韧不变形，  原车1:1开,158.0,专***家,398,https://www.goofish.com/item?id=753979311898&categoryId=126860938
663号博柏利Burberry精品男士黑色双排扣西装外套，纯 羊毛面料，金色战马金扣，古着vintage经典时尚  衣服,340.0,红***着,0,https://www.goofish.com/item?id=924332696334&categoryId=126860491
全新铁路发的分体雨衣！质量不错！有大中小特！四个尺码！68一 套包邮顺丰处理！,68.0,恒***业,65,https://www.goofish.com/item?id=666883726359&categoryId=126858788
