标题,价格(元),所在地,想要人数,商品URL
A5拍纸本（10本装）  全新厂货清仓！通立莱品牌、100%正品！  竖翻页 封皮厚 封底厚纸板 方便随身携带 手持书写,18.5,王***伤,2,https://www.goofish.com/item?id=940620970209&categoryId=126864108
"宠物洗护家庭版在线接单 猫狗洗澡 
5公里内可以上门接送
咬人的猫猫狗狗不接哦～
5kg以下35
      以上50",35.0,名***略,3,https://www.goofish.com/item?id=962113274712&categoryId=126854699
（S3）奥豪斯AR1530电子天平，量程150g，精度1mg  感兴趣的话点“我想要”和我私聊吧～,580.0,华***福,5,https://www.goofish.com/item?id=814386887719&categoryId=201453803
信索Sensorc安全光栅 S100-2014-NJ  设备拆机，明码标价 试电发货，送带线但不长 安全高度260mm ,130.0,饕***件,29,https://www.goofish.com/item?id=712523306452&categoryId=126856386
微电葫芦/电动吊机220v      PA400。正常使用无 故障。不包邮。,190.0,荆***果,7,https://www.goofish.com/item?id=802358182413&categoryId=126864661
老眼镜，老石头大眼镜，平镜天然水晶片，镜片有老修破损，配件标 本练手摆件，包老保真按图发货售出概不退换,160.0,宝***货,0,https://www.goofish.com/item?id=738329000759&categoryId=126858714
NEC  SV9100程控电话交换机，看图，需要的联系，三台 ，单价，包邮非偏远。,800.0,小***闹,5,https://www.goofish.com/item?id=939069207722&categoryId=126854270
高档日本sk5镰刀赔钱处理商店正品赔钱出一个的价格颜色随机， 铁柄 感兴趣的话点“我想要”和我私聊吧～,23.5,五***城,58,https://www.goofish.com/item?id=645609005985&categoryId=126860533
南阳市钢琴调音维修  感兴趣的话点“我想要”和我私聊吧～,300.0,好***Q,4,https://www.goofish.com/item?id=683349412247&categoryId=201592901
户外庭院阳台花园别墅铝合金柱子塑木地板围栏可以搭配不同款式的 板材。可设计，可安装，可免费测量。 感兴趣点击我想要详细沟,69.9,成***木,0,https://www.goofish.com/item?id=757210417562&categoryId=126858079
分组电极，蒸发真空镀膜设备蒸发电极，700mm长，纯紫铜制造 ，也可以来图订完，全新件,90.0,爱***员,5,https://www.goofish.com/item?id=693849230242&categoryId=126864264
全新！！包邮！EXR专业骑行户外运动情侣手套出口韩国EXR情 侣款专业骑行登山手套，手背透气，手掌耐磨防滑，M码 掌宽8,60.0,慕***4,168,https://www.goofish.com/item?id=547806956642&categoryId=126866886
出售水干机原装部件，三个金属弹簧，适用于多种车型。安装简单， 有轻微使用痕迹但功能正常。因更换升级，闲置出手。售出不退，,12.0,杂***铺,0,https://www.goofish.com/item?id=896181278510&categoryId=126920079
白光焊台配件，焊笔，实物成色如图，60包邮，拍后任何问题不退 不换，偏远地区除外。,60.0,蜗***料,0,https://www.goofish.com/item?id=924589046372&categoryId=126864565
早教软体爬滑组合，宝宝感统训练攀爬梯，婴儿楼梯室内软包滑梯， 出口品质抗菌，多色拼接设计，安全稳固，适合0-6岁宝宝玩耍,580.0,花***l,0,https://www.goofish.com/item?id=930237977628&categoryId=126862851
出富士拍立得相纸 mini相纸 爱心相纸 3寸  如图，日期如图，日期很新鲜  一盒10张，标价为1盒的价格，有2盒～拍,106.0,甜***圈,6,https://www.goofish.com/item?id=929063052005&categoryId=126854155
岐山以及周边各县城区域，木地板，复合地板，石塑地板多层，新三 层，实木安装，维修！踢脚线安装，实木，高分子，木塑，不锈钢,8.0,t***a,5,https://www.goofish.com/item?id=926135682283&categoryId=201456315
牧田JN1600 手持式电冲剪 电动剪 电冲剪 进口 二手  220v 300w 机器正常，没毛病。原装无维修。 换了电,500.0,各***所,4,https://www.goofish.com/item?id=653656761297&categoryId=126864137
九号NZmix原装后扶手，刚从新车上拆下，全新未使用！黑色铝 合金材质，做工精细，结实耐用。龙岗盛平地铁站自提，给钱就出,56.0,杨***辉,12,https://www.goofish.com/item?id=869873437636&categoryId=126856219
一整套装备，买来小孩玩滑板防护，一次没用，3-12岁都可以使 用，有需要联系，,21.0,可***晚,1,https://www.goofish.com/item?id=914067777025&categoryId=126918124
