标题,价格(元),所在地,想要人数,商品URL
出，第五人格✘闪魂阿诺德和他可爱的木偶们美智子款 小立牌，有购买记录，付邮送15偏远地区需补1~2元邮费有购买记录如图P2,15.0,山东,0,https://www.goofish.com/item?id=966087128675&categoryId=202118809
第五人格 阿诺德和他可爱的木偶们 亚克力立牌(第一弹) 邦邦 款、小役鸟款、特蕾西款、 裘克款、美智子款、玛格丽莎款、克利切款  标价包邮，全新未拆，不包任何初伤 拍前问库存，拍下会进行二次确认，确认后不退不换,18.0,河南,0,https://www.goofish.com/item?id=945398250447&categoryId=202118809
【现货包邮】第五人格  阿诺德和他可爱的木偶们 亚克力立牌第 1弹  单个可直拍，安全发货  官方正版全新未拆，不包任何官瑕,19.0,广东,2,https://www.goofish.com/item?id=943809163532&categoryId=202118809
闪魂第五人格 阿诺德和他可爱的木偶们 色纸 价格是整盒的价格 全新未拆封 带原袋 一盒4款  默认厂瑕 不包运损 完美主义者勿扰 非偏远地区可直拍 当天发货 出手不退不换 无开箱不售后,49.0,福建,1,https://www.goofish.com/item?id=958289232528&categoryId=202126106
闪魂正版《第五人格》阿诺德和他可爱的木偶朋友们系列亚克力立牌 裘克款、美智子款、克利切款、特蕾西款4款可选，可在店铺内任意挑选产品搭货，享受包邮（偏远+运）。 闪魂正版阿诺德和他可爱的木偶们系列周边第五人格亚克力拼图立牌第一弹  ⚠️关于：错发漏发.需快递单； ⚠️提示：开箱时从快递单处拍下一镜到...,13.5,福建,19,https://www.goofish.com/item?id=946114451191&categoryId=126860293
闪魂正版阿诺德和他可爱的木偶们系列周边第五人格亚克力拼图立牌 第一弹 ➖➖➖➖➖➖➖➖➖➖➖➖ 全新未拆 包邮非偏远 默认厂瑕 ➖➖➖➖➖➖➖➖➖➖➖➖ ❤️自选1个15（不包厂瑕） ➖➖➖➖➖➖➖➖➖➖➖➖ ⚠️关于∶错发漏发.需快递单 ⚠️提示：开箱时从快递单处拍下一镜到底视频（快递单文字需清晰可...,15.0,广西,7,https://www.goofish.com/item?id=944171809939&categoryId=202118809
闪魂第五人格阿诺德和他可爱的木偶们系列周边，全新未拆封！内含 4款小丑-ARNOLD & PUPPETS亚克力挂件，独特视高迪工艺带来立体触感，尺寸140x210mm。官方正版授权，品质保证。有兴趣的朋友直接拍下，或者私聊我~ 分类:游戏动漫挂件｜品牌:SHINING SOUL/闪魂｜ACG作品:第五人格｜成色:全新｜出售状态:现货,17.0,湖南,1,https://www.goofish.com/item?id=965342321692&categoryId=126860296
"闪魂第五人格阿诺德和他可爱的木偶们亚克力立牌，全新未拆封。 全系列共2款可选，每款19元，精美包装，做工精致。 全新未拆封，塑封完好。 包邮非偏远地区，售出不退不换。 可直拍，感兴趣的朋友点击""我想要""私聊。",17.9,广西,1,https://www.goofish.com/item?id=947033232721&categoryId=202118809
第五人格阿诺德和他可爱的木偶们亚克力立牌，官方正品闪魂出品， 全新未拆封。  邦邦、克利切、玛格丽莎、美智子、裘克、特蕾西、小役鸟七款可选。  标价包邮，原装发货，拍前请先问库存，不包初伤 确认后不退不换，量大优惠。,18.0,河南,0,https://www.goofish.com/item?id=938733594275&categoryId=202118809
闪魂第五人格阿诺德和他可爱的木偶们亚克力立牌，全新未拆封！全 系列9款可选，每款19元，做工精致，适合收藏。原装原包装发货，品质保证。 现货速发，喜欢的朋友欢迎私聊！ 特殊商品，售出不退不换。 快递途中可能有轻微包装变形，介意勿拍。 立牌,15.0,福建,0,https://www.goofish.com/item?id=952259059274&categoryId=202118809
