标题,价格(元),所在地,想要人数,商品URL
核桃小屋现货 《雪孩子》主题 还原童年动画，怀旧手办 偏远地区不包邮,148.0,山东,0,https://www.goofish.com/item?id=955672765063&categoryId=126860378
雪孩子手办摆件，童年的回忆，90年代物品，保存的很好，一直在 展示柜存放，当时买来什么样就是什么样，仅此一个，送白色底托玻璃罩,230.0,天津,2,https://www.goofish.com/item?id=959235763236&categoryId=126860378
雪孩子手办 雪孩子摆件 关联老娃娃，老玩具 怀旧玩具 ～九十年代老库存全新的～树脂材质， 不是松香石也不是橡皮泥正品这是，无破损包邮～割肉价格不议价秒发,158.0,黑龙江,0,https://www.goofish.com/item?id=625367731729&categoryId=126860377
雪孩子摆件 手办玻璃罩 雪孩子摆件老摆件老物件老玩具不怕冷的 雪孩子、当年雪孩子动画片真的是催人泪下 最经典国产动画片 此手办人物刻画的非常漂亮，灵魂感极强 表情细节做到极致。材质树脂细节做工堪比任何手办 可惜上美影厂已经不在了 早已停产绝版留下了一些老库存供大家回忆  摆件高度9 宽度7 已成为经典...,238.0,北京,243,https://www.goofish.com/item?id=638352315532&categoryId=126860377
动画片《雪孩子》画面分镜头台本，已不成套，散页9张 美影老师旧藏。每张400元，不包邮！（自我备注，架子1）,400.0,上海,2,https://www.goofish.com/item?id=961675787824&categoryId=201459411
九十年代“雪孩子”摆件，老货。 感兴趣的话点“我想要”和我私聊吧～,260.0,上海,9,https://www.goofish.com/item?id=691009102011&categoryId=201459411
80后童年回忆，雪孩子有喜欢的可以聊聊 感兴趣的话点“我想要”和我私聊吧～,235.0,天津,0,https://www.goofish.com/item?id=949408696903&categoryId=126860377
恐龙妹雪孩子，狸投工作室，感兴趣私聊，仅拆封未使用，无暇 二手商品不退不换,150.0,上海,1,https://www.goofish.com/item?id=746222811100&categoryId=126860377
雪孩子 伴我长大系列童书 14本雪孩子（硬皮精装）） 书名:雪孩子 ISBN编号:9787504189615  当当购买  书是幼儿园老师推荐的，孩子幼儿园是全国排名前五的幼儿园，非常注重素质教育，这套书无论插画还有内容都非常适合小朋友阅读或亲子阅读  孩子现在上小学用不到了，后来发现这里面...,180.0,北京,6,https://www.goofish.com/item?id=641638530471&categoryId=127838003
狸投 恐龙妹 雪孩子 两周年纪念款 塑料膜已撕 盒子有胶痕 娃本体只拿出来倒入了雪花 就暗箱收藏了,145.0,北京,0,https://www.goofish.com/item?id=775981345302&categoryId=126860377
LITOR'S WORKS 狸投 恐龙妹 雪娃娃 雪孩子 2周年纪念版 仅收到时拆盒检查，后收藏未站柜。低于原价亏出320包邮江浙沪。发货前视频确认，售出不退不换。,320.0,上海,0,https://www.goofish.com/item?id=684262005004&categoryId=126860378
恐龙妹 雪孩子 狸投 全新未拆 感兴趣的话点“我想要”和我私聊吧～,150.0,浙江,0,https://www.goofish.com/item?id=743270297633&categoryId=126860377
雪孩子摆件 玻璃罩 雪孩子手办 玻璃罩 感兴趣的话点“我想要”和我私聊吧雪孩子摆件 手办玻璃罩 雪孩子摆件老摆件老物件老玩具不怕冷的雪孩子、当年雪孩子动画片真的是催人泪下 最经典国产动画片 此手办人物刻画的非常漂亮，灵魂感极强 表情细节做到极致。材质树脂...,238.0,北京,291,https://www.goofish.com/item?id=668875417105&categoryId=126860377
Litor's work 恐龙妹 雪孩子 恐龙妹妹 雪孩子   仅拆确认，卡已刮  售前360°拍照视频，售后不退换  顺丰到付,269.0,福建,2,https://www.goofish.com/item?id=901386822990&categoryId=126860378
