标题,价格(元),所在地,想要人数,商品URL
美国GT正版29山地车，适合身高175以上！  全铝结构，24速油刹！不锈钢辐条！ 禧玛诺24级变速系统！主要特点就是耐,2100.0,冷***生,3,https://www.goofish.com/item?id=830878352331&categoryId=127058035
科沃斯X1S PRO PLUS扫地机器人 全能顶配版   全自动热水洗拖布，扫拖洗烘集尘一体，激光雷达导航，性能王者  ,1500.0,1***a,0,https://www.goofish.com/item?id=933263672634&categoryId=126862112
搬家闲置高尔夫球杆包 包带杆全出，有点使用痕迹  感兴趣的话点“我想要”和我私聊吧～,500.0,电***鲨,0,https://www.goofish.com/item?id=957188857933&categoryId=126866197
拼色冲锋衣，L码，适合春秋穿，质量很好，颜色百搭。几乎全新， 没有瑕疵。需要的朋友联系我哦。,25.0,淘***包,59,https://www.goofish.com/item?id=917216944204&categoryId=126856782
全新儿童小主持人背带套装，红蓝条纹领结配白蓝条纹背带，超帅气 ！适合135以下小朋友穿，金属扣设计结实耐用。深圳坪山竹坑,7.0,漂***),0,https://www.goofish.com/item?id=936147329006&categoryId=126914016
木门安装，各种类型！  感兴趣的话点“我想要”和我私聊吧～,30.0,爱***茶,100,https://www.goofish.com/item?id=675733640166&categoryId=201461007
常年大量出售、批发、回收、 二手家电、家用商用二手空调、中央 空调！柜机、挂机、吸顶机、天顶机等主营品牌 ：格力、美的、,800.0,桃***手,27,https://www.goofish.com/item?id=712367640452&categoryId=201458113
卡色星光镜52mm四线，短线  几乎未使用，有磁吸环 感兴趣的话点“我想要”和我私聊吧～,150.0,一***蝇,0,https://www.goofish.com/item?id=949819796868&categoryId=126854101
广州低价转让全新即热型电热水器质量保证先抢先得  感兴趣的话给我留言吧！,89.0,监***修,1680,https://www.goofish.com/item?id=603223612661&categoryId=126856136
蛇年纪念钞尾520喜欢的老板带走吧，低价包邮  感兴趣的话点“我想要”和我私聊吧～,66.0,松***圈,0,https://www.goofish.com/item?id=907414926898&categoryId=127052044
古玩铜器收藏，观音，工艺精湛 ，包浆醇厚，型态完整   材质：铜鎏金系列  产品规格：重量约1300克，尺寸如下图：,22.0,爱***人,0,https://www.goofish.com/item?id=906124678609&categoryId=126862440
2016款威驰原厂cd机，车子换了大屏，现在便宜处理。  感兴趣的话点“我想要”和我私聊吧～,20.0,奇***户,6,https://www.goofish.com/item?id=895781498112&categoryId=126860895
现货信鸽后代幼鸽2只60  公棚、天落信鸽崽一对60 信鸽颜色幼鸽一对80出售  感兴趣的话点“我想要”和我私聊吧～,30.0,爱***鱼,11,https://www.goofish.com/item?id=811178933997&categoryId=126854792
"康宁Constar 96孔板耗材，货号：3370 
平底板，低价出。一箱20个，共4箱。
全新未拆封，价格可议。",300.0,&***),0,https://www.goofish.com/item?id=950964277295&categoryId=201456602
8K超清双摄像头无人机，风尚价立减30。带光流定位，自动返航 功能，遥控飞行稳定。送原装收纳包，配件齐全。适合新手入门，,205.25,小***鬼,0,https://www.goofish.com/item?id=964864741036&categoryId=126866698
宠物友好实价1晚杭州西湖VISHWA玉皇山庄中古丽景大床或双 床房  标价为1晚实价，须一间两晚或两间一晚，不拆分，含2,449.0,心***途,0,https://www.goofish.com/item?id=907569341658&categoryId=201459505
全新HOZ男士帆布鞋，43码，经典黑白配色，低帮设计，适合四 季穿着。鞋底防滑耐磨，舒适耐看。因闲置出手，有意者请私聊。,249.0,x***6,0,https://www.goofish.com/item?id=925263734784&categoryId=126920019
杭州猫咪上门拍照服务 （也可以室外）  留住你家猫主子的温柔瞬间  每一只猫，都是宇宙送来的一颗小行星，悄悄降落在你身边,300.0,野***兮,0,https://www.goofish.com/item?id=955768597319&categoryId=201452020
水果超市冷链风幕柜，岛柜大降价出售，尺寸定制，7到10天交货 ，免费保修三年。,5.0,空***宏,25,https://www.goofish.com/item?id=627219213673&categoryId=126862071
[出设]  古风男宝  空壳  一任三全   #出设#设子#古风,35.0,挪***仁,1,https://www.goofish.com/item?id=962141204570&categoryId=201457207
