标题,价格(元),所在地,想要人数,商品URL
音乐剧风雪山神庙急出！特惠选座！【上海】大麦代拍音乐剧《风雪 山神庙》地点：上海茉莉花剧场场次：9.9-9.21号票价：180/280/380/580元，各价位均有折扣，大麦优惠可叠加出票1、取票方式：演出票为电子票短信，剧院自助取票机取票入场即可，请收货地址一定提供正确手机号！！！诚信代拍，票品保真，售后服务直到演出结束为止，放心购买，需要私聊~~~2、退换说明：票品为有价证券，非普通商品，其后承载的文化服务具有时效性，稀缺性等特征，故出票后非卖家原因不退不换，但如遇演出取消！延期！炸卡！等情况可以退款，处理方式均同步官方公告，接到通知后需要退款的顾客请联系我处理，符合要求的秒退！下单默认已仔细阅读并同意上述内容,158.0,上海,0,https://www.goofish.com/item?id=952746629774&categoryId=201459411
音乐剧「风雪山神庙」上话出品 9.14 19:30 1-15-16【也可以换别的场次！】早鸟+会员折扣购入的，时间冲突出，剧情简介见图3,148.0,上海,1,https://www.goofish.com/item?id=964248587783&categoryId=201415803
风雪山神庙，上海话剧艺术中心，1-3-13，9.13晚，原价 480感兴趣的话点“我想要”和我私聊吧～,332.0,上海,1,https://www.goofish.com/item?id=965065563106&categoryId=201418802
【出】9.9 风雪山神庙 首演 2-4-22 二楼 4排22号 180➡️140音乐剧 水浒传 林冲丁辉 刘浩冉 王化诚 吴以瀚 舒杨 钱海睿 张烜尓 陈思宇上海话剧艺术中心 茉莉花剧场,140.0,上海,180,https://www.goofish.com/item?id=963898760528&categoryId=201415803
【出】风雪山神庙 9.20 午 1-2-8  票面580→464已取纸质票，可邮寄可面交都是吴盛祥的场次一排没开，二排就是实际一拍下后不退不换,464.0,江苏,1,https://www.goofish.com/item?id=963271685534&categoryId=201459411
【标价出】风雪山神庙 9.21 午 1-4-1大末 周日 14:00丁辉 贺梦洁 王天择 吴盛祥 邓泽镐 贾晨熙 陈檀雅 叶嘉雯不回收任何。除炸场，炸卡外不退换。环人广、直转、面交纸质票。不可直拍，不邮寄，不放寄存柜。,480.0,上海,580,https://www.goofish.com/item?id=964347118156&categoryId=201415803
2025.9.20茉莉花剧场 音乐剧《风雪山神庙》午场两点卡司：邓欣锐、贺梦洁、王天择、吴盛祥、舒杨、贾晨熙、贾晨熙、陈檀雅、叶嘉雯1-10-1，含手续费,345.0,上海,0,https://www.goofish.com/item?id=965380285577&categoryId=201415803
风雪山神庙 9.20晚上 茉莉花剧场 座位如图 290出两张 180 不刀不单出（因为两张票是一个取票码 单出会很麻烦）,290.0,上海,360,https://www.goofish.com/item?id=952013981621&categoryId=201418802
【出】9.14午 风雪山神庙 音乐剧 邓欣锐 刘浩冉 王天择 吴以瀚 舒杨 钱海睿 张烜尔 陈思宇 标价含手续费，可直拍,324.97,上海,1,https://www.goofish.com/item?id=958078318847&categoryId=201415803
【出】【可刀】风雪山神庙921午 2-16 sxf直转免 感兴趣的话点“我想要”和我私聊吧～,482.9,黑龙江,0,https://www.goofish.com/item?id=959106143070&categoryId=201415803
【上话K+】音乐剧 风雪山神庙 上海话剧艺术中心 K+代购 按实际折扣清明上河图密码/女孩与男孩/红楼梦/心理游戏/喜剧小丑盖里/金绣娘/舞台剧长恨歌/话剧推销员之死/蝶变/仲夏/夜晚的潜水艇/心迷宫/两个人的谋杀/黑衣女人/无名之城,153.0,浙江,29,https://www.goofish.com/item?id=776236712833&categoryId=201418802
"风雪山神庙 上海话剧艺术中心 9折代拍 茉莉花剧场 时间：9.9-9.21 价位：80.180,280，380.580",180.0,上海,69,https://www.goofish.com/item?id=679633938556&categoryId=201459411
音乐剧风雪山神庙急出！特惠选座！【上海】大麦代拍音乐剧《风雪 山神庙》 地点：上海茉莉花剧场 场次：9.9-9.21号 票价：180/280/380/580元，各价位均有折扣，大麦优惠可叠加出票 1、取票方式：演出票为电子票短信，剧院自助取票机取票入场即可，请收货地址一定提供正确手机号！！！诚信代拍，...,158.0,上海,180,https://www.goofish.com/item?id=952757761214&categoryId=201459411
【出】9.4晚怪物 文祥 A2-6 徐佳文 吴盛祥叠dpf 溢入溢出9.21午风雪山神庙 1-10-6（380票面第一排中轴）吴盛祥小末342实付出两张一起出发码取票拍下非官方原因不退,926.0,上海,0,https://www.goofish.com/item?id=965946373468&categoryId=201459411
9折代购上海话剧艺术中心，无代购费 给取票码，售出不退不换 0.6%的xsf需要额外支付，直zhuan可不用加  Tag 心迷宫 女孩与男孩 红楼梦 心理游戏 小丑盖里 金绣娘 推销员之死 长恨歌 仲夏 风雪山神庙 清明上河图密码 夜晚的潜水艇 真相 两个人的谋杀 黑衣女人...,163.0,江苏,180,https://www.goofish.com/item?id=962555220344&categoryId=201418802
上海话剧艺术中心K+会员提前购 风雪山神庙 7.2号上午10点整,180.0,上海,0,https://www.goofish.com/item?id=946137509887&categoryId=201418802
上海话剧艺术中心，会员原价九折代购，可选位。目前热门剧目有: 小丑盖里，怀疑，父亲，红楼梦，长恨歌，女孩与男孩，大清相国。交易后发取票二维码。新增剧目:两个人的谋杀，黑衣女人，真相，仲夏，夜晚的潜水艇，风雪山神庙。,162.0,上海,180,https://www.goofish.com/item?id=941674967287&categoryId=201418802
上海话剧艺术中心9折代购 实付+闲鱼手续费（直转可免，可看信用等级）无其他代拍费非牛只为会员保级票版上有的都可以代买，请提前告知剧目、场次、位置等信息。购买后发电子码，发码后需确认收货。需要蹲点抢的可接，详情戳我了解在售tag ：女孩与男孩、推销员之死、心理游戏、小丑盖里、风雪山神庙、夜晚的潜水艇、真相、两谋、黑衣女人、心迷宫,999.0,上海,0,https://www.goofish.com/item?id=963295210150&categoryId=201418802
上海话剧艺术中心 风雪山神庙 点灯赠礼 有舒杨 换刘浩冉/叶嘉雯/陈谭雅任一 顺序有意义,999.0,上海,3,https://www.goofish.com/item?id=945065175264&categoryId=201418802
上话k卡 随缘接 音乐剧 风雪山神庙 9折 代拍 上海话剧艺术中心 刘浩冉 张煊尔 叶嘉雯 丁辉 邓欣锐 9折 叠闲鱼手续费 售出不退不换,163.0,上海,0,https://www.goofish.com/item?id=948716960415&categoryId=201415803
音乐剧风雪山神庙急出！特惠选座！【上海】大麦代拍音乐剧《风雪 山神庙》地点：上海茉莉花剧场场次：9.9-9.21号票价：180/280/380/580元，各价位均有折扣，大麦优惠可叠加出票温馨提示：1、演出票为电子票转赠，剧院自助取票机取票入场即可，请一定给到正确手机号。2、出票后非卖家原因不退不换，诚信代拍，票品保真，可入场后收货，售后服务直到演出结束为止，放心购买。3、退改需知：票品为有价证券，非普通商品，其后承载的文化服务具有时效性，稀缺性等特征，故出票后非卖家原因不退不换，但如遇演出取消！延期！炸卡！等情况可以退款，处理方式均同步官方公告，接到通知后需要退款的顾客请联系我处理，符合要求的秒退！感兴趣的话点“我想要”和我私聊吧～❤️,158.0,上海,180,https://www.goofish.com/item?id=953971632523&categoryId=201459411
9折免费代拍上话 代购K+优先购 上海话剧艺术中心会员直转9折，无费用女孩与男孩 红楼梦 推销员之死 清明上河图密码 半桶水 历史的天使 心理游戏 小丑盖里 风雪山神庙 夜晚的潜水艇 真相 两个人的谋杀 黑衣女人 就这样吧拍下发码自取演出票售出不退不换,165.6,上海,0,https://www.goofish.com/item?id=820385255716&categoryId=201459411
