标题,价格(元),所在地,想要人数,商品URL
鹿铃少女XL码jsk 包邮包手续费，压箱底产物，介意勿拍拍摄灯光问题，裙子是奶白色的，不脏可直拍，八月出不掉就自留了，没有吊牌，可私我看细节,188.0,山东,0,https://www.goofish.com/item?id=962098119780&categoryId=126860305
出鹿铃少女jsk，XL码，尺码偏小，应该算L码。仅试穿，吊牌 摘了，有内标包正，有官配发带和bnt，标价包邮。,280.0,上海,3,https://www.goofish.com/item?id=963901893507&categoryId=126860305
鹿铃少女jsk+发带+边夹 s码 穿一拍照，裙子无瑕疵，有原包装和飞机盒，好价回血出!,250.0,甘肃,0,https://www.goofish.com/item?id=956744788824&categoryId=126860305
鹿铃少女JSK单裙，L码，米白色底配蓝色蝴蝶结，可爱doll 感洋装。赠送同色系小鬼手作如图bb帽(原价：42r)有购买记录，一口价，仅试穿，无飞机盒，无吊牌。,210.0,山东,319,https://www.goofish.com/item?id=964758926063&categoryId=126860305
珍宝匣子鹿铃少女op 有op➕接袖➕腰带➕发带全新 仅试穿标价包邮包手续费,298.0,浙江,0,https://www.goofish.com/item?id=961656213421&categoryId=126860305
三木偶鹿铃少女op +接袖+bnt，S码裙子状态比较好，扣子掉了自己缝了一颗，不介意的宝宝可聊！拍摄前可拍视频，二手物品不退不换哦,260.0,四川,0,https://www.goofish.com/item?id=965155231110&categoryId=126860305
出珍宝匣子家鹿铃少女op s码 单裙子全新未试穿实体店购，有防盗扣布料很舒服，包邮,260.0,河北,0,https://www.goofish.com/item?id=963465176057&categoryId=126860305
鹿铃少女jsk m码 裙子本体➕腰间蝴蝶结➕飞机盒状态很好实物图已更新不包邮和手续费,220.0,浙江,0,https://www.goofish.com/item?id=959235830931&categoryId=126860305
【出】鹿铃少女sk定金 m码 未补尾款，尾款169，8月底9月上旬出货。 不用提确。,58.0,广东,0,https://www.goofish.com/item?id=956367976659&categoryId=201509401
全新M码鹿铃少女jsk 珍宝匣子Lolita原创设计，浅蓝色蝴蝶结款，蕾丝花边设计，可爱doll感洋装洛丽塔 全新现货，M码，有发带飞机盒 发带45r加在邮费了，裙子已自刀，回血出物 精致做工，搭配蝴蝶结和蕾丝花边，甜美清新 二手商品不退不换,310.0,广东,0,https://www.goofish.com/item?id=962083116574&categoryId=126860305
「出or换」珍宝匣子家的鹿铃少女jsk带官配小物（发带、一对 边夹、腰间蝴蝶结）s码只穿过一次 有吊尸没有飞机盒 有爱doll感和芭蕾风的裙子换价345,290.0,广东,0,https://www.goofish.com/item?id=964961108512&categoryId=126860305
