标题,价格(元),所在地,想要人数,商品URL
力通龙门铣门宽3250，工作台2800x8000，加工高度2 米，三个台湾大功率铣头，喜欢联系，广东提货,35.0,广东,1600000,https://www.goofish.com/item?id=657155950596&categoryId=126864319
广州义同3米龙门，工作台3米*1.8米，门宽2.2米，门高1 .4米。BT50齿轮头，两线一硬导轨，发那科MF Plus系统。 现因业务调整，忍痛割爱。有兴趣的朋友欢迎联系，看货详谈。  机会难得，先到先得哦！,48.0,江苏,6,https://www.goofish.com/item?id=897689360422&categoryId=126864319
3米龙门有需要的吗，带刀库，50主轴，两线一硬 感兴趣的话点“我想要”和我私聊吧～,33.0,浙江,5,https://www.goofish.com/item?id=785877749501&categoryId=126864319
大厂家倒闭超低价出手 南通鑫昌2.5×4米龙门铣，闲置处理，超低价出手！成色几乎全新，功能完好无维修，使用不到一年。工厂直出，质量保证。 需要的朋友赶紧联系我吧～,23.0,山东,2,https://www.goofish.com/item?id=895115824750&categoryId=126864319
20年武汉实佳8米数控龙门铣床   龙门过宽4米 感兴趣的话点“我想要”和我私聊吧～,120.0,湖南,17,https://www.goofish.com/item?id=679619601744&categoryId=126864319
刚刚买下国胜3015龙门，工作台1.3*3米，门宽1.55米 ，ZF齿轮箱，两线一硬，14年出厂 发那科高配系统 价格不高,700.0,河北,2,https://www.goofish.com/item?id=864965732937&categoryId=126864319
德扬4032龙门， 工作台4×2米，方滑枕， 门宽2.7米，门高1.4米， BT50齿轮头，2021年出厂。,35.0,广东,0,https://www.goofish.com/item?id=910322569945&categoryId=126864319
11米龙门动梁式龙门。行程11米x1.6米宽。日本发那科系统 。BT50 直径200大功率主轴。带刀库。工厂在位使用一个多月。在保修期内。因工厂生产计划改变故出售。24年年底购买，需要的老板自带价私聊，价格合适就出。关联海天龙门，国盛龙门，友鸿龙门,79.99,广东,0,https://www.goofish.com/item?id=902425123747&categoryId=126864319
72号，威立425龙门，工作台2.4米*4米，门宽2.7米， 门高1.7米，发那科18i系统，带三个自动头（45度，90度，延长头）X轴三条导轨，三轴行程4200*3200*1000。 32把链条式刀库。,95.0,河南,0,https://www.goofish.com/item?id=915245138788&categoryId=126864319
刚刚定下海天4米龙门， 带全自动头 工作台4米×2米， 门高1400，门宽2800， 2022年设备,95.0,江苏,0,https://www.goofish.com/item?id=903969633891&categoryId=126864319
在位出售俄罗斯3×14米龙门刨，工作台2.5×14米，节能电 器。15米行程，设备成色良好，功能完好无维修。适合大型加工厂使用，有需要的朋友可以联系我看机。 出手原因：闲置处理 售后政策：闲鱼交易，售出不退换 感兴趣的朋友欢迎私聊详谈～,70.0,河北,1,https://www.goofish.com/item?id=931818165949&categoryId=126864319
仕兴鸿2013数控龙门在位出售，工作台2000×1000，行 程2000×1300，两线一硬，三菱M70带模具包。,23.4,山东,0,https://www.goofish.com/item?id=820379587573&categoryId=126864319
纽威6米龙门便宜卖！工厂直卖！ 设备名称：龙门加工中心 PM2560HA 纽威 品牌：纽威 成色：9.9成新 产地：国产 型号：PM2560HA 地址：江苏省  基础参数   货源特性：工厂在位机   规格：6米   详情描述：纽威龙门加工中心PM2560HA 数控系统...,55.0,广东,0,https://www.goofish.com/item?id=820696040408&categoryId=126864319
4米龙门。 工作台2000/4000MM。行程4200/25 00/1000MM。优惠活动。喜欢的老板给我留言。我们给您做详细参数配置介绍。谢谢,19.0,山东,0,https://www.goofish.com/item?id=696625347280&categoryId=126864319
在位宁波海天4米龙门，2019年海天4028数控龙门.带台湾 功阳侧铣头，bt50齿轮头，工作台尺寸2米*4米。门宽2800 门高1.65米，发那科MF系统，个人一手，用户优先随时拿活来试机… 感兴趣的话点“我想要”和我私聊吧～,75.0,山东,52,https://www.goofish.com/item?id=872177672494&categoryId=126864319
武汉重型龙门铣床2✖️6米的 感兴趣的话点“我想要”和我私聊吧～,21.8,河北,0,https://www.goofish.com/item?id=668844108804&categoryId=126864319
转让6米×3米数控龙门铣一台！龙门铣工作台尺寸6米×2.7米 ！龙门宽度3.08米！安装少用！价格不高,32.0,湖南,34,https://www.goofish.com/item?id=798984294836&categoryId=126864319
海天6米龙门 便宜 好机 随时看机 海天GUN36X60数控五面体龙门加工中心 X轴行程:6500 Y轴行程:4355 Z轴行程:1505 回转台尺寸:3000x6000 门宽:4300 主轴防滑枕:500x500 主轴端到工作台1850 主轴:BT50。主轴带高压中心出水...,69.0,广东,8,https://www.goofish.com/item?id=853755602970&categoryId=126864319
闲置少用重型龙门 仓库刚到一台国盛3027数控龙门铣 发那科MF系统 两线一硬导轨 皮带传动6000转 工作台尺寸3000×2300 龙门过宽2700，过高1400 带36公斤中心出水 2019年出厂,57.99,江苏,2,https://www.goofish.com/item?id=859029308278&categoryId=126864319
海天3米龙门，老板亏本卖，先到先得！ 海天3216龙门，发那科系统，二线一硬，BT50主轴，皮带6000转。行程3200×1600×1000 工作台1.5-3.3米。门宽1.8，高度1.5米，,22.0,广东,62,https://www.goofish.com/item?id=866534228053&categoryId=126864319
71号，威立425龙门，工作台2.4米*4米，门宽2.7米， 门高1.7米，发那科18i系统，带三个自动头（45度，90度，延长头）X轴三条导轨，三轴行程4200*3200*1000。 32把链条式刀库。,95.0,河南,0,https://www.goofish.com/item?id=915244174707&categoryId=126864319
纽威4米龙门，工作台2米*4米，门宽2.3米，过高1250 ，BT50齿轮头，线轨，400*400方滑枕，全自动铣头，发那科MF系统，喜欢联系,47.23,辽宁,5,https://www.goofish.com/item?id=797254017317&categoryId=126864319
2518龙门数控铣床便宜出售，两线一硬，皮带头，三凌M70系 统，Z轴加高，工作台到主轴鼻端1350，,16.4,江苏,0,https://www.goofish.com/item?id=743031282869&categoryId=126864319
工厂在位原装进口台湾协鸿4米数控龙门铣，工作台4X2.2米门 宽2.8米三轴线轨BT50齿轮头，发那科MF系统带角铣头一个,88.0,江苏,5,https://www.goofish.com/item?id=821256102544&categoryId=126864319
太原原厂加宽龙门铇铣工作台1.8×9米的门宽2.3米闲置 感兴趣的话点“我想要”和我私聊吧～,38.88,江苏,12,https://www.goofish.com/item?id=740266875654&categoryId=126864319
在位出售青岛3.15×12米龙门刨铣磨，工作台2.8×12米 ， ​,58.0,河北,5,https://www.goofish.com/item?id=855229937623&categoryId=126864319
工厂在位重型龙门加工中心，工作台：3x6米，过门4米，门高2 .3米，方滑枕450×450结构，带直角90°铣头，西门子828D数控系统，三轴光栅尺，行程6.5x5x1.5米。价格不高，喜欢的抓紧。随时提货。​,45.67,湖北,19,https://www.goofish.com/item?id=938623897321&categoryId=126864319
工厂在位重型龙门加工中心，工作台：3x6米，过门4米，门高2 .3米，方滑枕450×450结构，带直角90°铣头，西门子828D数控系统，三轴光栅尺，行程6.5x5x1.5米。价格不高，喜欢的抓紧。随时提货。​,45.67,河北,8,https://www.goofish.com/item?id=937617319150&categoryId=126864319
73号，威立425龙门，工作台2.4米*4米，门宽2.7米， 门高1.7米，发那科18i系统，带三个自动头（45度，90度，延长头）X轴三条导轨，三轴行程4200*3200*1000 32把链条式刀库，带中心出水。,100.0,河南,0,https://www.goofish.com/item?id=914910711620&categoryId=126864319
台湾台毓8米龙门磨，工作台2.5米*8米，门宽3.4米，门高 1.5米。两个磨头,140.0,江苏,0,https://www.goofish.com/item?id=895900676216&categoryId=126864319
出售德国爵士ZT1532数控龙门磨  2012年 安装少用 正常开机 带说明书 高端高精度磨床 ，工作台1500*3000mm，加工高度1200mm，国企设备，有兴趣联系。,66.58,湖北,4,https://www.goofish.com/item?id=786040166255&categoryId=126864319
工厂在位重型龙门加工中心，工作台：3x6米，过门4米，门高2 .3米，方滑枕450×450结构，带直角90°铣头，西门子828D数控系统，三轴光栅尺，行程6.5x5x1.5米。价格不高，喜欢的抓紧。随时提货。  ​,45.67,广东,53,https://www.goofish.com/item?id=916699470495&categoryId=126864319
工厂在位威立212龙门，工作台1.1米*2米，门宽1.2米， 门高1.05米。32把机械手刀库，BT50齿轮头，三轴行程2120*1200*800发那科18i系统。 同款（6）台,42.0,浙江,0,https://www.goofish.com/item?id=914401135936&categoryId=126864319
21万，济南二机2x8米龙门刨铣床，工作台1.8×8米两刨两 铣，节能电器，导轨带花，降价处理,21.0,江苏,102,https://www.goofish.com/item?id=804762255639&categoryId=126864319
工厂转让600✖️2500工作台龙门磨，过龙门3000，台湾 鸿昌品牌，德国西门子系统，20年到工厂使用的，价格不贵,96.0,广东,2780000,https://www.goofish.com/item?id=907958155535&categoryId=126864319
龙门磨刚刚买下台湾向辉4018龙门磨床 工作台4X1.8 门 宽2.6米 门高1.3米 机器8成新以上 原装台湾进口 在位出售,99.99,河北,7,https://www.goofish.com/item?id=744019883274&categoryId=126864319
协鸿3150H数控龙门[玫瑰][玫瑰][玫瑰] 工作台1.45x3.1米 门宽1.65米，门高1.27 三轴硬轨，齿轮头，7000转 40把刀库。安装在位,52.8,河北,0,https://www.goofish.com/item?id=921605063958&categoryId=126864319
纽威4.2米×10米数控龙门，2020年4月安装，工作台30 00×10000，X行程10500，Y轴4600，Z轴1000，龙门宽4200高1500，发那科系统，成色新，机器保养好，价格可议，同城自提，外地可发货。,32.14,辽宁,3,https://www.goofish.com/item?id=797617370264&categoryId=126864319
出售一台国盛8038龙门，工作台8 X 3米，过龙门3.85 米，高度2.2米，主轴到工作台高度1.3米，线轨，带刀库，法兰克PlUS系统，2022年，带自动铡铣头,218.0,江苏,66666666,https://www.goofish.com/item?id=757702804425&categoryId=126864319
台湾台毓3米龙门磨，工作台1.5米*3米，门宽2.05米，门 高1.1米。两个磨头,55.0,江苏,0,https://www.goofish.com/item?id=894453939689&categoryId=126864319
4027龙门，主轴带德国ZF变速箱，门宽2.7米。工作台4米 ❌2.4米。三线轨，Z轴四根导轨，全自动铣头，21年出厂，新机状态，88万出售,88.0,浙江,17300000,https://www.goofish.com/item?id=775324775809&categoryId=126864319
工厂在位出售台湾台毓8米龙门磨床 工作台2.5米*8米，门宽3.4米，门高1.5米。两个磨头，2017年产成色九成新，只卖150万不包邮，需要更多请点击我头像谢谢，设备在南通,88.88,江苏,1,https://www.goofish.com/item?id=916440534132&categoryId=126864319
秒杀苏州正权2518龙门一台，两线一硬轨道，发那科最新款MF 普拉斯系统，BT50/6000转主轴，工作台2500/1600MM，过宽1850MM，封闭高度1250，工作台到主轴鼻端1100，双螺旋+链式排销。,32.59,江苏,3,https://www.goofish.com/item?id=890877075924&categoryId=126864319
2013年海天GLU4028数控龙门，工作台2米*4米，工作 台工厂左右两边各加了20公分有2.4米宽，发那科系统，两线一硬，BT50齿轮头6000转，门宽2.8米，龙门过高1.4米，带一个手动侧铣头，精度非常好,55.0,江苏,3,https://www.goofish.com/item?id=847781412430&categoryId=126864319
安装未用威达2020龙门钻铣中心 ，工作台2米*2米，门宽2 .2米，过高1米 ，BT50齿轮头，两线一硬，华中系统、新机精度、喜欢的联系,18.17,安徽,0,https://www.goofish.com/item?id=797618258357&categoryId=126864319
台湾向辉4米龙门磨床 台湾向辉龙门平面磨SGS-4018PNC 工作台面积：2000x4000mm 研磨面积：2200x4100mm 工作台左右行程：4200mm 双柱间距离：2600 横轴工作台面与主轴中心距离：1200mm 立轴工作台面与主轴中心距离：8...,99.0,江苏,0,https://www.goofish.com/item?id=878549904890&categoryId=126864319
10几万一台2016数控龙门铣，两线一硬，三菱系统，带USB 插口,18.0,浙江,0,https://www.goofish.com/item?id=924848640148&categoryId=126864319
台群G-2860R2龙门加工中心，2021年出厂，2.8×6 米工作台，带角铣头，成色几乎全新。设备功率70KVA，IP54防护等级，承重约40000Kg，发那科系统，功能完好无维修。工厂在位，随时试机验货。有意者速联，机会难得！非诚勿扰，谢谢理解！,80.0,河北,0,https://www.goofish.com/item?id=918532406503&categoryId=126864319
现场龙门铣床，钢厂闸门牌坊铣床，平面铣床 感兴趣的话点“我想要”和我私聊吧～,19.99,广东,116,https://www.goofish.com/item?id=707208121741&categoryId=126864319
4.8✖️12米大型型数控龙门铣床，龙门铣，法兰加工大件加工 赚钱神器,80.0,河北,1200000,https://www.goofish.com/item?id=680381292741&categoryId=126864319
