排名,动漫名称,综合得分,产业价值,内容价值,社会影响力,讨论热度
1,落凡尘,0.6353031206296575,0.3975663522541834,0.8242900185868058,0.7630082940577428,0.6776145175642716
2,哪吒,0.632624856869628,0.2905682324320858,0.8050065171641576,0.4582070605350694,0.9533170374978082
3,大雨,0.5495884120292764,0.3887865392344991,0.5713714079492089,0.5983057179041757,0.660608201398769
4,雄狮少年,0.5423064834559255,0.0,0.7368335238492123,0.7809696895658833,0.8049196624936081
5,盒中之海,0.5075577100864423,0.4122579553120897,0.5562292966277167,0.2766919550190075,0.6995646468424562
6,时间之子,0.45065651525931494,0.09283177252308007,0.568678296041443,0.7114158585759136,0.5715049523500757
7,伞少女,0.4417881571035087,0.325397400075378,0.4625385479560621,0.38574154634314717,0.570887314688788
8,一,0.3998312975674657,0.646812113103279,0.0836848563343094,0.39136498181577684,0.3547127115959393
9,守龙者,0.3869100651488497,0.325397400075378,0.2753148038919291,0.6563971571339136,0.35669640177980466
10,白蛇：浮生,0.38593115481992,0.06624183359461093,0.589843863443563,0.14841652978084566,0.7030991349707878
11,熊出没,0.3565277162472871,0.40855641537420256,0.2562547497112573,0.7156339722709097,0.16243212718991934
12,出口,0.34330192602733156,0.3566732946760833,0.2886937412707002,0.7604038044142369,0.12643512880279967
13,喜羊羊与灰太狼,0.31907850358767603,0.3917922580719102,0.22108076184861686,0.6415465246397551,0.124943423694659
14,龙门,0.31127551634526324,0.2884788024112606,0.2587500568694594,0.7127226898019734,0.13604586535343277
15,休,0.30882738820423267,0.6240230466070437,0.1115269418343094,0.3263353647068976,0.11643286002460637
16,长安三万里,0.28546307146180305,0.07918814320964393,0.34051739757721305,0.8915790174747806,0.10496579143334742
17,茶啊二中,0.25905493076894537,0.07237251228798675,0.28941280972625444,0.7837538878436021,0.12040006737462938
18,罗小黑战记,0.22700226270650886,0.3759372961134474,0.1115269418343094,0.32985467333182944,0.09545170310927606
19,头脑特工队,0.22117616978721438,0.325397400075378,0.1115269418343094,0.33901823478256676,0.11981413803737204
20,飞向月球,0.2130122568138469,0.3703276477063858,0.1115269418343094,0.28844402344040776,0.08102389675110176
