层级,指标代码,权重
一级指标权重,4,0.3049813277917147
一级指标权重,2,0.3245397765389171
一级指标权重,1,0.187029207207061
一级指标权重,3,0.1834496884623072
二级指标权重,4.1,1.0
二级指标权重,2.1,0.41991243250520055
二级指标权重,2.2,0.1606637886672298
二级指标权重,2.3,0.41942377882756965
二级指标权重,1.1,0.5000000000000001
二级指标权重,1.2,0.49999999999999994
二级指标权重,3.1,0.292622268832825
二级指标权重,3.2,0.35455425382373645
二级指标权重,3.3,0.3528234773434384
三级指标权重,4.1.1,0.325397400075378
三级指标权重,4.1.2,0.2884788024112606
三级指标权重,4.1.3,0.2905682324320858
三级指标权重,4.1.4,0.09555556508127551
三级指标权重,3.2.1,0.500000000000001
三级指标权重,3.2.2,0.49999999999999906
三级指标权重,3.1.1,1.0
三级指标权重,3.3.1,1.0
三级指标权重,2.3.1,1.0
三级指标权重,2.2.1,0.07168751918098626
三级指标权重,2.2.2,0.13116267355744055
三级指标权重,2.2.3,0.15544134161439607
三级指标权重,2.2.4,0.1574242612509778
三级指标权重,2.2.5,0.1540700661941503
三级指标权重,2.2.6,0.06890299080298257
三级指标权重,2.2.7,0.13180990526712852
三级指标权重,2.2.8,0.12950124213193798
三级指标权重,1.1.1,1.0
三级指标权重,1.2.1,0.27197578325649047
三级指标权重,1.2.2,0.3742960550155101
三级指标权重,1.2.3,0.3537281617279994
三级指标权重,2.1.1,0.2496898495071245
三级指标权重,2.1.2,0.24976985256221299
三级指标权重,2.1.3,0.25043271207474255
三级指标权重,2.1.4,0.25010758585592
